leg,site,hole,sample_depth,Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"bulk CNS analysis; sample, cuttings::series number of mud logging::number","bulk CNS analysis; sample, cuttings::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, cuttings::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, cuttings::registerer","bulk CNS analysis; sample, cuttings::registration time-stamp",Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,bulk CNS analysis::comment on measurement::text,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
315,C0001,E,2.369,"C0001E-1H-3, 100.0 cm",NULL,2.362,2.59,2.362,2.59,"C0001E-1H-3, 101.5 cm",NULL,2.376,2.605,2.376,2.605,"C0001E-1H-3 WR, 100.0--101.5 cm",CKY000000000000239200,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-20T16:56:25Z,NULL,NULL,NULL,NULL,0.08531,3.0149,0.17994,12/8/2007,kuriharar,2008-02-25T07:52:10Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,2.37,"C0001E-1H-3, 100.8 cm",NULL,2.37,2.598,2.37,2.598,"C0001E-1H-3, 100.8 cm",NULL,2.37,2.598,2.37,2.598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.551937,21.26529,miyabes,2007-12-11T10:48:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,2.8045,"C0001E-1H-4, 19.0 cm",NULL,2.8,3.07,2.8,3.07,"C0001E-1H-4, 20.0 cm",NULL,2.809,3.08,2.809,3.08,"C0001E-1H-4 WR, 19.0--20.0 cm",CKY000000000000230400,CARB,NULL,2,henry315,NULL,CKY,2007-11-20T00:04:35Z,NULL,NULL,NULL,NULL,0.09851,2.1116,0.34612,12/8/2007,kuriharar,2008-02-25T07:52:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,2.805,"C0001E-1H-4, 19.5 cm",NULL,2.805,3.075,2.805,3.075,"C0001E-1H-4, 19.5 cm",NULL,2.805,3.075,2.805,3.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.541165,12.84253,miyabes,2007-12-11T10:48:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,3.4665,"C0001E-1H-6, 0.0 cm",NULL,3.462,3.795,3.462,3.795,"C0001E-1H-6, 1.0 cm",NULL,3.471,3.805,3.471,3.805,"C0001E-1H-6 WR, 0.0--1.0 cm",CKY000000000000230800,CARB,NULL,2,henry315,NULL,CKY,2007-11-20T00:04:37Z,NULL,NULL,NULL,NULL,0.04846,1.5326,0.63346,12/2/2007,kuriharar,2008-02-25T07:52:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,3.466,"C0001E-1H-6, 0.5 cm",NULL,3.466,3.8,3.466,3.8,"C0001E-1H-6, 0.5 cm",NULL,3.466,3.8,3.466,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.377211,11.4763,miyabes,2007-12-11T10:48:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,3.6755,"C0001E-1H-7, 0.0 cm",NULL,3.671,4.025,3.671,4.025,"C0001E-1H-7, 1.0 cm",NULL,3.68,4.035,3.68,4.035,"C0001E-1H-7 WR, 0.0--1.0 cm",CKY000000000000231200,CARB,NULL,2,henry315,NULL,CKY,2007-11-20T00:26:02Z,NULL,NULL,NULL,NULL,0.07102,0.68239,0.44529,12/5/2007,kuriharar,2008-02-25T07:52:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,3.676,"C0001E-1H-7, 0.5 cm",NULL,3.676,4.03,3.676,4.03,"C0001E-1H-7, 0.5 cm",NULL,3.676,4.03,3.676,4.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6713331,5.594218,miyabes,2007-12-11T10:48:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,7.2215,"C0001E-2H-3, 34.0 cm",NULL,7.217,7.45,7.217,7.45,"C0001E-2H-3, 35.0 cm",NULL,7.226,7.46,7.226,7.46,"C0001E-2H-3 WR, 34.0--35.0 cm",CKY000000000000243000,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-20T19:26:03Z,NULL,NULL,NULL,NULL,0.09122,3.34882,0.3558,12/8/2007,kuriharar,2008-02-25T07:52:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,C0001,E,7.222,"C0001E-2H-3, 34.5 cm",NULL,7.222,7.455,7.222,7.455,"C0001E-2H-3, 34.5 cm",NULL,7.222,7.455,7.222,7.455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.928012,24.39912,miyabes,2007-12-11T10:48:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
