Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-1R-1, 22.0 cm",NULL,NULL,340.22,340.22,340.22,340.22,"C0011B-1R-1, 24.0 cm",NULL,NULL,340.24,340.24,340.24,340.24,"C0011B-1R-1 W, 22.0--24.0 cm",CKY000000000000003510,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-09T00:24:37Z,NULL,NULL,NULL,NULL,0.01621,0.20326,0.1932,9/22/2009,kuriharar,2009-10-02T01:37:53Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-1R-1, 23.0 cm",NULL,NULL,340.23,340.23,340.23,340.23,"C0011B-1R-1, 23.0 cm",NULL,NULL,340.23,340.23,340.23,340.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0973,0.8108,miyabes,2009-10-02T10:35:32Z,NULL,NULL,NULL,NULL,NULL,NULL,18,0.06,600,27,0.01,0.02,0,0.05,0.09,0.02,0.07,0,0.02,0.66,2.58,1.7,0.03,0.45,0.1,600,0.11,642,miyabes,2009-10-08T12:54:12Z
"C0011B-1R-1, 38.0 cm",NULL,NULL,340.38,340.38,340.38,340.38,"C0011B-1R-1, 40.0 cm",NULL,NULL,340.4,340.4,340.4,340.4,"C0011B-1R-1 W, 38.0--40.0 cm",CKY000000000000002010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-08T13:31:17Z,NULL,NULL,NULL,NULL,0.06804,1.46487,0.25297,9/16/2009,kuriharar,2009-10-02T01:37:53Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-1R-1, 39.0 cm",NULL,NULL,340.39,340.39,340.39,340.39,"C0011B-1R-1, 39.0 cm",NULL,NULL,340.39,340.39,340.39,340.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.007,8.3913,miyabes,2009-10-02T10:35:32Z,NULL,NULL,NULL,NULL,NULL,NULL,17,0.58,298,8,0.03,0.05,0.01,0.55,0.43,0.02,0.41,0,0.08,1.43,14.96,20,0.04,0.58,0.2,405,0.48,447,miyabes,2009-10-08T12:54:12Z
"C0011B-1R-2, 26.0 cm",NULL,NULL,341.135,341.135,341.135,341.135,"C0011B-1R-2, 26.5 cm",NULL,NULL,341.14,341.14,341.14,341.14,"C0011B-1R-2 W, 26.0--26.5 cm",CKY000000000000001110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-08T11:19:59Z,NULL,NULL,NULL,NULL,0.06238,0.37984,0.11497,9/16/2009,kuriharar,2009-10-02T01:37:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-1R-2, 26.3 cm",NULL,NULL,341.138,341.138,341.138,341.138,"C0011B-1R-2, 26.3 cm",NULL,NULL,341.138,341.138,341.138,341.138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.092,0.7666,miyabes,2009-10-02T10:35:32Z,NULL,NULL,NULL,NULL,NULL,NULL,16,0.08,164,8,0.02,0.02,0,0.06,0.23,0.02,0.21,0,0.04,0.41,7.55,2.2,0.02,0.35,0.1,403,0.25,445,miyabes,2009-10-08T12:54:13Z
"C0011B-1R-2, 89.5 cm",NULL,NULL,341.77,341.77,341.77,341.77,"C0011B-1R-2, 90.5 cm",NULL,NULL,341.78,341.78,341.78,341.78,"C0011B-1R-2 W, 89.5--90.5 cm",CKY000000000000002310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-08T13:31:17Z,NULL,NULL,NULL,NULL,0.04148,0.25981,0.05561,9/22/2009,kuriharar,2009-10-02T01:37:53Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-1R-2, 90.0 cm",NULL,NULL,341.775,341.775,341.775,341.775,"C0011B-1R-2, 90.0 cm",NULL,NULL,341.775,341.775,341.775,341.775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0848,0.7066,miyabes,2009-10-02T10:35:32Z,NULL,NULL,NULL,NULL,NULL,NULL,18,0.05,465,12,0.01,0.03,0,0.04,0.14,0.02,0.12,0,0.03,0.79,4.38,1.4,0.02,0.43,0.1,605,0.17,647,miyabes,2009-10-08T12:54:13Z
"C0011B-2R-1, 59.0 cm",NULL,NULL,350.09,350.09,350.09,350.09,"C0011B-2R-1, 61.0 cm",NULL,NULL,350.11,350.11,350.11,350.11,"C0011B-2R-1 W, 59.0--61.0 cm",CKY000000000000009410,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-09T20:43:50Z,NULL,NULL,NULL,NULL,0.06249,0.42328,0.13666,9/16/2009,kuriharar,2009-10-02T01:37:53Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-2R-1, 60.0 cm",NULL,NULL,350.1,350.1,350.1,350.1,"C0011B-2R-1, 60.0 cm",NULL,NULL,350.1,350.1,350.1,350.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0866,0.7216,miyabes,2009-10-02T10:35:32Z,NULL,NULL,NULL,NULL,NULL,NULL,15,0.07,146,8,0.01,0.02,0,0.06,0.24,0.02,0.22,0,0.04,0.38,8.05,2.2,0.02,0.5,0.2,410,0.26,452,miyabes,2009-10-08T12:54:13Z
