Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-1R-1, 62.0 cm",NULL,0.62,0.62,0.62,0.62,"C0012A-1R-1, 66.0 cm",NULL,0.66,0.66,0.66,0.66,"C0012A-1R-1 W, 62.0--66.0 cm",CKY000000000000548310,CARB,NULL,3,yohei322,NULL,CKY,2009-09-26T03:09:58Z,NULL,NULL,NULL,NULL,0.03879,0.418,0.45815,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-1R-1, 64.0 cm",NULL,0.64,0.64,0.64,0.64,"C0012A-1R-1, 64.0 cm",NULL,0.64,0.64,0.64,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1225,1.0208,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-2R-4, 28.0 cm",NULL,64.125,64.125,64.125,64.125,"C0012A-2R-4, 33.0 cm",NULL,64.175,64.175,64.175,64.175,"C0012A-2R-4 WR, 28.0--33.0 cm",CKY000000000000550710,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T07:03:05Z,NULL,NULL,NULL,NULL,0.06319,0.45418,0.38429,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-2R-4, 30.5 cm",NULL,64.15,64.15,64.15,64.15,"C0012A-2R-4, 30.5 cm",NULL,64.15,64.15,64.15,64.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.053,0.4416,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-3R-1, 72.0 cm",NULL,70.22,70.22,70.22,70.22,"C0012A-3R-1, 76.0 cm",NULL,70.26,70.26,70.26,70.26,"C0012A-3R-1 W, 72.0--76.0 cm",CKY000000000000553010,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T09:26:36Z,NULL,NULL,NULL,NULL,0.05276,0.94177,0.15133,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-3R-1, 74.0 cm",NULL,70.24,70.24,70.24,70.24,"C0012A-3R-1, 74.0 cm",NULL,70.24,70.24,70.24,70.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6337,5.2806,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-4R-2, 25.0 cm",NULL,80.255,80.255,80.255,80.255,"C0012A-4R-2, 30.0 cm",NULL,80.305,80.305,80.305,80.305,"C0012A-4R-2 W, 25.0--30.0 cm",CKY000000000000558310,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T11:17:13Z,NULL,NULL,NULL,NULL,0.04859,0.88109,0.10604,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-4R-2, 27.5 cm",NULL,80.28,80.28,80.28,80.28,"C0012A-4R-2, 27.5 cm",NULL,80.28,80.28,80.28,80.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6579,5.4823,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-2, 25.0 cm",NULL,89.675,89.675,89.675,89.675,"C0012A-5R-2, 27.0 cm",NULL,89.695,89.695,89.695,89.695,"C0012A-5R-2 WR, 25.0--27.0 cm",CKY000000000000555710,CARB,NULL,3,katerina322,NULL,CKY,2009-09-26T11:05:53Z,NULL,NULL,NULL,NULL,0.05097,0.64096,0.09439,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-2, 26.0 cm",NULL,89.685,89.685,89.685,89.685,"C0012A-5R-2, 26.0 cm",NULL,89.685,89.685,89.685,89.685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4124,3.4365,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
