Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0018A-1H-1, 10.0 cm",NULL,0.097,0.1,0.097,0.1,"C0018A-1H-1, 13.0 cm",NULL,0.126,0.13,0.126,0.13,"C0018A-1H-1 W, 10.0--13.0 cm",CKY000000000003739400,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.11969,2.24769,0.11455,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-1, 11.5 cm",NULL,0.112,0.115,0.112,0.115,"C0018A-1H-1, 11.5 cm",NULL,0.112,0.115,0.112,0.115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.325,11.0412,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-2, 21.5 cm",NULL,0.978,1.005,0.978,1.005,"C0018A-1H-2, 22.5 cm",NULL,0.988,1.015,0.988,1.015,"C0018A-1H-2 WR, 21.5--22.5 cm",CKY000000000003682800,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T17:53:29Z,NULL,NULL,NULL,NULL,0.1046,2.3381,0.09297,12/23/2010,kawait,2011-01-08T10:58:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-2, 22.0 cm",NULL,0.983,1.01,0.983,1.01,"C0018A-1H-2, 22.0 cm",NULL,0.983,1.01,0.983,1.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5706,13.0878,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 49.5 cm",NULL,1.469,1.51,1.469,1.51,"C0018A-1H-3, 50.5 cm",NULL,1.479,1.52,1.479,1.52,"C0018A-1H-3 W, 49.5--50.5 cm",CKY000000000003741000,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.06917,2.69794,0.06351,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 50.0 cm",NULL,1.474,1.515,1.474,1.515,"C0018A-1H-3, 50.0 cm",NULL,1.474,1.515,1.474,1.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1068,17.556,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 133.5 cm",NULL,2.286,2.35,2.286,2.35,"C0018A-1H-3, 134.5 cm",NULL,2.296,2.36,2.296,2.36,"C0018A-1H-3 W, 133.5--134.5 cm",CKY000000000003741300,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.07701,2.69841,0.19066,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 134.0 cm",NULL,2.291,2.355,2.291,2.355,"C0018A-1H-3, 134.0 cm",NULL,2.291,2.355,2.291,2.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,17.4993,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-6, 22.0 cm",NULL,4.597,4.725,4.597,4.725,"C0018A-1H-6, 23.0 cm",NULL,4.607,4.735,4.607,4.735,"C0018A-1H-6 WR, 22.0--23.0 cm",CKY000000000003683400,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T17:58:19Z,NULL,NULL,NULL,NULL,0.09724,2.13856,0.15993,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-6, 22.5 cm",NULL,4.602,4.73,4.602,4.73,"C0018A-1H-6, 22.5 cm",NULL,4.602,4.73,4.602,4.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2266,10.2213,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,0.14,0.12,0.74,415,455,ohashia,2011-01-08T22:08:36Z
