Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,C0020A-25SMW WR,CKY000000000005086000,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:06:50Z,0.1277,1.0641,0.081994959,1.37265173,0.782934381,NULL,hoshinoh,2012-09-18T13:44:52Z,276,0.17,100,18,0.03,0.39,0.27,0.14,0.71,0.11,0.6,1.13,3.04,1.1,21.91,4.9,0.2,2.46,0.3,297,1.1,651,336,1.14,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,C0020A-30SMW WR,CKY000000000005086100,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1697,1.4141,0.09557724,0.0000758,0.856563381,NULL,hoshinoh,2012-09-18T13:44:52Z,317,0.3,130,18,0.02,0.51,0.24,0.28,0.79,0.11,0.68,1.27,4.12,1.69,24.96,10,0.24,2.59,0.4,297,1.3,651,336,0.78,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,NULL,NULL,C0020A;756.500,NULL,756.5,NULL,NULL,756.5,C0020A-35SMW WR,CKY000000000005086200,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1637,1.3641,0.090907796,0.0000435,0.610641637,NULL,hoshinoh,2012-09-18T13:44:52Z,286,0.18,114,15,0.02,0.38,0.21,0.16,0.74,0.12,0.62,0.83,3.2,1.28,22.88,5.7,0.17,2.77,0.3,295,1.12,651,334,0.83,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;796.500,NULL,796.5,NULL,NULL,796.5,NULL,NULL,C0020A;806.500,NULL,806.5,NULL,NULL,806.5,C0020A-40SMW WR,CKY000000000005086300,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1945,1.6208,0.099985132,1.736067952,0.686520793,NULL,hoshinoh,2012-09-18T13:44:52Z,236,0.4,151,22,0.03,0.43,0.3,0.37,0.83,0.11,0.72,1.27,2.97,1.9,26.3,13.3,0.28,2.66,0.5,295,1.26,651,333,0.94,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;846.500,NULL,846.5,NULL,NULL,846.5,NULL,NULL,C0020A;856.500,NULL,856.5,NULL,NULL,856.5,C0020A-45SMW WR,CKY000000000005086400,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.3098,2.5816,0.071765536,1.260289249,0.573709669,NULL,hoshinoh,2012-09-18T13:44:52Z,243,0.55,145,19,0.16,0.27,0.24,0.39,0.57,0.08,0.49,0.66,2.04,1.22,18.09,14.1,0.16,1.97,0.3,295,0.84,677,334,5.81,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;896.500,NULL,896.5,NULL,NULL,896.5,NULL,NULL,C0020A;906.500,NULL,906.5,NULL,NULL,906.5,C0020A-56SMW WR,CKY000000000005086500,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.2231,1.8591,0.085777033,1.171330812,0.603659631,NULL,hoshinoh,2012-09-18T13:44:52Z,234,0.27,133,19,0.03,0.3,0.23,0.24,0.67,0.1,0.57,0.69,2.27,1.29,20.79,8.6,0.18,2.31,0.4,411,0.97,651,450,0.96,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;946.500,NULL,946.5,NULL,NULL,946.5,NULL,NULL,C0020A;956.500,NULL,956.5,NULL,NULL,956.5,C0020A-61SMW WR,CKY000000000005086600,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.5347,4.4557,0.067781968,1.329763687,0.501482727,NULL,hoshinoh,2012-09-18T13:44:52Z,215,0.41,154,17,0.03,0.26,0.31,0.38,0.55,0.07,0.48,0.78,1.74,1.25,17.52,13.7,0.14,1.68,0.3,298,0.81,651,336,1.09,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;996.500,NULL,996.5,NULL,NULL,996.5,NULL,NULL,C0020A;1006.500,NULL,1006.5,NULL,NULL,1006.5,C0020A-66SMW WR,CKY000000000005086700,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.2335,1.9458,0.058898747,1.403047882,0.615933815,NULL,hoshinoh,2012-09-18T13:44:52Z,299,0.33,81,20,0.04,0.32,0.31,0.28,0.49,0.06,0.43,1.08,2.42,0.66,15.73,10.2,0.16,1.34,0.3,295,0.81,651,334,1.65,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1046.500,NULL,1046.5,NULL,NULL,1046.5,NULL,NULL,C0020A;1056.500,NULL,1056.5,NULL,NULL,1056.5,C0020A-73SMW WR,CKY000000000005086800,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,6.3628,53.0212,0.042030488,5.94948853,0.035100309,NULL,hoshinoh,2012-09-18T13:44:52Z,83,4.76,138,17,4.11,0.15,0.36,0.65,0.77,0.08,0.69,0.43,0.76,1.27,25.25,23.4,0.16,1.85,0.5,293,0.92,796,331,150.62,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1096.500,NULL,1096.5,NULL,NULL,1096.5,NULL,NULL,C0020A;1106.500,NULL,1106.5,NULL,NULL,1106.5,C0020A-81SMW WR,CKY000000000005086900,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.7549,6.2906,0.040811565,1.510973377,0.517444443,NULL,hoshinoh,2012-09-18T13:44:52Z,214,0.95,85,19,0.59,0.28,0.42,0.36,0.53,0.07,0.46,1.26,1.73,0.69,16.75,13.1,0.15,1.55,0.3,288,0.81,736,327,21.54,miyabes,2012-09-19T12:46:38Z
