Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002L-1X-2, 81.0 cm",NULL,279,279,279,279,"C0002L-1X-2, 84.0 cm",NULL,279.03,279.03,279.03,279.03,"C0002L-1X-2 WR, 81.0--84.0 cm",CKY000000000001403410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T23:32:44Z,1.3033,10.8604,0.074808116,1.712496167,0.044537847,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-1X-3, 127.0 cm",NULL,280.495,280.495,280.495,280.495,"C0002L-1X-3, 130.0 cm",NULL,280.525,280.525,280.525,280.525,"C0002L-1X-3 W, 127.0--130.0 cm",CKY000000000001407810,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-23T01:59:52Z,1.2594,10.4946,0.058812041,1.572541104,0.042168835,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-1X-6, 16.0 cm",NULL,282.405,282.405,282.405,282.405,"C0002L-1X-6, 19.0 cm",NULL,282.435,282.435,282.435,282.435,"C0002L-1X-6 W, 16.0--19.0 cm",CKY000000000001408510,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-23T01:59:52Z,0.652,5.4331,0.07178244,1.189866132,0.10813117,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-2X-1, 27.0 cm",NULL,286.77,286.77,286.77,286.77,"C0002L-2X-1, 30.0 cm",NULL,286.8,286.8,286.8,286.8,"C0002L-2X-1 WR, 27.0--30.0 cm",CKY000000000001405210,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-23T00:01:38Z,0.6306,5.2548,0.065480842,1.106004999,0.362666921,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-2X-2, 0.0 cm",NULL,286.98,286.98,286.98,286.98,"C0002L-2X-2, 6.0 cm",NULL,287.04,287.04,287.04,287.04,"C0002L-2X-2 WR, 0.0--6.0 cm",CKY000000000001404410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T23:54:13Z,1.4385,11.987,0.109866967,2.212356038,0.08704718,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-3X-1, 103.0 cm",NULL,297.03,297.03,297.03,297.03,"C0002L-3X-1, 105.0 cm",NULL,297.05,297.05,297.05,297.05,"C0002L-3X-1 W, 103.0--105.0 cm",CKY000000000001414310,CARB,NULL,3,esteban338,NULL,CKY,2012-12-23T05:21:03Z,0.2583,2.1524,0.061664138,0.424532795,0.058746781,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-4X-3, 0.0 cm",NULL,307.05,307.05,307.05,307.05,"C0002L-4X-3, 3.0 cm",NULL,307.08,307.08,307.08,307.08,"C0002L-4X-3 W, 0.0--3.0 cm",CKY000000000001427110,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-23T11:04:37Z,2.0256,16.8793,0.092482039,2.546245308,0.134957405,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-4X-5, 120.0 cm",NULL,310.71,310.71,310.71,310.71,"C0002L-4X-5, 122.0 cm",NULL,310.73,310.73,310.73,310.73,"C0002L-4X-5 WR, 120.0--122.0 cm",CKY000000000001409810,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-23T03:12:58Z,1.4733,12.277,0.113835185,2.204361612,0.174853631,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-4X-6, 73.0 cm",NULL,311.635,311.635,311.635,311.635,"C0002L-4X-6, 75.0 cm",NULL,311.655,311.655,311.655,311.655,"C0002L-4X-6 WR, 73.0--75.0 cm",CKY000000000001410810,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-23T03:49:31Z,1.2346,10.2879,0.111744436,2.034241572,0.13578461,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-4X-7, 18.0 cm",NULL,312.46,312.46,312.46,312.46,"C0002L-4X-7, 23.0 cm",NULL,312.51,312.51,312.51,312.51,"C0002L-4X-7 WR, 18.0--23.0 cm",CKY000000000001413310,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-23T04:53:57Z,1.509,12.5745,0.092971149,2.106758319,0.039025577,NULL,ohashia,2013-02-05T02:35:31Z
