Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0021B-1H-5, 0.0 cm",NULL,3.741,3.76,3.741,3.76,"C0021B-1H-5, 3.0 cm",NULL,3.771,3.79,3.771,3.79,"C0021B-1H-5 WR, 0.0--3.0 cm",CKY000000000001806910,CARB,NULL,3,toki338,NULL,CKY,2013-01-07T16:36:01Z,1.7996,14.9961,0.090483672,2.555637486,0.540485808,kames,2013-02-05T00:38:39Z
"C0021B-1H-5, 118.5 cm",NULL,4.92,4.945,4.92,4.945,"C0021B-1H-5, 120.5 cm",NULL,4.94,4.965,4.94,4.965,"C0021B-1H-5 WR, 118.5--120.5 cm",CKY000000000001807810,CARB,NULL,3,toki338,NULL,CKY,2013-01-07T16:37:26Z,1.99,16.5827,0.086570955,2.689841471,0.32728345,kames,2013-02-05T00:38:39Z
"C0021B-1H-6, 20.0 cm",NULL,5.139,5.165,5.139,5.165,"C0021B-1H-6, 23.0 cm",NULL,5.169,5.195,5.169,5.195,"C0021B-1H-6 WR, 20.0--23.0 cm",CKY000000000001804910,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-07T15:13:39Z,2.0923,17.4351,0.087085368,2.738611649,0.342960487,kames,2013-02-05T00:38:39Z
"C0021B-2H-2, 24.0 cm",NULL,80.356,80.395,80.356,80.395,"C0021B-2H-2, 27.0 cm",NULL,80.383,80.425,80.383,80.425,"C0021B-2H-2 WR, 24.0--27.0 cm",CKY000000000001802510,CARB,NULL,3,toki338,NULL,CKY,2013-01-07T14:45:10Z,2.8313,23.5932,0.063648832,3.291381798,0.091030152,kames,2013-02-05T00:38:39Z
"C0021B-2H-3, 15.0 cm",NULL,81.542,81.71,81.542,81.71,"C0021B-2H-3, 18.0 cm",NULL,81.569,81.74,81.569,81.74,"C0021B-2H-3 WR, 15.0--18.0 cm",CKY000000000001792110,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-07T07:59:43Z,1.9695,16.4118,0.068658422,2.447254216,0.223589585,kames,2013-02-05T00:38:39Z
"C0021B-3H-4, 15.0 cm",NULL,91.742,91.82,91.742,91.82,"C0021B-3H-4, 18.0 cm",NULL,91.771,91.85,91.771,91.85,"C0021B-3H-4 WR, 15.0--18.0 cm",CKY000000000001794210,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-07T09:06:25Z,0.3506,2.9215,0.020057822,0.475349626,0.322816324,kames,2013-02-05T00:38:39Z
"C0021B-3H-8, 85.0 cm",NULL,96.681,96.93,96.681,96.93,"C0021B-3H-8, 88.0 cm",NULL,96.71,96.96,96.71,96.96,"C0021B-3H-8 WR, 85.0--88.0 cm",CKY000000000001817310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-08T00:55:23Z,1.1619,9.6821,0.071136754,1.681232651,0.25784391,kames,2013-02-05T00:38:39Z
"C0021B-4H-6, 15.0 cm",NULL,104.699,105.065,104.699,105.065,"C0021B-4H-6, 19.0 cm",NULL,104.737,105.105,104.737,105.105,"C0021B-4H-6 WR, 15.0--19.0 cm",CKY000000000001796410,CARB,NULL,3,toki338,NULL,CKY,2013-01-07T11:05:20Z,1.101,9.1746,0.063740639,1.499887679,0.300644706,kames,2013-02-05T00:38:39Z
"C0021B-4H-8, 32.0 cm",NULL,107.542,108.09,107.542,108.09,"C0021B-4H-8, 35.0 cm",NULL,107.57,108.12,107.57,108.12,"C0021B-4H-8 WR, 32.0--35.0 cm",CKY000000000001818210,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-08T02:17:18Z,1.362,11.3495,0.069965408,1.820371365,0.514711177,kames,2013-02-05T00:38:39Z
"C0021B-5H-1, 57.0 cm",NULL,109.04,109.07,109.04,109.07,"C0021B-5H-1, 60.0 cm",NULL,109.068,109.1,109.068,109.1,"C0021B-5H-1 WR, 57.0--60.0 cm",CKY000000000001822410,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-08T04:48:39Z,1.7684,14.7361,0.059014163,2.105642559,0.262138588,kames,2013-02-05T00:38:39Z
