Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002M-1R-1, 84.0 cm",NULL,475.84,475.84,475.84,475.84,"C0002M-1R-1, 87.0 cm",NULL,475.87,475.87,475.87,475.87,"C0002M-1R-1 W, 84.0--87.0 cm",CKY000000000006092900,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-07T04:57:38Z,0.6601,5.5006,0.075401106,1.349103499,hoshinoh,2014-01-09T05:34:21Z
"C0002M-1R-1, 87.0 cm",NULL,475.87,475.87,475.87,475.87,"C0002M-1R-1, 107.0 cm",NULL,476.07,476.07,476.07,476.07,"C0002M-1R-1 WR, 87.0--107.0 cm",CKY000000000006075400,CARB,NULL,10,kawatad,from IW,CKY,2013-12-03T12:30:18Z,0.7323,6.1021,0.083727715,1.349999441,hoshinoh,2014-01-09T05:34:21Z
"C0002M-1R-2, 63.0 cm",NULL,477.04,477.04,477.04,477.04,"C0002M-1R-2, 65.0 cm",NULL,477.06,477.06,477.06,477.06,"C0002M-1R-2 W, 63.0--65.0 cm",CKY000000000006093400,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-07T05:06:44Z,0.6658,5.5481,0.073938472,1.279703619,hoshinoh,2014-01-09T05:34:21Z
"C0002M-1R-3, 87.0 cm",NULL,478.7,478.7,478.7,478.7,"C0002M-1R-3, 90.0 cm",NULL,478.73,478.73,478.73,478.73,"C0002M-1R-3 W, 87.0--90.0 cm",CKY000000000006093800,CARB,NULL,2,yabukit,NULL,CKY,2013-12-07T05:45:16Z,1.6407,13.672,0.096874589,2.301517887,hoshinoh,2014-01-09T05:34:21Z
"C0002M-2R-2, 107.0 cm",NULL,486.98,486.98,486.98,486.98,"C0002M-2R-2, 109.0 cm",NULL,487,487,487,487,"C0002M-2R-2 W, 107.0--109.0 cm",CKY000000000006096000,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-07T11:25:00Z,0.5535,4.6123,0.057130099,1.112792564,hoshinoh,2014-01-09T05:34:21Z
"C0002M-2R-2, 111.0 cm",NULL,487.02,487.02,487.02,487.02,"C0002M-2R-2, 131.0 cm",NULL,487.22,487.22,487.22,487.22,"C0002M-2R-2 WR, 111.0--131.0 cm",CKY000000000006075500,CARB,NULL,10,kawatad,from IW,CKY,2013-12-03T12:30:19Z,0.7489,6.2406,0.074403857,1.284459896,hoshinoh,2014-01-09T05:34:21Z
"C0002M-2R-3, 65.0 cm",NULL,487.97,487.97,487.97,487.97,"C0002M-2R-3, 68.0 cm",NULL,488,488,488,488,"C0002M-2R-3 W, 65.0--68.0 cm",CKY000000000006097100,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-07T11:46:19Z,0.5115,4.2623,0.07541999,1.034756925,hoshinoh,2014-01-09T05:34:21Z
"C0002M-3R-1, 82.0 cm",NULL,494.32,494.32,494.32,494.32,"C0002M-3R-1, 84.0 cm",NULL,494.34,494.34,494.34,494.34,"C0002M-3R-1 W, 82.0--84.0 cm",CKY000000000006100200,CARB,NULL,2,kitajima348,NULL,CKY,2013-12-07T15:58:12Z,0.5475,4.5623,0.073607073,1.367739307,hoshinoh,2014-01-09T05:34:21Z
"C0002M-3R-1, 85.0 cm",NULL,494.35,494.35,494.35,494.35,"C0002M-3R-1, 87.0 cm",NULL,494.37,494.37,494.37,494.37,"C0002M-3R-1 W, 85.0--87.0 cm",CKY000000000006099000,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-07T13:50:54Z,0.7873,6.5606,0.077675367,1.321644852,hoshinoh,2014-01-09T05:34:21Z
"C0002M-3R-1, 90.0 cm",NULL,494.4,494.4,494.4,494.4,"C0002M-3R-1, 110.0 cm",NULL,494.6,494.6,494.6,494.6,"C0002M-3R-1 WR, 90.0--110.0 cm",CKY000000000006075600,CARB,NULL,10,kawatad,from IW,CKY,2013-12-03T12:30:19Z,0.7476,6.2299,0.075996414,1.285193939,hoshinoh,2014-01-09T05:34:21Z
