Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
C0002N;870.500,870.5,870.5,870.5,C0002N;875.500,875.5,875.5,875.5,C0002N-3SMW W,CKY000000000005808400,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:51:15Z,0.4181,3.484,0.006469485,1.751585498,hoshinoh,2014-01-09T11:37:21Z
C0002N;870.500,870.5,870.5,870.5,C0002N;875.500,875.5,875.5,875.5,C0002N-3SMW W,CKY000000000005811600,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T07:21:59Z,0.1506,1.2549,0.007153852,1.198653075,hoshinoh,2014-01-09T11:37:21Z
C0002N;880.500,880.5,880.5,880.5,C0002N;885.500,885.5,885.5,885.5,C0002N-5SMW W,CKY000000000005808800,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:52:23Z,1.1496,9.5796,0.02136164,2.235593962,hoshinoh,2014-01-09T11:37:21Z
C0002N;880.500,880.5,880.5,880.5,C0002N;885.500,885.5,885.5,885.5,C0002N-5SMW W,CKY000000000005812100,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T07:38:35Z,0.2264,1.8866,0.006470152,1.058816585,hoshinoh,2014-01-09T11:37:21Z
C0002N;890.500,890.5,890.5,890.5,C0002N;895.500,895.5,895.5,895.5,C0002N-7SMW W,CKY000000000005809400,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:54:36Z,1.0937,9.1138,0.024393446,1.983083772,hoshinoh,2014-01-09T11:37:21Z
C0002N;890.500,890.5,890.5,890.5,C0002N;895.500,895.5,895.5,895.5,C0002N-7SMW W,CKY000000000005812500,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T07:38:35Z,0.2906,2.4216,0.006530557,1.207709075,hoshinoh,2014-01-09T11:37:21Z
C0002N;896.500,896.5,896.5,896.5,C0002N;896.500,896.5,896.5,896.5,C0002N-75LMW W,CKY000000000006135600,CARB,NULL,20,hitomiy,NULL,CKY,2013-12-14T17:58:49Z,0.226,1.8833,0.004592297,11.48514885,hoshinoh,2014-01-09T11:37:21Z
C0002N;900.500,900.5,900.5,900.5,C0002N;905.500,905.5,905.5,905.5,C0002N-9SMW W,CKY000000000005809800,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:55:30Z,1.847,15.3911,0.039958816,3.049136173,hoshinoh,2014-01-09T11:37:21Z
C0002N;900.500,900.5,900.5,900.5,C0002N;905.500,905.5,905.5,905.5,C0002N-9SMW W,CKY000000000005812900,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T07:50:04Z,0.7187,5.9889,0.017922318,2.089377597,hoshinoh,2014-01-09T11:37:21Z
C0002N;910.500,910.5,910.5,910.5,C0002N;915.500,915.5,915.5,915.5,C0002N-12SMW W,CKY000000000005810200,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:56:57Z,1.9896,16.5793,0.049007208,3.108355649,hoshinoh,2014-01-09T11:37:21Z
