Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,NULL,C0002P;0.000,NULL,0,NULL,NULL,0,NULL,NULL,C0002P;0.000,NULL,0,NULL,NULL,0,C0002P-67LMW W,CKY000000000006477700,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:03:05Z,0.2135,1.7791,0.007271441,7.743251936,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1939.500,NULL,1939.5,NULL,NULL,1939.5,NULL,NULL,C0002P;1939.500,NULL,1939.5,NULL,NULL,1939.5,C0002P-4LMW W,CKY000000000006389500,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:39:34Z,0.4262,3.5515,0.021637837,12.6154794,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1954.500,NULL,1954.5,NULL,NULL,1954.5,NULL,NULL,C0002P;1954.500,NULL,1954.5,NULL,NULL,1954.5,C0002P-7LMW W,CKY000000000006389600,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:42:20Z,0.3434,2.8616,0.010299228,9.85420537,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1960.500,NULL,1960.5,NULL,NULL,1960.5,NULL,NULL,C0002P;1965.500,NULL,1965.5,NULL,NULL,1965.5,C0002P-9SMW W,CKY000000000006157300,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-18T11:31:13Z,0.3123,2.6024,0.047844107,1.340819906,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1960.500,NULL,1960.5,NULL,NULL,1960.5,NULL,NULL,C0002P;1965.500,NULL,1965.5,NULL,NULL,1965.5,C0002P-9SMW W,CKY000000000006157700,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-18T11:32:09Z,0.4282,3.5682,0.035047286,1.133143578,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1970.500,NULL,1970.5,NULL,NULL,1970.5,NULL,NULL,C0002P;1975.500,NULL,1975.5,NULL,NULL,1975.5,C0002P-14SMW W,CKY000000000006158100,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-18T11:34:04Z,0.387,3.2249,0.047909431,1.261224229,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1970.500,NULL,1970.5,NULL,NULL,1970.5,NULL,NULL,C0002P;1975.500,NULL,1975.5,NULL,NULL,1975.5,C0002P-14SMW W,CKY000000000006158500,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-18T11:35:58Z,0.3645,3.0374,0.053036576,0.993901491,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1974.500,NULL,1974.5,NULL,NULL,1974.5,NULL,NULL,C0002P;1974.500,NULL,1974.5,NULL,NULL,1974.5,C0002P-13LMW W,CKY000000000006389700,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:42:56Z,0.273,2.2749,0,7.220775147,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1980.500,NULL,1980.5,NULL,NULL,1980.5,NULL,NULL,C0002P;1985.500,NULL,1985.5,NULL,NULL,1985.5,C0002P-16SMW W,CKY000000000006159000,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-18T11:38:38Z,0.3783,3.1524,0.051917665,1.171519042,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1980.500,NULL,1980.5,NULL,NULL,1980.5,NULL,NULL,C0002P;1985.500,NULL,1985.5,NULL,NULL,1985.5,C0002P-16SMW W,CKY000000000006159400,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-18T11:38:38Z,0.345,2.8749,0.053165474,0.936589054,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;1990.500,NULL,1990.5,NULL,NULL,1990.5,NULL,NULL,C0002P;1995.500,NULL,1995.5,NULL,NULL,1995.5,C0002P-18SMW W,CKY000000000006161500,CARB,NULL,2,komatsuw,"1-4mm, bulk",CKY,2013-12-19T03:10:56Z,0.4293,3.5774,0.053319735,1.372794987,NULL,hoshinoh,2014-01-15T11:50:36Z
