Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002B-1R-2, 0.0 cm",NULL,476.415,476.415,476.415,476.415,"C0002B-1R-2, 1.0 cm",NULL,476.425,476.425,476.425,476.425,"C0002B-1R-2 WR, 0.0--1.0 cm",CKY000000000000591100,CARB,NULL,2,WZHU315,NULL,CKY,2007-12-09T22:05:50Z,NULL,NULL,NULL,NULL,0.10278,1.43811,0.07463,12/15/2007,kuriharar,2008-02-25T08:38:47Z
"C0002B-1R-2, 0.5 cm",NULL,476.42,476.42,476.42,476.42,"C0002B-1R-2, 0.5 cm",NULL,476.42,476.42,476.42,476.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8315382,6.929208,miyabes,2007-12-17T09:01:05Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-4R-1, 84.0 cm",NULL,504.34,504.34,504.34,504.34,"C0002B-4R-1, 85.0 cm",NULL,504.35,504.35,504.35,504.35,"C0002B-4R-1 WR, 84.0--85.0 cm",CKY000000000000595300,CARB,NULL,2,hirono315,NULL,CKY,2007-12-10T09:54:00Z,NULL,NULL,NULL,NULL,0.09376,1.06195,0.12041,12/15/2007,kuriharar,2008-02-25T08:38:48Z
"C0002B-4R-1, 84.5 cm",NULL,504.345,504.345,504.345,504.345,"C0002B-4R-1, 84.5 cm",NULL,504.345,504.345,504.345,504.345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5540034,4.61651,miyabes,2007-12-17T09:01:10Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-4R-2, 0.0 cm",NULL,504.595,504.595,504.595,504.595,"C0002B-4R-2, 1.0 cm",NULL,504.605,504.605,504.605,504.605,"C0002B-4R-2 WR, 0.0--1.0 cm",CKY000000000000592100,CARB,NULL,2,underwoodm315,NULL,CKY,2007-12-10T01:19:30Z,NULL,NULL,NULL,NULL,0.09302,0.99183,0.09064,12/15/2007,kuriharar,2008-02-25T08:38:49Z
"C0002B-4R-2, 0.5 cm",NULL,504.6,504.6,504.6,504.6,"C0002B-4R-2, 0.5 cm",NULL,504.6,504.6,504.6,504.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5059286,4.215903,miyabes,2007-12-17T09:01:10Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-8R-2, 0.0 cm",NULL,534.41,534.41,534.41,534.41,"C0002B-8R-2, 1.0 cm",NULL,534.42,534.42,534.42,534.42,"C0002B-8R-2 WR, 0.0--1.0 cm",CKY000000000000593400,CARB,NULL,2,hirono315,NULL,CKY,2007-12-10T08:02:56Z,NULL,NULL,NULL,NULL,0.11414,1.40928,0.08972,12/15/2007,kuriharar,2008-02-25T08:38:49Z
"C0002B-8R-2, 0.5 cm",NULL,534.415,534.415,534.415,534.415,"C0002B-8R-2, 0.5 cm",NULL,534.415,534.415,534.415,534.415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7190235,5.991622,miyabes,2007-12-17T09:01:10Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-8R-3, 73.0 cm",NULL,535.455,535.455,535.455,535.455,"C0002B-8R-3, 74.0 cm",NULL,535.465,535.465,535.465,535.465,"C0002B-8R-3 WR, 73.0--74.0 cm",CKY000000000000598900,CARB,NULL,2,hirono315,NULL,CKY,2007-12-10T14:13:30Z,NULL,NULL,NULL,NULL,0.10607,1.17981,0.08851,12/15/2007,kuriharar,2008-02-25T08:38:49Z
"C0002B-8R-3, 73.5 cm",NULL,535.46,535.46,535.46,535.46,"C0002B-8R-3, 73.5 cm",NULL,535.46,535.46,535.46,535.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.570865,4.757019,miyabes,2007-12-17T09:01:10Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-9R-3, 0.0 cm",NULL,544.99,544.99,544.99,544.99,"C0002B-9R-3, 1.0 cm",NULL,545,545,545,545,"C0002B-9R-3 WR, 0.0--1.0 cm",CKY000000000000594100,CARB,NULL,2,hirono315,NULL,CKY,2007-12-10T08:08:36Z,NULL,NULL,NULL,NULL,0.13068,1.30576,0.09109,12/15/2007,kuriharar,2008-02-25T08:38:50Z
"C0002B-9R-3, 0.5 cm",NULL,544.995,544.995,544.995,544.995,"C0002B-9R-3, 0.5 cm",NULL,544.995,544.995,544.995,544.995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6353493,5.294366,miyabes,2007-12-17T09:01:10Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0002B-9R-4, 123.0 cm",NULL,546.535,546.535,546.535,546.535,"C0002B-9R-4, 124.0 cm",NULL,546.545,546.545,546.545,546.545,"C0002B-9R-4 WR, 123.0--124.0 cm",CKY000000000000600900,CARB,NULL,2,underwoodm315,NULL,CKY,2007-12-10T17:47:10Z,NULL,NULL,NULL,NULL,0.12376,1.18332,0.07619,12/15/2007,kuriharar,2008-02-25T08:38:50Z
"C0002B-9R-4, 123.5 cm",NULL,546.54,546.54,546.54,546.54,"C0002B-9R-4, 123.5 cm",NULL,546.54,546.54,546.54,546.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5732485,4.77688,miyabes,2007-12-17T09:01:11Z,NULL,NULL,NULL,NULL,NULL,NULL
