"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0006F-2R-2, 0.0 cm",,405.520,405.520,405.520,405.520,"C0006F-2R-2, 39.0 cm",,405.910,405.910,405.910,405.910,"C0006F-2R-2 WR, 0.0--39.0 cm",KCC000000000002785200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:34:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.117,kames,2010-07-06T01:45:15Z
"C0006F-2R-2, 19.5 cm",,405.715,405.715,405.715,405.715,"C0006F-2R-2, 19.5 cm",,405.715,405.715,405.715,405.715,,,,,,,,,,1.33876,31.77778,552.5696,41.9111,185.9401,2384.5,465.9197,15.19478,559.8879,0,2.185488,0,551.6162,5.629064,11.28663,9.808206,9.280942,0.9549093,639.8542,0.953442,0.7858901,124.4269,158.3521,3.457085,66.58558,0.1058165,1.237639,miyabes,2008-02-04T22:16:45Z,,,,
"C0006F-3R-1, 0.0 cm",,414.000,414.000,414.000,414.000,"C0006F-3R-1, 39.0 cm",,414.390,414.390,414.390,414.390,"C0006F-3R-1 WR, 0.0--39.0 cm",KCC000000000002785300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:34:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,5.816,kames,2010-07-06T01:53:03Z
"C0006F-3R-1, 19.5 cm",,414.195,414.195,414.195,414.195,"C0006F-3R-1, 19.5 cm",,414.195,414.195,414.195,414.195,,,,,,,,,,1.33872,31.55556,545.1315,44.47354,166.1751,2234.343,456.4754,15.15826,763.6787,2.62,2.386909,0,544.1892,5.89603,10.94667,8.377997,7.96847,0.178868,670.1024,0.9422733,0.833045,124.7145,99.99815,3.777187,93.68508,0.8029544,1.265051,miyabes,2008-02-04T22:16:46Z,,,,
"C0006F-4R-2, 0.0 cm",,424.905,424.905,424.905,424.905,"C0006F-4R-2, 36.0 cm",,425.265,425.265,425.265,425.265,"C0006F-4R-2 WR, 0.0--36.0 cm",KCC000000000002785400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:34:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.036,kames,2010-07-06T01:53:03Z
"C0006F-4R-2, 18.0 cm",,425.085,425.085,425.085,425.085,"C0006F-4R-2, 18.0 cm",,425.085,425.085,425.085,425.085,,,,,,,,,,1.33885,32.27778,546.3878,55.75406,143.7158,2569.989,474.6603,17.15323,521.7359,3.94,6.174359,1.197252,545.4684,6.61769,11.13103,22.817,3.972138,0.1359307,656.3492,0.9193153,1.023846,112.548,398.3002,4.766747,23.96433,0,3.781926,miyabes,2008-02-04T22:16:46Z,,,,
"C0006F-5R-1, 113.5 cm",,434.135,434.135,434.135,434.135,"C0006F-5R-1, 140.0 cm",,434.400,434.400,434.400,434.400,"C0006F-5R-1 WR, 113.5--140.0 cm",KCC000000000002785500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:34:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,6.117,kames,2010-07-06T01:53:03Z
"C0006F-5R-1, 126.8 cm",,434.268,434.268,434.268,434.268,"C0006F-5R-1, 126.8 cm",,434.268,434.268,434.268,434.268,,,,,,,,,,1.33874,31.66667,545.1514,64.41213,165.801,2252.009,448.3802,14.44512,651.427,3.94,3.322191,0,544.2247,6.051012,10.44873,48.5498,5.231249,0.1173813,2515.993,0.9267612,1.00156,109.0855,162.0621,4.263648,35.44365,11.44983,2.869215,miyabes,2008-02-04T22:16:47Z,,,,
"C0006F-6R-1, 108.0 cm",,439.080,439.080,439.080,439.080,"C0006F-6R-1, 141.0 cm",,439.410,439.410,439.410,439.410,"C0006F-6R-1 WR, 108.0--141.0 cm",KCC000000000002785600,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:34:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,4.2,kames,2010-07-06T01:53:03Z
"C0006F-6R-1, 124.5 cm",,439.245,439.245,439.245,439.245,"C0006F-6R-1, 124.5 cm",,439.245,439.245,439.245,439.245,,,,,,,,,,1.33878,31.88889,550.9245,69.62,179.5526,1783.871,488.2285,17.89934,732.6604,0,6.09733,1.191816,550.0244,6.794043,10.0564,18.49749,3.718535,0.2244156,614.3928,0.9000803,0.9083244,103.8796,533.8469,3.87017,31.38484,0,4.216576,miyabes,2008-02-04T22:16:47Z,,,,
