"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0007C-1H-2, 0.0 cm",,13.994,14.050,13.994,14.050,"C0007C-1H-2, 23.5 cm",,14.219,14.285,14.219,14.285,"C0007C-1H-2 WR, 0.0--23.5 cm",KCC000000000002802000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,14.799,kames,2010-07-06T02:43:38Z
"C0007C-1H-2, 11.0 cm",,14.099,14.160,14.099,14.160,"C0007C-1H-2, 11.0 cm",,14.099,14.160,14.099,14.160,,,,,,,,,,1.33922,34.33333,553.8542,7.922872,465.9498,2919.862,467.8599,501.8506,39.35211,431.6225,60.26875,12.33111,12.03797,13.85459,553.0034,10.19809,5.205392,27.13845,3.303968,7.250777,302.3794,0.8507558,1.36076,64.90416,193.7411,5.009709,0.3945388,0.4158591,1.499695,maedal,2008-06-09T01:43:52Z,,,,
"C0007C-1H-5, 0.0 cm",,16.721,16.890,16.721,16.890,"C0007C-1H-5, 23.0 cm",,16.942,17.120,16.942,17.120,"C0007C-1H-5 WR, 0.0--23.0 cm",KCC000000000002802100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,16.202,kames,2010-07-06T02:43:38Z
"C0007C-1H-5, 11.0 cm",,16.826,17.000,16.826,17.000,"C0007C-1H-5, 11.0 cm",,16.826,17.000,16.826,17.000,,,,,,,,,,1.3392,34.22222,551.7371,11.70112,420.8615,3324.532,463.7863,503.2489,37.85394,346.7927,42.15329,10.57247,10.22592,11.75246,550.8807,11.26597,4.883041,43.17553,2.815593,3.940319,50.77425,0.8563902,1.491972,62.7241,635.9106,7.561234,1.266959,0.1284549,3.945475,maedal,2008-06-09T01:43:52Z,,,,
"C0007C-3H-2, 0.0 cm",,31.430,31.495,31.430,31.495,"C0007C-3H-2, 23.0 cm",,31.650,31.725,31.650,31.725,"C0007C-3H-2 WR, 0.0--23.0 cm",KCC000000000002802200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,18.058,kames,2010-07-06T02:43:38Z
"C0007C-3H-2, 11.5 cm",,31.540,31.610,31.540,31.610,"C0007C-3H-2, 11.5 cm",,31.540,31.610,31.540,31.610,,,,,,,,,,1.3392,34.22222,558.2665,13.09648,447.4901,4127.239,471.8991,514.4327,37.0116,531.0606,78.38421,8.277781,7.952732,9.009583,557.3945,9.591058,4.767578,20.08381,3.654998,16.8371,160.6884,0.8720415,1.276341,58.70974,229.1123,6.28756,1.59615,0.8944054,1.255925,maedal,2008-06-09T01:43:53Z,,,,
"C0007C-3H-4, 0.0 cm",,32.789,32.920,32.789,32.920,"C0007C-3H-4, 22.0 cm",,32.999,33.140,32.999,33.140,"C0007C-3H-4 WR, 0.0--22.0 cm",KCC000000000002802300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,18.34,kames,2010-07-06T02:43:38Z
"C0007C-3H-4, 11.0 cm",,32.894,33.030,32.894,33.030,"C0007C-3H-4, 11.0 cm",,32.894,33.030,32.894,33.030,,,,,,,,,,1.33922,34.33333,558.7612,13.97675,379.8136,4074.167,475.7042,514.9456,37.504,458.3862,58.87525,8.105972,7.859529,8.804217,557.8922,8.927931,4.850225,19.21383,3.593583,1.80778,0,0.8689112,1.300293,59.73688,464.9321,6.82146,1.466087,0.08207859,1.215191,maedal,2008-06-09T01:43:53Z,,,,
"C0007C-6X-3, 0.0 cm",,55.175,55.175,55.175,55.175,"C0007C-6X-3, 22.0 cm",,55.395,55.395,55.395,55.395,"C0007C-6X-3 WR, 0.0--22.0 cm",KCC000000000002802400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,14.288,kames,2010-07-06T02:43:39Z
"C0007C-6X-3, 11.0 cm",,55.285,55.285,55.285,55.285,"C0007C-6X-3, 11.0 cm",,55.285,55.285,55.285,55.285,,,,,,,,,,1.33931,34.83333,563.9352,14.7764,303.7188,4404.235,498.8517,515.6478,36.74099,437.4655,49.12077,10.91884,10.66376,12.16648,563.0519,10.14904,5.352117,12.37391,5.504402,0.8284,154.4849,0.8833104,1.427873,57.33831,270.7202,7.965456,1.16849,0.1322808,1.329829,maedal,2008-06-09T01:43:53Z,,,,
"C0007C-7X-3, 0.0 cm",,64.680,64.680,64.680,64.680,"C0007C-7X-3, 22.5 cm",,64.905,64.905,64.905,64.905,"C0007C-7X-3 WR, 0.0--22.5 cm",KCC000000000002802500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,13.757,kames,2010-07-06T02:43:39Z
"C0007C-7X-3, 11.2 cm",,64.792,64.792,64.792,64.792,"C0007C-7X-3, 11.2 cm",,64.792,64.792,64.792,64.792,,,,,,,,,,1.33922,34.33333,561.0464,12.17215,289.7386,4234.524,496.5437,511.4142,37.35849,405.2763,28.21832,11.2762,10.81765,12.59364,560.1819,9.075704,5.501303,18.62684,4.029985,0.7648679,245.6224,0.8645289,1.355202,58.90986,339.404,7.691121,1.086809,0.08185045,2.235377,maedal,2008-06-09T01:43:53Z,,,,
"C0007C-8X-3, 0.0 cm",,74.415,74.415,74.415,74.415,"C0007C-8X-3, 29.0 cm",,74.705,74.705,74.705,74.705,"C0007C-8X-3 WR, 0.0--29.0 cm",KCC000000000002802600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,13.477,kames,2010-07-06T02:43:39Z
"C0007C-8X-3, 14.5 cm",,74.560,74.560,74.560,74.560,"C0007C-8X-3, 14.5 cm",,74.560,74.560,74.560,74.560,,,,,,,,,,1.33921,34.27778,559.2064,18.91603,269.5184,4072.895,469.4066,510.365,36.64231,374.2241,21.25083,10.58896,10.08449,11.77217,558.3306,9.370513,5.598851,11.09773,5.099443,0.5919275,202.2862,0.8757977,1.41437,64.94916,307.369,8.340933,1.795926,0.03023994,1.649897,maedal,2008-06-09T01:43:54Z,,,,
"C0007C-9X-5, 0.0 cm",,86.322,86.515,86.322,86.515,"C0007C-9X-5, 22.0 cm",,86.534,86.735,86.534,86.735,"C0007C-9X-5 WR, 0.0--22.0 cm",KCC000000000002802700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:32:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,11.672,kames,2010-07-06T02:43:39Z
"C0007C-9X-5, 11.0 cm",,86.428,86.625,86.428,86.625,"C0007C-9X-5, 11.0 cm",,86.428,86.625,86.428,86.625,,,,,,,,,,1.33925,34.5,552.6769,19.06587,265.4353,3742.154,486.1693,498.9553,37.45486,391.7117,17.07034,13.2362,12.84212,14.93646,551.8061,10.20524,6.173167,10.33646,4.495069,0.1543716,326.9305,0.8707893,1.428743,71.91358,425.2896,7.578597,1.619585,0.4917925,3.150029,maedal,2008-06-09T01:43:54Z,,,,
