"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0007D-3R-2, 0.0 cm",,191.420,191.420,191.420,191.420,"C0007D-3R-2, 34.0 cm",,191.760,191.760,191.760,191.760,"C0007D-3R-2 WR, 0.0--34.0 cm",KCC000000000002799100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:15:48Z,,,,,,,,,,,,,,,,,,,,,,,,,7.67,15.353,kames,2010-07-06T02:52:18Z
"C0007D-3R-2, 17.0 cm",,191.590,191.590,191.590,191.590,"C0007D-3R-2, 17.0 cm",,191.590,191.590,191.590,191.590,,,,,,,,,,1.33895,32.83333,553.5723,15.26955,237.6253,3867.181,471.7074,525.4818,27.18391,674.0039,23.83772,1.547692,1.104838,1.241818,552.6691,8.457256,5.483148,4.196618,4.276493,0.9031792,74.13311,11.89526,maedal,2008-06-09T01:43:58Z,,,,
"C0007D-4R-1, 37.0 cm",,199.870,199.870,199.870,199.870,"C0007D-4R-1, 48.5 cm",,199.985,199.985,199.985,199.985,"C0007D-4R-1 WR, 37.0--48.5 cm",KCC000000000002799200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:15:48Z,,,,,,,,,,,,,,,,,,,,,,,,,7.52,11.429,kames,2010-07-06T02:52:18Z
"C0007D-4R-1, 42.8 cm",,199.928,199.928,199.928,199.928,"C0007D-4R-1, 42.8 cm",,199.928,199.928,199.928,199.928,,,,,,,,,,1.33907,33.5,556.4175,16.88878,291.985,3481.081,487.5127,520.0602,28.23641,707.9965,3.307626,8.078309,8.357453,8.918247,555.5214,7.685589,7.468943,7.319853,1.383315,0.8960918,83.44215,12.71198,maedal,2008-06-09T01:43:58Z,,,,
"C0007D-5R-1, 0.0 cm",,209.000,209.000,209.000,209.000,"C0007D-5R-1, 41.5 cm",,209.415,209.415,209.415,209.415,"C0007D-5R-1 WR, 0.0--41.5 cm",KCC000000000002799600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.79,12.019,kames,2010-07-06T02:52:18Z
"C0007D-5R-1, 20.7 cm",,209.207,209.207,209.207,209.207,"C0007D-5R-1, 20.7 cm",,209.207,209.207,209.207,209.207,,,,,,,,,,1.33901,33.16667,553.2639,18.65448,278.2775,3589.189,471.9735,524.8081,22.94145,675.7622,7.413643,5.222947,5.087025,5.561905,552.3475,8.477566,8.514769,4.82662,1.018642,0.9164634,86.38779,12.69823,maedal,2008-06-09T01:43:58Z,,,,
"C0007D-6R-3, 98.5 cm",,221.440,221.440,221.440,221.440,"C0007D-6R-3, 140.0 cm",,221.855,221.855,221.855,221.855,"C0007D-6R-3 WR, 98.5--140.0 cm",KCC000000000002799700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.69,10.56,kames,2010-07-06T02:52:18Z
"C0007D-6R-3, 119.2 cm",,221.647,221.647,221.647,221.647,"C0007D-6R-3, 119.2 cm",,221.647,221.647,221.647,221.647,,,,,,,,,,1.33899,33.05556,553.443,18.31387,277.433,3504.247,506.3161,524.3558,22.29272,723.7704,6.044971,6.149927,6.113508,6.651526,552.5382,8.400268,8.759456,5.077507,1.013531,0.9048058,90.53326,13.24626,maedal,2008-06-09T01:43:58Z,,,,
"C0007D-7R-1, 98.5 cm",,228.985,228.985,228.985,228.985,"C0007D-7R-1, 140.0 cm",,229.400,229.400,229.400,229.400,"C0007D-7R-1 WR, 98.5--140.0 cm",KCC000000000002799800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.73,10.431,kames,2010-07-06T02:52:18Z
"C0007D-7R-1, 119.2 cm",,229.192,229.192,229.192,229.192,"C0007D-7R-1, 119.2 cm",,229.192,229.192,229.192,229.192,,,,,,,,,,1.33904,33.33333,553.5027,18.22628,256.5074,3288.031,489.2613,526.2314,21.16708,639.0931,6.044971,5.816173,5.813262,6.259213,552.5955,8.595267,9.072739,5.912259,1.520399,0.9071554,92.83882,13.51073,maedal,2008-06-09T01:43:59Z,,,,
"C0007D-8R-1, 90.0 cm",,238.400,238.400,238.400,238.400,"C0007D-8R-1, 128.0 cm",,238.780,238.780,238.780,238.780,"C0007D-8R-1 WR, 90.0--128.0 cm",KCC000000000002799900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.07,9.659,kames,2010-07-06T02:52:18Z
"C0007D-8R-1, 109.0 cm",,238.590,238.590,238.590,238.590,"C0007D-8R-1, 109.0 cm",,238.590,238.590,238.590,238.590,,,,,,,,,,1.33887,32.38889,550.4287,20.49592,254.5368,3450.193,461.3487,526.0575,19.37745,568.7097,3.307626,3.170847,2.906703,3.14976,549.5085,8.357421,8.598795,6.833811,0.510543,0.9201943,95.8115,16.47359,maedal,2008-06-09T01:43:59Z,,,,
"C0007D-9R-2, 23.0 cm",,248.650,248.650,248.650,248.650,"C0007D-9R-2, 40.0 cm",,248.820,248.820,248.820,248.820,"C0007D-9R-2 WR, 23.0--40.0 cm",KCC000000000002800000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.97,8.825,kames,2010-07-06T02:52:19Z
"C0007D-9R-2, 31.5 cm",,248.735,248.735,248.735,248.735,"C0007D-9R-2, 31.5 cm",,248.735,248.735,248.735,248.735,,,,,,,,,,1.33888,32.44444,551.6623,22.89525,192.0105,3408.318,488.4023,527.2323,18.69373,464.97,1.938953,3.93163,3.792157,4.044024,550.7251,8.65683,8.833755,3.407761,0.5604686,0.9371964,101.0582,18.38411,maedal,2008-06-09T01:43:59Z,,,,
"C0007D-9R-2, 68.0 cm",,249.100,249.100,249.100,249.100,"C0007D-9R-2, 68.0 cm",,249.100,249.100,249.100,249.100,,,,,,,,,,1.3389,32.55556,551.1848,22.61791,195.462,3218.533,455.3695,514.6894,20.18891,519.8868,3.307626,5.466732,5.391291,5.848462,550.2477,8.788731,9.041682,4.367612,0.425399,0.9370286,100.3807,18.87156,maedal,2008-06-09T01:43:59Z,,,,
