"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Mud depth below sea floor [m MSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Mud depth below sea floor [m MSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::NO2 concentration: IC [mM]::number","pore water chemistry; sample::NO3 concentration: IC [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::HS concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe(II) concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::pmH full result::file","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0011B-3R-2, 27.0 cm",,,359.843,359.880,359.843,359.880,"C0011B-3R-2, 55.0 cm",,,360.111,360.160,360.111,360.160,"C0011B-3R-2 WR, 27.0--55.0 cm",CKY000000000000007110,IWIC,,4.0,christine322,,CKY,2009-09-09T17:56:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,1.684,"pore water chemistry/alkalinity full result/C0011B-3R-2 WR, 27.0--55.0 cm IWIC (1).pdf",yamamotoh322,2009-09-09T10:49:22Z
"C0011B-3R-2, 41.0 cm",,,359.977,360.020,359.977,360.020,"C0011B-3R-2, 41.0 cm",,,359.977,360.020,359.977,360.020,,,,,,,,,,1.33888,560.5358689,144.6007993,431.0107051,0.713847372,0,0,480.1804584,10.00528282,746.6371279,0.98940347,0.25,3.42270506,3.033009261,23.82387603,9.356907239,59.9738105,0,0,2933.242956,1463.932231,1.018968867,485.0713702,125.3384626,89.18418183,2.678154654,10.11161345,3.028303773,1.864854063,kuriharar,2010-09-28T05:20:24Z,,,,,,
"C0011B-4R-3, 2.0 cm",,,366.960,366.960,366.960,366.960,"C0011B-4R-3, 30.0 cm",,,367.240,367.240,367.240,367.240,"C0011B-4R-3 WR, 2.0--30.0 cm",CKY000000000000016010,IWIC,,4.0,marta322,,CKY,2009-09-10T00:49:47Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,"pore water chemistry/pmH full result/C0011B-4R-3 WR, 2.0--30.0 cm IWIC (1).pdf",2.897,,tanakatat322,2009-09-09T19:25:43Z
"C0011B-4R-3, 16.0 cm",,,367.100,367.100,367.100,367.100,"C0011B-4R-3, 16.0 cm",,,367.100,367.100,367.100,367.100,,,,,,,,,,1.33887,563.6037079,150.5151907,519.8380546,0.957125854,0,0,505.2730703,7.536332256,982.8436497,2.609773928,0,1.729017605,3.277322877,24.74083348,11.74572944,63.30663099,1.039699877,0,1185.461153,355.776477,0.999155227,596.2626797,127.072436,281.8210961,4.718971501,37.90077471,0.812754362,1.397295452,kuriharar,2010-09-28T05:20:25Z,,,,,,
"C0011B-5R-2, 0.0 cm",,,375.365,375.365,375.365,375.365,"C0011B-5R-2, 25.0 cm",,,375.615,375.615,375.615,375.615,"C0011B-5R-2 WR, 0.0--25.0 cm",CKY000000000000024810,IWIC,,4.0,marta322,,CKY,2009-09-10T04:23:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,"pore water chemistry/pmH full result/C0011B-5R-2 WR, 0.0--25.0 cm IWIC (1).pdf",1.889,,tanakatat322,2009-09-09T20:59:56Z
"C0011B-5R-2, 12.5 cm",,,375.490,375.490,375.490,375.490,"C0011B-5R-2, 12.5 cm",,,375.490,375.490,375.490,375.490,,,,,,,,,,1.33886,564.999507,,,1.017635811,0,0,,,,0,0,1.114656688,,,,,,0,,,0.96369748,,,,,,,,kuriharar,2010-09-28T05:20:25Z,,,,,,
"C0011B-6R-5, 27.0 cm",,,388.587,388.700,388.587,388.700,"C0011B-6R-5, 50.0 cm",,,388.811,388.930,388.811,388.930,"C0011B-6R-5 WR, 27.0--50.0 cm",CKY000000000000032810,IWIC,,4.0,marta322,,CKY,2009-09-10T07:51:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,"pore water chemistry/pmH full result/C0011B-6R-5 WR, 27.0--50.0 cm IWIC (1).pdf",1.511,,tanakatat322,2009-09-10T00:09:20Z
"C0011B-6R-5, 38.5 cm",,,388.699,388.815,388.699,388.815,"C0011B-6R-5, 38.5 cm",,,388.699,388.815,388.699,388.815,,,,,,,,,,1.33872,551.5400163,151.5847832,405.3623963,0.807729408,0,0,482.4460853,6.704827585,285.0662422,3.204513903,0,0.812465984,2.455818325,25.86951699,8.543822959,41.19376296,1.378767247,0,3198.253041,1831.114282,0.964303087,378.4227262,141.0215722,115.008488,2.278095716,87.85526587,1.728726921,2.870677136,kuriharar,2010-09-28T05:20:25Z,,,,,,
"C0011B-7R-3, 2.0 cm",,,395.155,395.155,395.155,395.155,"C0011B-7R-3, 36.0 cm",,,395.495,395.495,395.495,395.495,"C0011B-7R-3 WR, 2.0--36.0 cm",CKY000000000000039410,IWIC,,4.0,marta322,,CKY,2009-09-10T10:35:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,1.649,"pore water chemistry/alkalinity full result/C0011B-7R-3 WR, 2.0--36.0 cm IWIC (1).pdf",yamamotoh322,2009-09-10T05:25:34Z
"C0011B-7R-3, 19.0 cm",,,395.325,395.325,395.325,395.325,"C0011B-7R-3, 19.0 cm",,,395.325,395.325,395.325,395.325,,,,,,,,,,1.3388,560.5130101,148.5628453,385.3657345,1.006525,0,0,496.0227048,5.86350441,242.1410137,1.948951733,0,0.591859628,2.550128454,24.96678135,10.82790308,25.60617262,0,0,1595.299758,182.4343338,0.987109019,478.8436706,137.9961023,65.23342292,4.102119968,93.53714588,1.159492591,1.081728816,kuriharar,2010-09-28T05:20:25Z,,,,,,
