"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::NO2 concentration: IC [mM]::number","pore water chemistry; sample::NO3 concentration: IC [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::HS concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe(II) concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0012A-5R-2, 27.0 cm",,89.695,89.695,89.695,89.695,"C0012A-5R-2, 46.0 cm",,89.885,89.885,89.885,89.885,"C0012A-5R-2 WR, 27.0--46.0 cm",CKY000000000000557410,IWIC,,4.0,marta322,,CKY,2009-09-26T11:15:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,3.717,"pore water chemistry/alkalinity full result/C0012A-5R-2 WR, 27.0--46.0 cm IWIC (1).pdf",taketomoy,2009-09-26T03:19:15Z
"C0012A-5R-2, 36.5 cm",,89.790,89.790,89.790,89.790,"C0012A-5R-2, 36.5 cm",,89.790,89.790,89.790,89.790,,,,,,,,,,1.33936,561.4688674,138.6662159,351.74984,0.429606784,0,0,486.2258049,35.66456629,413.2690862,3.234240032,36.125,20.44819075,5.805677266,24.39586288,7.736917478,86.97560718,2.94911297,0,2985.802642,1387.840803,0.911841184,519.0835777,122.0408776,108.971436,1.182319774,0.679055175,1.301123921,2.251811103,kuriharar,2010-09-28T05:20:28Z,,,,,
"C0012A-6R-3, 12.0 cm",,100.470,100.470,100.470,100.470,"C0012A-6R-3, 33.0 cm",,100.680,100.680,100.680,100.680,"C0012A-6R-3 WR, 12.0--33.0 cm",CKY000000000000565510,IWIC,,4.0,christine322,,CKY,2009-09-26T13:52:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,3.21,"pore water chemistry/alkalinity full result/C0012A-6R-3 WR, 12.0--33.0 cm IWIC (1).pdf",miyabes,2009-10-07T07:34:51Z
"C0012A-6R-3, 22.5 cm",,100.575,100.575,100.575,100.575,"C0012A-6R-3, 22.5 cm",,100.575,100.575,100.575,100.575,,,,,,,,,,1.39932,559.6524692,151.3470877,339.165503,0.465290816,0,0,480.1121358,31.66317419,346.1789113,0,10.95138889,19.1697172,4.865195625,26.52425799,7.796016875,85.40782094,1.354042471,0,7464.244775,2545.054589,0.903129743,538.752965,126.3240763,150.4986879,1.580999813,0.883083096,2.765037315,3.182524978,kuriharar,2010-09-28T05:20:28Z,,,,,
"C0012A-7R-5, 90.0 cm",,107.655,107.655,107.655,107.655,"C0012A-7R-5, 108.0 cm",,107.835,107.835,107.835,107.835,"C0012A-7R-5 WR, 90.0--108.0 cm",CKY000000000000572210,IWIC,,4.0,christine322,,CKY,2009-09-26T16:44:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,2.816,"pore water chemistry/alkalinity full result/C0012A-7R-5 WR, 90.0--108.0 cm IWIC (1).pdf",matsuura322,2009-09-26T11:21:05Z
"C0012A-7R-5, 99.0 cm",,107.745,107.745,107.745,107.745,"C0012A-7R-5, 99.0 cm",,107.745,107.745,107.745,107.745,,,,,,,,,,1.39931,567.4226171,162.5466908,345.2010608,0.476995779,0,0,488.2380331,29.97641332,356.0951452,0,21.66319444,18.00328128,4.846503996,27.74195375,10.14470004,83.65522513,3.456300445,0,6854.191363,2883.421365,0.915630502,532.5393771,128.4503692,137.220787,1.629849393,1.139372528,1.565230916,2.360056679,kuriharar,2010-09-28T05:20:28Z,,,,,
"C0012A-8R-5, 3.0 cm",,116.650,116.650,116.650,116.650,"C0012A-8R-5, 23.5 cm",,116.855,116.855,116.855,116.855,"C0012A-8R-5 WR, 3.0--23.5 cm",CKY000000000000583610,IWIC,,4.0,christine322,,CKY,2009-09-26T19:32:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,2.348,"pore water chemistry/alkalinity full result/C0012A-8R-5 WR, 3.0--23.5 cm IWIC (1).pdf",matsuura322,2009-09-26T12:14:21Z
"C0012A-8R-5, 13.3 cm",,116.753,116.753,116.753,116.753,"C0012A-8R-5, 13.3 cm",,116.753,116.753,116.753,116.753,,,,,,,,,,1.33925,559.1479142,175.6042661,337.5420216,0.523590126,0,0,479.6791391,25.1622205,337.6360861,0,13.43402778,15.97955117,4.06690409,30.35835059,8.516499337,92.28235124,1.649831386,0,9141.609415,2895.992302,0.93731166,498.9163135,137.5136906,170.468836,1.590359749,1.199055331,1.4897685,2.34543648,kuriharar,2010-09-28T05:20:28Z,,,,,
"C0012A-9R-4, 2.0 cm",,124.050,124.050,124.050,124.050,"C0012A-9R-4, 23.0 cm",,124.260,124.260,124.260,124.260,"C0012A-9R-4 WR, 2.0--23.0 cm",CKY000000000000586910,IWIC,,4.0,christine322,,CKY,2009-09-26T20:17:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,2.38,"pore water chemistry/alkalinity full result/C0012A-9R-4 WR, 2.0--23.0 cm IWIC (1).pdf",matsuura322,2009-09-26T12:19:20Z
"C0012A-9R-4, 12.5 cm",,124.155,124.155,124.155,124.155,"C0012A-9R-4, 12.5 cm",,124.155,124.155,124.155,124.155,,,,,,,,,,1.33925,561.6706894,182.0888525,316.1029154,0.575811445,0,0,481.5935854,22.38225845,362.4287153,0,1.472222222,14.8667433,4.535980066,31.75033346,8.178101433,102.5688165,0.801789317,0,10411.45786,2683.933872,0.96312274,553.3528937,139.0154493,187.0845376,2.211480142,1.251950863,3.836311673,2.409603563,kuriharar,2010-09-28T05:20:28Z,,,,,
