"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0013D-1H-1, 0.0 cm",,3.000,3.000,3.000,3.000,"C0013D-1H-1, 9.5 cm",,3.095,3.095,3.095,3.095,"C0013D-1H-1 WR, 0.0--9.5 cm",CKY000000000002929400,IWIC,,4.0,sebastian331,,CKY,2010-09-12T11:31:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,3.959,"pore water chemistry/alkalinity full result/C0013D-1H-1 WR, 0.0--9.5 cm IWIC (1).pdf",kames,2010-09-13T18:13:54Z
"C0013D-1H-1, 4.8 cm",,3.048,3.048,3.048,3.048,"C0013D-1H-1, 4.8 cm",,3.048,3.048,3.048,3.048,,,,,,,,,,1.33922,533.5858911,43.47308163,237.5818584,0.03071488,447.8408231,51.8131724,124.9538958,0.128488768,1.332385374,28.70300224,10.0803765,11.16132362,10.24288443,0.534943934,23094.95671,0.825357133,1504.186655,76.94825369,1395.457788,9.144178123,0.744580621,2464.708735,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013D-1H-1, 19.0 cm",,3.190,3.190,3.190,3.190,"C0013D-1H-1, 29.0 cm",,3.290,3.290,3.290,3.290,"C0013D-1H-1 WR, 19.0--29.0 cm",CKY000000000002930600,IWIC,,4.0,sebastian331,,CKY,2010-09-12T11:47:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,2.667,"pore water chemistry/alkalinity full result/C0013D-1H-1 WR, 19.0--29.0 cm IWIC (1).pdf",kames,2010-09-13T18:13:56Z
"C0013D-1H-1, 24.0 cm",,3.240,3.240,3.240,3.240,"C0013D-1H-1, 24.0 cm",,3.240,3.240,3.240,3.240,,,,,,,,,,1.33948,553.2068161,40.78004169,282.4592841,0.023145043,470.2520291,55.44756223,259.5163217,0.274796865,1.000918699,29.08427999,9.771372966,10.87155469,2.748681145,0.689631056,178.9025288,0.852643843,929.9295366,87.48116516,313.2181948,2.407388677,1.14915176,46.59905102,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013D-1H-1, 57.0 cm",,3.570,3.570,3.570,3.570,"C0013D-1H-1, 67.0 cm",,3.670,3.670,3.670,3.670,"C0013D-1H-1 WR, 57.0--67.0 cm",CKY000000000002931800,IWIC,,4.0,sebastian331,,CKY,2010-09-12T11:52:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,3.309,"pore water chemistry/alkalinity full result/C0013D-1H-1 WR, 57.0--67.0 cm IWIC (1).pdf",kames,2010-09-13T18:13:57Z
"C0013D-1H-1, 62.0 cm",,3.620,3.620,3.620,3.620,"C0013D-1H-1, 62.0 cm",,3.620,3.620,3.620,3.620,,,,,,,,,,1.33948,555.6852487,40.82470689,290.8150277,0.020210396,468.4795805,55.79621599,253.9504713,0.265056986,1.27765833,28.72711555,8.551911211,10.87696229,3.464489924,3.403946604,133.5554125,0.851271725,580.5098907,87.20740908,312.6914541,0,1.00295682,11.18779115,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013D-1H-2, 41.0 cm",,4.185,4.185,4.185,4.185,"C0013D-1H-2, 53.0 cm",,4.305,4.305,4.305,4.305,"C0013D-1H-2 WR, 41.0--53.0 cm",CKY000000000002933000,IWIC,,4.0,sebastian331,,CKY,2010-09-12T11:56:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,6.289,"pore water chemistry/alkalinity full result/C0013D-1H-2 WR, 41.0--53.0 cm IWIC (1).pdf",kames,2010-09-13T18:38:05Z
"C0013D-1H-2, 47.0 cm",,4.245,4.245,4.245,4.245,"C0013D-1H-2, 47.0 cm",,4.245,4.245,4.245,4.245,,,,,,,,,,1.33978,558.5099792,32.743342,321.387367,0.022342725,470.4519191,61.68989912,314.2922639,0.335335251,2.771707071,39.97133317,6.951867336,17.39341608,2.355349072,0.736503035,4611.339337,0.858475268,485.8952605,111.1028817,387.7245108,0,1.134121193,9.656204455,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013D-1H-2, 68.0 cm",,4.455,4.455,4.455,4.455,"C0013D-1H-2, 80.0 cm",,4.575,4.575,4.575,4.575,"C0013D-1H-2 WR, 68.0--80.0 cm",CKY000000000002934200,IWIC,,4.0,sebastian331,,CKY,2010-09-12T11:59:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.203,"pore water chemistry/alkalinity full result/C0013D-1H-2 WR, 68.0--80.0 cm IWIC (1).pdf",kames,2010-09-13T18:38:06Z
"C0013D-1H-2, 74.0 cm",,4.515,4.515,4.515,4.515,"C0013D-1H-2, 74.0 cm",,4.515,4.515,4.515,4.515,,,,,,,,,,1.34016,555.83078,29.41378882,322.5294066,0.018649579,476.4854511,67.48610947,291.5946687,0.312182047,1.540877297,54.38200917,6.910062582,26.23104865,7.014981436,2.578118429,301.1551249,0.845440841,513.312477,154.1999942,293.9322142,0,1.81093899,22.70548474,moriyas,2010-12-03T02:29:36Z,,,,,
