"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014D-1H-1, 38.0 cm",,0.380,0.380,0.380,0.380,"C0014D-1H-1, 50.0 cm",,0.500,0.500,0.500,0.500,"C0014D-1H-1 WR, 38.0--50.0 cm",CKY000000000003158200,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:31:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,57.47,"pore water chemistry/alkalinity full result/C0014D-1H-1 WR, 38.0--50.0 cm IWIC (1).pdf",kawait,2010-09-23T13:42:45Z
"C0014D-1H-1, 44.0 cm",,0.440,0.440,0.440,0.440,"C0014D-1H-1, 44.0 cm",,0.440,0.440,0.440,0.440,,,,,,,,,,1.33942,557.219739,52.36617014,479.9437303,51.86,0.081110081,466.0191718,50.84376618,463.7560582,1.012219399,6.763187374,0,11.67128865,10.31807993,0.310475233,0.339221483,383.9663876,0.942365118,1782.726657,80.08594883,0,9.959928882,25.69373754,42.41889128,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-1H-2, 77.0 cm",,2.170,2.170,2.170,2.170,"C0014D-1H-2, 89.0 cm",,2.290,2.290,2.290,2.290,"C0014D-1H-2 WR, 77.0--89.0 cm",CKY000000000003156300,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:28:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,24.687,"pore water chemistry/alkalinity full result/C0014D-1H-2 WR, 77.0--89.0 cm IWIC (1).pdf",kawait,2010-09-23T13:45:34Z
"C0014D-1H-2, 83.0 cm",,2.230,2.230,2.230,2.230,"C0014D-1H-2, 83.0 cm",,2.230,2.230,2.230,2.230,,,,,,,,,,1.33937,554.2954949,71.80683196,435.0394204,,0.066532891,469.2528583,51.43501534,861.5432498,1.854932057,5.195748102,14.42593289,12.36091641,10.89044515,36.28924645,0.867229757,92.50133335,0.901683153,4557.408376,85.20164059,774.3363,135.0444377,1.635319888,299.2512486,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-1H-3, 42.0 cm",,3.225,3.225,3.225,3.225,"C0014D-1H-3, 54.0 cm",,3.345,3.345,3.345,3.345,"C0014D-1H-3 WR, 42.0--54.0 cm",CKY000000000003160400,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:35:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,4.002,"pore water chemistry/alkalinity full result/C0014D-1H-3 WR, 42.0--54.0 cm IWIC (1).pdf",kawait,2010-09-23T13:50:01Z
"C0014D-1H-3, 48.0 cm",,3.285,3.285,3.285,3.285,"C0014D-1H-3, 48.0 cm",,3.285,3.285,3.285,3.285,,,,,,,,,,1.33937,546.4302869,54.70280251,397.7269859,3.86,0.082752296,470.9219377,52.530533,528.6751145,1.112099158,0.659866801,27.77078472,11.0017428,10.73900302,23.03848574,206.2909928,450.9167414,0.92068224,3081.269464,84.12176202,4599.770307,79.1835084,0.821029335,256.3212374,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-1H-4, 10.0 cm",,4.325,4.325,4.325,4.325,"C0014D-1H-4, 22.0 cm",,4.445,4.445,4.445,4.445,"C0014D-1H-4 WR, 10.0--22.0 cm",CKY000000000003162600,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:39:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,2.985,"pore water chemistry/alkalinity full result/C0014D-1H-4 WR, 10.0--22.0 cm IWIC (1).pdf",kawait,2010-09-23T13:52:47Z
"C0014D-1H-4, 16.0 cm",,4.385,4.385,4.385,4.385,"C0014D-1H-4, 16.0 cm",,4.385,4.385,4.385,4.385,,,,,,,,,,1.33937,546.3294509,42.75939513,377.6239837,3.01,0.044900259,460.4120879,51.65052585,376.9040331,0.822273483,0.494279733,28.64619626,10.15910028,10.58864639,15.05335765,15.61123447,530.3322953,0.88976244,2118.212929,85.55526623,9424.818569,69.8747922,0.617345711,1010.73134,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-2H-1, 32.0 cm",,6.820,6.820,6.820,6.820,"C0014D-2H-1, 43.0 cm",,6.930,6.930,6.930,6.930,"C0014D-2H-1 WR, 32.0--43.0 cm",CKY000000000003163800,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:43:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,7.34,"pore water chemistry/alkalinity full result/C0014D-2H-1 WR, 32.0--43.0 cm IWIC (1).pdf",kawait,2010-09-23T13:56:40Z
"C0014D-2H-1, 37.5 cm",,6.875,6.875,6.875,6.875,"C0014D-2H-1, 37.5 cm",,6.875,6.875,6.875,6.875,,,,,,,,,,1.33933,541.8926669,43.84423115,371.8673885,,0.241296983,459.3379119,51.86645683,602.8917778,1.306870772,4.842516963,28.7362909,10.93285189,12.33853049,14.51539345,0.518124871,1427.381995,0.859719768,3273.184685,87.91051089,80347.43636,102.9302186,1.098932077,892.2056209,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-2H-2, 95.0 cm",,8.830,8.830,8.830,8.830,"C0014D-2H-2, 110.0 cm",,8.980,8.980,8.980,8.980,"C0014D-2H-2 WR, 95.0--110.0 cm",CKY000000000003164000,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:44:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,4.986,"pore water chemistry/alkalinity full result/C0014D-2H-2 WR, 95.0--110.0 cm IWIC (1).pdf",kawait,2010-09-23T14:03:52Z
"C0014D-2H-2, 102.5 cm",,8.905,8.905,8.905,8.905,"C0014D-2H-2, 102.5 cm",,8.905,8.905,8.905,8.905,,,,,,,,,,1.33937,551.5729229,42.23436782,424.6183312,5.4,0.069533481,464.6577789,51.90999774,432.1831354,0.941050508,8.124775423,20.79125652,10.28739937,10.75517771,5.612028489,9.152634645,1317.848541,0.667388968,2263.732405,87.85417134,23192.97905,43.93278913,0.322449407,813.5340705,moriyas,2010-12-03T02:29:41Z,,,,,
"C0014D-2H-3, 73.0 cm",,10.020,10.020,10.020,10.020,"C0014D-2H-3, 88.0 cm",,10.170,10.170,10.170,10.170,"C0014D-2H-3 WR, 73.0--88.0 cm",CKY000000000003165200,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:48:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,20.417,"pore water chemistry/alkalinity full result/C0014D-2H-3 WR, 73.0--88.0 cm IWIC (1).pdf",kawait,2010-09-23T14:06:56Z
"C0014D-2H-3, 80.5 cm",,10.095,10.095,10.095,10.095,"C0014D-2H-3, 80.5 cm",,10.095,10.095,10.095,10.095,,,,,,,,,,1.33914,546.8336309,367.3402878,744.8450018,19.83,0.393211988,460.223451,41.11900458,1102.820281,1.181318609,3.166856793,9.44559475,19.22802558,12.98097423,48.85258413,0.730167022,737.0554668,0.912488817,21955.65966,84.88281495,232.7749691,890.9620277,1.17517528,227.6910895,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014D-2H-4, 81.0 cm",,11.530,11.530,11.530,11.530,"C0014D-2H-4, 96.0 cm",,11.680,11.680,11.680,11.680,"C0014D-2H-4 WR, 81.0--96.0 cm",CKY000000000003166200,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:54:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,11.644,"pore water chemistry/alkalinity full result/C0014D-2H-4 WR, 81.0--96.0 cm IWIC (1).pdf",kawait,2010-09-23T14:11:35Z
"C0014D-2H-4, 88.5 cm",,11.605,11.605,11.605,11.605,"C0014D-2H-4, 88.5 cm",,11.605,11.605,11.605,11.605,,,,,,,,,,1.33883,541.1868149,995.5782713,875.1172801,12.2,1.210005788,431.5636505,19.91366434,1464.056424,1.579789761,2.729873356,1.143518642,43.48973748,19.06567543,139.6061801,3.413164296,43.7757107,0.922986314,64442.3534,86.04550065,280.9743473,2327.210261,2.962279742,226.5143714,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014D-2H-6, 9.0 cm",,12.695,12.695,12.695,12.695,"C0014D-2H-6, 19.0 cm",,12.795,12.795,12.795,12.795,"C0014D-2H-6 WR, 9.0--19.0 cm",CKY000000000003167400,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:59:07Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,11.369,"pore water chemistry/alkalinity full result/C0014D-2H-6 WR, 9.0--19.0 cm IWIC (1).pdf",kawait,2010-09-23T14:13:47Z
"C0014D-2H-6, 14.0 cm",,12.745,12.745,12.745,12.745,"C0014D-2H-6, 14.0 cm",,12.745,12.745,12.745,12.745,,,,,,,,,,1.33894,550.9679069,1281.759619,984.9336312,11.68,1.490503953,437.9563782,17.55397292,1606.964646,1.6885172,9.701863569,1.960264959,51.56472116,22.73568356,195.1696796,8.956558467,469.6035572,0.926808808,69628.08335,92.82372301,745.6045889,2061.891561,3.566316823,58.9954083,moriyas,2010-12-03T02:29:42Z,,,,,
