"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::pmH full result::file","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::comment on measurement::text","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0011D-1H-4, 0.0 cm",,24.981,25.230,24.981,25.230,"C0011D-1H-4, 20.0 cm",,25.169,25.430,25.169,25.430,"C0011D-1H-4 WR, 0.0--20.0 cm",CKY000000000004012900,IWIC,,4.0,kawait,,CKY,2010-12-19T00:45:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,,7.172,"pore water chemistry/alkalinity full result/C0011D-1H-4 WR, 0.0--20.0 cm IWIC (1).pdf",,kames,2010-12-20T17:06:12Z
"C0011D-1H-4, 10.0 cm",,25.075,25.330,25.075,25.330,"C0011D-1H-4, 10.0 cm",,25.075,25.330,25.075,25.330,,,,,,,,,,1.3392,563.7623235,42.3048683,402.0474712,0.525190893,505.827536,40.60853028,785.5747216,9.956865751,13.50021263,12.69114309,8.389564803,58.93207951,12.01194591,2.748295233,3023.760406,1055.926956,0.874449212,1604.223734,80.83156625,117.7646953,3.088020315,0.825767961,1.347399829,5.408847639,kames,2011-01-09T04:08:40Z,,,,,,,
"C0011D-2H-5, 0.0 cm",,35.795,35.945,35.795,35.945,"C0011D-2H-5, 20.0 cm",,35.989,36.145,35.989,36.145,"C0011D-2H-5 WR, 0.0--20.0 cm",CKY000000000004014300,IWIC,,4.0,kawait,,CKY,2010-12-19T02:09:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,,8.938,"pore water chemistry/alkalinity full result/C0011D-2H-5 WR, 0.0--20.0 cm IWIC (1).pdf",,kames,2010-12-20T17:06:13Z
"C0011D-2H-5, 10.0 cm",,35.892,36.045,35.892,36.045,"C0011D-2H-5, 10.0 cm",,35.892,36.045,35.892,36.045,,,,,,,,,,1.33913,563.3631997,45.35736931,368.2301048,0.656347418,509.7624071,38.17571646,728.4587212,12.47836501,9.517587486,11.17311616,8.387232465,50.75813983,11.04587162,7.043308523,587.0045761,908.484572,0.863323279,1336.312257,84.83938796,26.99175266,2.822577083,0.938412569,0.435392915,3.740232855,kames,2011-01-09T04:08:41Z,,,,,,,
"C0011D-3H-5, 0.0 cm",,44.804,45.060,44.804,45.060,"C0011D-3H-5, 21.5 cm",,45.008,45.275,45.008,45.275,"C0011D-3H-5 WR, 0.0--21.5 cm",CKY000000000004015600,IWIC,,4.0,kawait,,CKY,2010-12-19T02:19:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,,9.671,"pore water chemistry/alkalinity full result/C0011D-3H-5 WR, 0.0--21.5 cm IWIC (1).pdf",,kames,2010-12-20T17:03:53Z
"C0011D-3H-5, 10.8 cm",,44.906,45.168,44.906,45.168,"C0011D-3H-5, 10.8 cm",,44.906,45.168,44.906,45.168,,,,,,,,,,1.3391,563.9618854,48.15582624,343.3055899,0.7639042,507.4609317,35.70564598,682.8635291,11.16459924,6.908620061,10.5809422,8.297466174,40.34073375,9.748879175,16.83698164,2193.536597,1426.593227,0.891080167,1363.946169,86.71720678,60.61167934,3.160894028,1.021208153,0.885349988,1.628113971,kames,2011-01-09T04:08:41Z,,,,,,,
"C0011D-4H-5, 0.0 cm",,51.939,52.690,51.939,52.690,"C0011D-4H-5, 20.5 cm",,52.103,52.895,52.103,52.895,"C0011D-4H-5 WR, 0.0--20.5 cm",CKY000000000004056300,IWIC,,4.0,kawait,,CKY,2010-12-19T16:59:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,,9.537,"pore water chemistry/alkalinity full result/C0011D-4H-5 WR, 0.0--20.5 cm IWIC (1).pdf",,kames,2010-12-20T17:12:50Z
"C0011D-4H-5, 10.3 cm",,52.021,52.793,52.021,52.793,"C0011D-4H-5, 10.3 cm",,52.021,52.793,52.021,52.793,,,,,,,,,,1.33901,563.5627616,54.64568442,331.0677283,0.835566235,504.5521114,32.79480206,728.34347,7.386229587,5.081375992,10.48555026,7.733192527,48.02091074,6.644496534,7.94855971,3520.625927,1562.798585,0.91376788,1309.127961,85.72088662,29.67863637,3.153984798,1.311929988,0.531910289,3.284317504,kames,2011-01-09T04:08:42Z,,,,,,,
"C0011D-5H-5, 0.0 cm",,60.694,60.935,60.694,60.935,"C0011D-5H-5, 20.0 cm",,60.886,61.135,60.886,61.135,"C0011D-5H-5 WR, 0.0--20.0 cm",CKY000000000004063700,IWIC,,4.0,kawait,,CKY,2010-12-19T20:27:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,9.771,"pore water chemistry/alkalinity full result/C0011D-5H-5 WR, 0.0--20.0 cm IWIC (1).pdf",,kames,2010-12-20T17:12:51Z
"C0011D-5H-5, 10.0 cm",,60.790,61.035,60.790,61.035,"C0011D-5H-5, 10.0 cm",,60.790,61.035,60.790,61.035,,,,,,,,,,1.339,564.1614473,58.72661389,300.9110352,0.920346863,503.2964651,30.85287221,715.3752818,5.665144711,3.560362398,10.3725033,7.722977487,49.02990278,4.721628888,1.253436739,1266.881245,1449.39232,0.896120035,1311.963686,84.69169846,50.90869811,3.188881257,1.7768662,0.367747059,3.285189993,kames,2011-01-09T04:08:42Z,,,,,,,
