"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0012C-1H-2, 93.0 cm",,2.201,2.335,2.201,2.335,"C0012C-1H-2, 113.0 cm",,2.389,2.535,2.389,2.535,"C0012C-1H-2 WR, 93.0--113.0 cm",CKY000000000004524200,IWIC,,4.0,yu333,,CKY,2010-12-26T19:54:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,2.949,"pore water chemistry/alkalinity full result/C0012C-1H-2 WR, 93.0--113.0 cm IWIC (1).pdf",maedal,2011-01-05T22:17:28Z
"C0012C-1H-2, 103.0 cm",,2.295,2.435,2.295,2.435,"C0012C-1H-2, 103.0 cm",,2.295,2.435,2.295,2.435,,,,,,,,,,1.33942,551.9473075,47.08526514,461.8580263,0,476.2385287,52.3916709,461.9162328,3.69439475,28.57290644,11.47823277,10.91742047,45.55996871,7.161187048,1.044701298,2551.609198,1249.984587,0.860461277,1772.285902,88.81185888,134.0232436,4.823017823,0.547530243,3.594480553,5.156026693,kames,2011-01-09T02:52:29Z,,,,,
"C0012C-1H-3, 75.0 cm",,3.346,3.550,3.346,3.550,"C0012C-1H-3, 95.0 cm",,3.534,3.750,3.534,3.750,"C0012C-1H-3 WR, 75.0--95.0 cm",CKY000000000004525400,IWIC,,4.0,yu333,,CKY,2010-12-26T20:00:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,2.949,"pore water chemistry/alkalinity full result/C0012C-1H-3 WR, 75.0--95.0 cm IWIC (1).pdf",kames,2010-12-27T22:18:26Z
"C0012C-1H-3, 85.0 cm",,3.440,3.650,3.440,3.650,"C0012C-1H-3, 85.0 cm",,3.440,3.650,3.440,3.650,,,,,,,,,,1.33942,551.8474256,45.18429358,485.0095561,0,466.4931877,50.74733082,508.6322504,4.13558308,28.94690306,11.45878505,10.6358492,25.32144669,8.491200718,10.15897797,2302.890815,1490.31546,0.868694496,1685.152754,87.50703277,110.6882147,3.067662801,0.558308592,2.648966553,7.435410679,kames,2011-01-09T02:52:30Z,,,,,
"C0012C-2H-2, 108.5 cm",,6.861,7.000,6.861,7.000,"C0012C-2H-2, 128.5 cm",,7.050,7.200,7.050,7.200,"C0012C-2H-2 WR, 108.5--128.5 cm",CKY000000000004527600,IWIC,,4.0,yu333,,CKY,2010-12-26T20:09:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,2.78,"pore water chemistry/alkalinity full result/C0012C-2H-2 WR, 108.5--128.5 cm IWIC (1).pdf",kames,2010-12-27T22:21:59Z
"C0012C-2H-2, 118.5 cm",,6.955,7.100,6.955,7.100,"C0012C-2H-2, 118.5 cm",,6.955,7.100,6.955,7.100,,,,,,,,,,1.33942,555.8427011,46.49306646,484.3589529,0.04031442,475.008804,51.18531352,583.7666827,4.416578029,36.90431474,11.49578917,10.96699674,28.29991743,12.06411601,12.1190504,2156.258547,808.0926833,1.000178609,1605.895694,82.80077415,113.7786107,2.684009547,0.538269583,2.95735095,4.858463856,kames,2011-01-09T02:52:30Z,,,,,
"C0012C-2H-4, 50.0 cm",,8.962,9.225,8.962,9.225,"C0012C-2H-4, 70.0 cm",,9.151,9.425,9.151,9.425,"C0012C-2H-4 WR, 50.0--70.0 cm",CKY000000000004529700,IWIC,,4.0,yu333,,CKY,2010-12-26T20:21:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,3.097,"pore water chemistry/alkalinity full result/C0012C-2H-4 WR, 50.0--70.0 cm IWIC (1).pdf",kames,2010-12-27T22:22:01Z
"C0012C-2H-4, 60.0 cm",,9.056,9.325,9.056,9.325,"C0012C-2H-4, 60.0 cm",,9.056,9.325,9.056,9.325,,,,,,,,,,1.33944,555.1435279,47.20579563,464.1274738,0.049139851,472.2468739,50.99847465,574.4252607,4.360116427,28.49400479,11.25386092,11.0557379,27.13440444,13.29431946,15.17792099,2022.779987,1035.510422,0.849244716,1613.894399,88.30203921,97.76574124,2.581716291,0.552645051,2.662102134,3.836933096,kames,2011-01-09T02:52:30Z,,,,,
"C0012C-2H-6, 58.0 cm",,11.719,12.145,11.719,12.145,"C0012C-2H-6, 78.0 cm",,11.908,12.345,11.908,12.345,"C0012C-2H-6 WR, 58.0--78.0 cm",CKY000000000004530900,IWIC,,4.0,yu333,,CKY,2010-12-26T20:21:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,3.364,"pore water chemistry/alkalinity full result/C0012C-2H-6 WR, 58.0--78.0 cm IWIC (1).pdf",kames,2010-12-27T22:22:02Z
"C0012C-2H-6, 68.0 cm",,11.814,12.245,11.814,12.245,"C0012C-2H-6, 68.0 cm",,11.814,12.245,11.814,12.245,,,,,,,,,,1.33945,555.5430554,48.53245276,461.3389538,0.062215976,326.8735548,34.7299768,624.3177142,3.777117562,28.69602268,7.959460173,7.792264053,35.00831834,15.22778195,6.560427436,2298.362419,1204.67321,0.898678246,1656.047295,90.01096095,120.4072526,2.34329652,0.557493602,0.577186744,5.412533172,kames,2011-01-09T02:52:30Z,,,,,
