"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0001H-1R-3, 0.0 cm",,232.425,232.425,232.425,232.425,"C0001H-1R-3, 41.5 cm",,232.840,232.840,232.840,232.840,"C0001H-1R-3 WR, 0.0--41.5 cm",CKY000000000002781000,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,15.84,kawait,2010-07-07T02:29:09Z
"C0001H-1R-3, 20.7 cm",,232.632,232.632,232.632,232.632,"C0001H-1R-3, 20.7 cm",,232.632,232.632,232.632,232.632,,,,,,,,,,1.33883,549.4259,76.00869,247.8003,2320.861,472.6546,20.6311,1219.097,12.97468,0.809381224,7.920699,5.789486,9.705553,4.052665,35.76444,1751.554,3848.844,1094.907955,870.6638,115.3424,193.4498,2.377901,72.97258,1.836082,2.270672,miyabes,2010-08-11T06:59:09Z,,,,
"C0001H-3R-4, 0.0 cm",,252.815,252.815,252.815,252.815,"C0001H-3R-4, 41.5 cm",,253.230,253.230,253.230,253.230,"C0001H-3R-4 WR, 0.0--41.5 cm",CKY000000000002781100,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,14.149,kawait,2010-07-07T02:29:09Z
"C0001H-3R-4, 20.7 cm",,253.022,253.022,253.022,253.022,"C0001H-3R-4, 20.7 cm",,253.022,253.022,253.022,253.022,,,,,,,,,,1.33881,549.6261,87.03427,229.9071,2425.529,462.9523,20.07557,1224.341,14.24051,1.448900397,7.719512,6.472344,10.47139,6.831654,26.59489,6162.553,1427.393,1049.786898,805.7471,108.3671,119.1835,2.332512,31.05913,0.1756613,1.855996,miyabes,2010-08-11T06:59:09Z,,,,
"C0001H-4R-4, 0.0 cm",,262.330,262.330,262.330,262.330,"C0001H-4R-4, 42.5 cm",,262.755,262.755,262.755,262.755,"C0001H-4R-4 WR, 0.0--42.5 cm",CKY000000000002781200,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,14.72,kawait,2010-07-07T02:29:09Z
"C0001H-4R-4, 21.3 cm",,262.543,262.543,262.543,262.543,"C0001H-4R-4, 21.3 cm",,262.543,262.543,262.543,262.543,,,,,,,,,,1.33871,540.0168,92.60598,191.8425,2171.535,470.6948,18.32916,1183.046,10.75949,0.704157899,7.213079,6.98209,8.81388,9.338428,47.04181,6666.663,2248.317,1063.002339,774.5363,114.6996,258.6998,2.470656,59.91006,2.057273,4.47438,miyabes,2010-08-11T06:59:09Z,,,,
"C0001H-5R-3, 0.0 cm",,270.420,270.420,270.420,270.420,"C0001H-5R-3, 43.0 cm",,270.850,270.850,270.850,270.850,"C0001H-5R-3 WR, 0.0--43.0 cm",CKY000000000002781300,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,14.37,kawait,2010-07-07T02:29:09Z
"C0001H-5R-3, 21.5 cm",,270.635,270.635,270.635,270.635,"C0001H-5R-3, 21.5 cm",,270.635,270.635,270.635,270.635,,,,,,,,,,1.3388,550.7271,105.9276,202.2137,2343.191,484.5842,19.38889,1083.627,10.12658,0.644548074,8.097325,7.45819,12.28598,11.6741,80.23072,2327.463,1821.625,1091.5338,858.1139,116.5475,422.2916,2.892645,54.268,2.31011,1.090884,miyabes,2010-08-11T06:59:09Z,,,,
"C0001H-6R-2, 0.0 cm",,278.490,278.490,278.490,278.490,"C0001H-6R-2, 43.0 cm",,278.920,278.920,278.920,278.920,"C0001H-6R-2 WR, 0.0--43.0 cm",CKY000000000002781400,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,13.197,kawait,2010-07-07T02:29:09Z
"C0001H-6R-2, 21.5 cm",,278.705,278.705,278.705,278.705,"C0001H-6R-2, 21.5 cm",,278.705,278.705,278.705,278.705,,,,,,,,,,1.33879,552.5289,109.7277,203.6492,2147.81,475.9113,18.62013,1150.142,6.962025,0.732502682,7.523976,7.815827,15.31332,10.86854,78.38976,311.5875,829.6127,1076.548581,744.3794,112.5064,409.9775,2.528609,34.40681,1.116697,1.077269,miyabes,2010-08-11T06:59:10Z,,,,
