"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::pmH full result::file","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0018A-1H-2, 0.0 cm",,0.769,0.790,0.769,0.790,"C0018A-1H-2, 21.5 cm",,0.978,1.005,0.978,1.005,"C0018A-1H-2 WR, 0.0--21.5 cm",CKY000000000003700500,IWIC,,4.0,kawamuras,,CKY,2010-12-13T14:33:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,,5.479,"pore water chemistry/alkalinity full result/C0018A-1H-2 WR, 0.0--21.5 cm IWIC (1).pdf",miyabes,2010-12-14T12:25:15Z
"C0018A-1H-2, 10.8 cm",,0.874,0.898,0.874,0.898,"C0018A-1H-2, 10.8 cm",,0.874,0.898,0.874,0.898,,,,,,,,,,1.33937,554.2916785,41.66244514,492.9396324,0.168959558,473.2523355,50.68211554,694.5586174,11.28687792,26.54057588,12.61332878,9.383240207,170.2158652,27.50664516,5.888182559,665.8448208,1582.449653,0.863616745,2044.977853,82.9825676,114.3558373,5.386775477,0,19.49757782,19.70107644,kames,2011-01-09T03:15:34Z,,,,,,
"C0018A-1H-6, 0.0 cm",,4.383,4.505,4.383,4.505,"C0018A-1H-6, 22.0 cm",,4.597,4.725,4.597,4.725,"C0018A-1H-6 WR, 0.0--22.0 cm",CKY000000000003701100,IWIC,,4.0,kawamuras,,CKY,2010-12-13T14:33:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,,12.056,"pore water chemistry/alkalinity full result/C0018A-1H-6 WR, 0.0--22.0 cm IWIC (1).pdf",miyabes,2010-12-14T12:45:40Z
"C0018A-1H-6, 11.0 cm",,4.490,4.615,4.490,4.615,"C0018A-1H-6, 11.0 cm",,4.490,4.615,4.490,4.615,,,,,,,,,,1.33922,556.4727583,35.61344865,507.2741102,0.628428616,477.6740226,48.18928839,681.8108462,46.80741985,15.54819031,11.5455254,5.517287307,114.7497348,5.933222684,6.225426015,1271.60617,1914.134899,0.859639603,1619.733723,75.8266529,36.36176453,4.191684293,0,7.454458393,5.355743406,kames,2011-01-09T03:15:34Z,,,,,,
"C0018A-2H-2, 0.0 cm",,7.854,7.930,7.854,7.930,"C0018A-2H-2, 21.5 cm",,8.056,8.145,8.056,8.145,"C0018A-2H-2 WR, 0.0--21.5 cm",CKY000000000003701900,IWIC,,4.0,kawamuras,,CKY,2010-12-13T14:39:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,,16.4,"pore water chemistry/alkalinity full result/C0018A-2H-2 WR, 0.0--21.5 cm IWIC (1).pdf",miyabes,2010-12-14T12:51:18Z
"C0018A-2H-2, 10.8 cm",,7.956,8.038,7.956,8.038,"C0018A-2H-2, 10.8 cm",,7.956,8.038,7.956,8.038,,,,,,,,,,1.33918,559.347818,30.62132653,533.1894536,0.891795531,485.7702728,46.22214501,701.1050096,66.45367831,9.358047768,11.88645275,3.254918077,60.8515792,2.346062703,6.871878259,981.3682732,531.9376676,0.899732802,1642.667587,73.40221895,16.140493,4.188179782,0,4.819923172,2.056886674,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-2H-6, 0.0 cm",,11.217,11.505,11.217,11.505,"C0018A-2H-6, 21.5 cm",,11.419,11.720,11.419,11.720,"C0018A-2H-6 WR, 0.0--21.5 cm",CKY000000000003702600,IWIC,,4.0,kawamuras,,CKY,2010-12-13T14:44:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,22.208,"pore water chemistry/alkalinity full result/C0018A-2H-6 WR, 0.0--21.5 cm IWIC (1).pdf",miyabes,2010-12-14T12:51:19Z
"C0018A-2H-6, 10.8 cm",,11.318,11.613,11.318,11.613,"C0018A-2H-6, 10.8 cm",,11.318,11.613,11.318,11.613,,,,,,,,,,1.33914,565.4944973,30.40900404,520.6259455,1.110527515,480.6958387,44.17174698,688.8111598,80.66189509,3.304472448,11.75044975,2.297397137,148.4348552,0.802657184,1.010913281,0,333.3435516,0.886038354,1672.945049,73.22822139,15.81339567,4.484364166,5.214897812,1.302070437,8.417695188,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-2H-10, 0.0 cm",,14.551,15.050,14.551,15.050,"C0018A-2H-10, 21.5 cm",,14.753,15.265,14.753,15.265,"C0018A-2H-10 WR, 0.0--21.5 cm",CKY000000000003703300,IWIC,,4.0,hatakeyamae,,CKY,2010-12-13T15:32:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,,26.055,"pore water chemistry/alkalinity full result/C0018A-2H-10 WR, 0.0--21.5 cm IWIC (1).pdf",miyabes,2010-12-14T12:56:38Z
"C0018A-2H-10, 10.8 cm",,14.653,15.158,14.653,15.158,"C0018A-2H-10, 10.8 cm",,14.653,15.158,14.653,15.158,,,,,,,,,,1.33914,562.4211576,26.84649386,532.6255463,1.244501723,482.5430381,44.5671368,733.7707347,97.41586177,0.435048986,11.34172379,1.876951888,80.93504592,0.184010327,0,114.2244322,274.0723949,0.885424709,1550.723418,81.79043331,8.71118186,4.202718271,91.32196054,0.267103536,2.094375273,kames,2011-01-09T03:15:34Z,,,,,,
