"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Mud depth below sea floor [m MSF]","Top Wireline log depth below sea floor [m WSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Mud depth below sea floor [m MSF]","Bottom Wireline log depth below sea floor [m WSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry::refractive index nD: refractometer::number","pore water chemistry::salinity: refractometer [permil]::number","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry::Cl concentration: IC [mM]::number","pore water chemistry::Br concentration: IC [mM]::number","pore water chemistry::NO3 concentration: IC [mM]::number","pore water chemistry::SO4 concentration: IC [mM]::number","pore water chemistry::Na concentration: IC [mM]::number","pore water chemistry::K concentration: IC [mM]::number","pore water chemistry::Mg concentration: IC [mM]::number","pore water chemistry::Ca concentration: IC [mM]::number","pore water chemistry::B concentration: ICP-AES [µM]::number","pore water chemistry::Ba concentration: ICP-AES [µM]::number","pore water chemistry::Fe concentration: ICP-AES [µM]::number","pore water chemistry::Li concentration: ICP-AES [µM]::number","pore water chemistry::Mn concentration: ICP-AES [µM]::number","pore water chemistry::Si concentration: ICP-AES [µM]::number","pore water chemistry::Sr concentration: ICP-AES [µM]::number","pore water chemistry::comment on measurement::text","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
,,C0020A;896.500,,896.500,,,896.500,,,C0020A;906.500,,906.500,,,906.500,"C0020A-56SMW WR",CKY000000000005110800,IW,,1000.0,kawait,,CKY,2012-08-23T22:54:22Z,1.34625,71.66004784,8.47,15.406,9.418710922,10.21579964,1170.194889,0.830476459,0.22304856,20.77952835,538.0691812,635.1413026,33.53732032,2.392738341,176.7718921,9.822731786,1.070939552,96.42875762,1.377287709,503.0407935,31.11423131,"Sample squeezed from cuttings with adhered drilling mud.",hoshinoh,2012-09-24T14:27:59Z
,,C0020A;896.500,,896.500,,,896.500,,,C0020A;906.500,,906.500,,,906.500,"C0020A-56SMW WR",CKY000000000005110800,IW,,1000.0,kawait,,CKY,2012-08-23T22:54:22Z,1.34595,70.04000154,8.41,17.016,11.64050091,10.96139352,1188.386716,0.908450786,0.218586228,20.34200004,543.5574662,621.1533179,34.05819525,2.441855575,197.2676735,10.64714372,0.916302453,103.1055074,0.648717259,661.0104971,37.90160429,"Cuttings wiped clean with lab tissue.",hoshinoh,2012-09-24T14:27:59Z
,,C0020A;996.500,,996.500,,,996.500,,,C0020A;1006.500,,1006.500,,,1006.500,"C0020A-66SMW WR",CKY000000000005110900,IW,,1000.0,kawait,,CKY,2012-08-23T22:54:22Z,1.34646,72.79408025,8.29,16.851,13.51942207,8.006008404,1177.244422,0.846861901,0.20581947,19.75718506,544.3146091,637.8291387,32.96587402,2.265721734,236.1887988,12.5713883,0.918176563,108.8116755,0.683237965,741.2687371,35.96190096,"Cuttings wiped clean with lab tissue.",hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1096.500,,1096.500,,,1096.500,,,C0020A;1106.500,,1106.500,,,1106.500,"C0020A-81SMW WR",CKY000000000005111000,IW,,1000.0,kawait,,CKY,2012-08-23T22:54:22Z,1.34704,75.92616975,8.81,16.716,3.639456709,3.668675183,1145.222604,0.786265845,0.212204306,23.23665394,508.913955,691.0877825,27.65594431,1.709022868,100.908285,7.02197404,10.59916685,70.52605549,0.720978134,374.4190779,21.62860931,"Sample squeezed from cuttings with adhered drilling mud.",hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1276.500,,1276.500,,,1276.500,,,C0020A;1286.500,,1286.500,,,1286.500,"C0020A-114SMW WR",CKY000000000005130200,IW,,3000.0,miyabes,,CKY,2012-08-25T23:56:59Z,1.34704,83.83176198,11.62,23.685,0,0.48805351,1163.187209,0.795507781,0,18.61976447,479.9405035,648.3829317,0.150233788,62.05979026,64.98359196,4.567685238,5.868190311,63.575641,0.706898559,292.9384431,78.84761235,"Sample squeezed from cuttings with adhered drilling mud.",hoshinoh,2012-09-24T14:27:59Z
"C0020A-1R-2, 0.0 cm",,,,1277.770,1277.770,1277.770,1277.770,"C0020A-1R-2, 65.0 cm",,,,1278.420,1278.420,1278.420,1278.420,"C0020A-1R-2 WR, 0.0--65.0 cm",CKY000000000005112700,IW,,1088.0,hitomiy,"0~15cm are not used (the quality was bad).",CKY,2012-08-26T10:21:55Z,1.34719,76.80071097,7.95,16.87,5.392549881,6.272910886,1097.465376,0.791651773,0.195684701,20.17216466,605.6708417,448.5943186,40.28395284,18.38764148,108.9329467,12.79013354,5.084580351,218.409131,6.977685663,393.0312851,141.609363,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-2R-3, 0.0 cm",,,,1288.790,1288.790,1288.790,1288.790,"C0020A-2R-3, 60.0 cm",,,,1289.390,1289.390,1289.390,1289.390,"C0020A-2R-3 WR, 0.0--60.0 cm",CKY000000000005114600,IW,,2040.0,hoshinot337,,CKY,2012-08-25T13:28:03Z,1.34603,70.52685008,7.63,17.392,3.258940361,5.562578361,817.6010456,0.859537263,0,9.921513911,663.796042,315.2594598,46.99971746,25.24974459,358.1706583,13.37035431,24.94595986,353.3447523,13.33266357,643.3028519,212.1030705,,hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1366.500,,1366.500,,,1366.500,,,C0020A;1376.500,,1376.500,,,1376.500,"C0020A-128SMW WR",CKY000000000005153800,IW,,3000.0,yamamoton,,CKY,2012-08-26T19:36:57Z,1.34773,79.65227623,8.62,,3.437519355,0.707132593,1129.205012,0.786777225,0,23.84898425,485.8083996,678.0105819,21.72198182,4.597940302,81.97346513,5.764829605,1.260827772,63.74509973,1.124239554,305.5532856,22.2557235,"Sample squeezed from cuttings with adhered drilling mud.Alkalinity value was invalid because of low alkalinity.",hoshinoh,2012-09-24T14:27:59Z
"C0020A-3R-3, 0.0 cm",,,,1371.990,1371.990,1371.990,1371.990,"C0020A-3R-3, 60.0 cm",,,,1372.590,1372.590,1372.590,1372.590,"C0020A-3R-3 WR, 0.0--60.0 cm",CKY000000000005133200,IW,,2040.0,moriyas,,CKY,2012-09-10T02:13:52Z,1.34028,39.42112654,8.04,8.965,0,3.294150039,690.3641053,0.985967557,0.160225586,2.976915271,547.6863145,65.26555848,31.85128243,22.21212396,465.5739426,31.12014245,0.542769281,92.28745835,18.74259742,871.294449,176.6777214,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-4R-3, 10.0 cm",,,,1377.545,1377.545,1377.545,1377.545,"C0020A-4R-3, 40.0 cm",,,,1377.845,1377.845,1377.845,1377.845,"C0020A-4R-3 WR, 10.0--40.0 cm",CKY000000000005136300,IW,,1020.0,hoshinot337,,CKY,2012-08-26T04:40:13Z,1.34555,67.87993981,,16.93,0,7.850490726,1014.839886,0.828078861,0.186872731,15.40816899,697.4899482,219.4938854,47.68765167,31.56039726,254.0889609,18.17607648,16.83160967,218.7869248,25.40580532,579.4621204,185.6919763,"Alkalnity value was corrected. Input sample volume for tiamo was 3 mL, however 0.6 mL sample was used for measurement in fact.
",hoshinoh,2012-09-24T14:27:59Z
