"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry::refractive index nD: refractometer::number","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry::Br concentration: IC [mM]::number","pore water chemistry::SO4 concentration: IC [mM]::number","pore water chemistry::Na concentration: IC [mM]::number","pore water chemistry::K concentration: IC [mM]::number","pore water chemistry::Mg concentration: IC [mM]::number","pore water chemistry::Ca concentration: IC [mM]::number","pore water chemistry::B concentration: ICP-AES [µM]::number","pore water chemistry::Ba concentration: ICP-AES [µM]::number","pore water chemistry::Fe concentration: ICP-AES [µM]::number","pore water chemistry::Li concentration: ICP-AES [µM]::number","pore water chemistry::Mn concentration: ICP-AES [µM]::number","pore water chemistry::Si concentration: ICP-AES [µM]::number","pore water chemistry::Sr concentration: ICP-AES [µM]::number","pore water chemistry::V concentration: ICP-MS [nM]::number","pore water chemistry::Cu concentration: ICP-MS [nM]::number","pore water chemistry::Zn concentration: ICP-MS [nM]::number","pore water chemistry::Rb concentration: ICP-MS [nM]::number","pore water chemistry::Mo concentration: ICP-MS [nM]::number","pore water chemistry::Cs concentration: ICP-MS [nM]::number","pore water chemistry::Pb concentration: ICP-MS [nM]::number","pore water chemistry::U concentration: ICP-MS [nM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0021B-1H-4, 0.0 cm",,3.632,3.650,3.632,3.650,"C0021B-1H-4, 11.0 cm",,3.741,3.760,3.741,3.760,"C0021B-1H-4 WR, 0.0--11.0 cm",CKY000000000001789710,IW,,340.0,oohashi338,,CKY,2013-01-07T03:57:24Z,1.3393,8.01,9.473,554.2795863,28.59242252,0.158502522,0.821575053,18.62025274,474.6400099,12.06378219,49.01586097,7.601680788,535.1689156,0.98594348,2.782039612,34.97801869,1.061908631,783.4371019,83.26731473,39.53015396,35.16048514,600.323177,1608.688153,3.384114892,3.096575254,0.461615883,2.440621341,hoshinoh,2013-02-01T08:10:26Z
"C0021B-2H-3, 0.0 cm",,81.407,81.560,81.407,81.560,"C0021B-2H-3, 15.0 cm",,81.542,81.710,81.542,81.710,"C0021B-2H-3 WR, 0.0--15.0 cm",CKY000000000001791710,IW,,510.0,oohashi338,,CKY,2013-01-07T07:53:30Z,1.33892,7.78,26.8,545.581038,82.19044774,4.99439303,0.948688802,1.277967209,496.4380984,10.82831264,32.22176164,2.333448199,420.631031,98.88500383,4.855551028,30.50086599,2.841453725,862.7184565,84.55789495,27.45649731,2975.760697,1387.641961,1222.923945,48.43732797,4.744729973,0.173478115,2.152869196,hoshinoh,2013-02-01T08:10:26Z
"C0021B-3H-4, 0.0 cm",,91.597,91.670,91.597,91.670,"C0021B-3H-4, 14.0 cm",,91.733,91.810,91.733,91.810,"C0021B-3H-4 WR, 0.0--14.0 cm",CKY000000000001793810,IW,,510.0,oohashi338,,CKY,2013-01-07T09:32:54Z,1.33887,7.79,26.279,541.7374934,82.94213554,5.144698115,0.940379471,1.382901447,493.4061437,10.21531568,31.06393429,2.832214803,387.504275,93.49348871,3.367540016,32.88191999,4.547721999,727.1149349,84.59552874,23.12573005,784.8108332,485.8546132,1171.498585,20.5712167,5.209795003,0.117724316,1.093279383,hoshinoh,2013-02-01T08:10:26Z
"C0021B-4H-6, 0.0 cm",,104.558,104.915,104.558,104.915,"C0021B-4H-6, 15.0 cm",,104.699,105.065,104.699,105.065,"C0021B-4H-6 WR, 0.0--15.0 cm",CKY000000000001796010,IW,,510.0,toki338,,CKY,2013-01-07T11:03:12Z,1.33889,7.8,25.509,545.7833298,61.23715012,5.503083877,0.972219579,0.977254906,502.7927963,10.69672236,29.10956664,3.075547937,390.4565864,89.58977671,5.84634833,35.77389667,4.333541426,836.9874388,86.66500263,24.37670968,1754.111683,552.318666,1197.417206,17.71882732,5.572533921,0.134051337,1.05989745,hoshinoh,2013-02-01T08:10:26Z
"C0021B-5H-2, 4.0 cm",,109.778,109.850,109.778,109.850,"C0021B-5H-2, 20.0 cm",,109.930,110.010,109.930,110.010,"C0021B-5H-2 WR, 4.0--20.0 cm",CKY000000000001800910,IW,,544.0,toki338,,CKY,2013-01-07T13:09:03Z,1.33888,7.8,24.612,544.0638494,61.35795709,5.649847163,0.965287037,0.977062243,498.5741296,10.36966802,28.39200863,3.11539907,375.7802227,87.26915761,6.060103462,34.76025478,4.34203818,845.060718,85.33637389,21.60079915,2465.710827,419.4369136,1111.536938,34.09354556,4.617470796,0.145830473,2.084431555,hoshinoh,2013-02-01T08:10:26Z
"C0021B-6H-3, 0.0 cm",,119.351,119.510,119.351,119.510,"C0021B-6H-3, 15.0 cm",,119.486,119.660,119.486,119.660,"C0021B-6H-3 WR, 0.0--15.0 cm",CKY000000000001803610,IW,,510.0,toki338,,CKY,2013-01-07T15:05:50Z,1.33886,7.84,22.574,545.6821839,56.2840644,5.913268446,0.984610382,1.010977056,492.0284647,9.588733206,26.50538104,3.291529395,357.2242269,83.87761912,3.374481244,36.48970688,3.852311835,803.845507,85.31206413,23.29830009,502.7931318,330.935612,1130.155659,14.95567076,5.454142262,0.100508986,1.6754394,hoshinoh,2013-02-01T08:10:26Z
"C0021B-7H-4, 3.0 cm",,129.677,129.890,129.677,129.890,"C0021B-7H-4, 19.0 cm",,129.823,130.050,129.823,130.050,"C0021B-7H-4 WR, 3.0--19.0 cm",CKY000000000001805610,IW,,544.0,toki338,,CKY,2013-01-07T16:32:13Z,1.33887,7.84,22.555,544.8730166,50.68667484,6.1521185,0.974633624,1.101748485,501.7788962,9.541301527,26.28184958,3.787447548,341.87097,79.01358456,5.249992241,37.56562997,3.901555044,875.4627886,86.79065526,17.99374139,362.7161476,498.8012819,1085.448352,26.71919424,5.07766858,0,0.821663485,hoshinoh,2013-02-01T08:10:26Z
"C0021B-8H-2, 0.0 cm",,137.906,137.960,137.906,137.960,"C0021B-8H-2, 15.0 cm",,138.047,138.110,138.047,138.110,"C0021B-8H-2 WR, 0.0--15.0 cm",CKY000000000001808710,IW,,510.0,toki338,,CKY,2013-01-07T19:00:05Z,1.33885,7.88,20.797,545.3787462,38.05563508,6.415179819,0.977467291,1.069203584,507.9897619,9.716990012,25.48186485,3.485115578,334.6225606,75.62028535,5.825528093,40.4809148,3.126370911,857.0280771,83.76000358,21.5353358,1463.421551,508.9507194,1064.309892,65.00022029,4.740086582,0.159912312,1.971414761,hoshinoh,2013-02-01T08:10:26Z
"C0021B-9H-2, 0.0 cm",,147.330,147.470,147.330,147.470,"C0021B-9H-2, 15.0 cm",,147.458,147.620,147.458,147.620,"C0021B-9H-2 WR, 0.0--15.0 cm",CKY000000000001810310,IW,,510.0,kitajima338,,CKY,2013-01-07T20:22:13Z,1.33885,7.85,19.188,548.7165612,30.12264412,6.695978426,1.052976946,0.99452963,498.6060779,9.717630035,23.870834,3.703614057,299.2739468,69.53478042,1.559783576,41.15951533,2.488442006,747.3014377,85.0813697,19.83279338,326.4872102,407.5761306,1074.862327,43.18276466,4.896240455,0,2.663390414,hoshinoh,2013-02-01T08:10:26Z
"C0021B-10H-8, 0.0 cm",,161.473,162.055,161.473,162.055,"C0021B-10H-8, 16.0 cm",,161.619,162.215,161.619,162.215,"C0021B-10H-8 WR, 0.0--16.0 cm",CKY000000000001815510,IW,,544.0,kitajima338,,CKY,2013-01-08T00:39:45Z,1.33884,7.8,16.795,549.3234367,26.43566028,6.963845518,0.946158753,0.919982171,493.7456981,10.38478648,22.38664121,3.652094467,296.5199606,60.41017967,1.681245627,42.28327951,1.57651278,808.754991,81.69533127,24.77759477,1163.904821,384.2364993,1059.985485,217.1605877,5.230349848,0.366006788,2.730789264,hoshinoh,2013-02-01T08:10:26Z
