"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry::refractive index nD: refractometer::number","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry::Br concentration: IC [mM]::number","pore water chemistry::SO4 concentration: IC [mM]::number","pore water chemistry::Na concentration: IC [mM]::number","pore water chemistry::K concentration: IC [mM]::number","pore water chemistry::Mg concentration: IC [mM]::number","pore water chemistry::Ca concentration: IC [mM]::number","pore water chemistry::B concentration: ICP-AES [µM]::number","pore water chemistry::Ba concentration: ICP-AES [µM]::number","pore water chemistry::Fe concentration: ICP-AES [µM]::number","pore water chemistry::Li concentration: ICP-AES [µM]::number","pore water chemistry::Mn concentration: ICP-AES [µM]::number","pore water chemistry::Si concentration: ICP-AES [µM]::number","pore water chemistry::Sr concentration: ICP-AES [µM]::number","pore water chemistry::V concentration: ICP-MS [nM]::number","pore water chemistry::Cu concentration: ICP-MS [nM]::number","pore water chemistry::Zn concentration: ICP-MS [nM]::number","pore water chemistry::Rb concentration: ICP-MS [nM]::number","pore water chemistry::Mo concentration: ICP-MS [nM]::number","pore water chemistry::Cs concentration: ICP-MS [nM]::number","pore water chemistry::Pb concentration: ICP-MS [nM]::number","pore water chemistry::U concentration: ICP-MS [nM]::number","pore water chemistry::comment on measurement::text","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0022B-1H-2, 0.0 cm",,1.243,1.245,1.243,1.245,"C0022B-1H-2, 20.0 cm",,1.443,1.445,1.443,1.445,"C0022B-1H-2 WR, 0.0--20.0 cm",CKY000000000001562610,IW,,680.0,oohashi338,,CKY,2012-12-31T05:23:47Z,1.33935,7.61,4.451,556.2585264,16.67235536,0.100657201,0.872046606,23.64956032,480.3557711,12.26770742,50.60835373,8.852943155,511.2844455,0.583328595,1.776953351,36.89300375,3.367924745,732.246534,94.45666688,80.58177919,94.86942663,273.0880787,1728.37909,8.812034405,3.730294373,0.264429198,5.388373946,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-2H-5, 0.0 cm",,23.106,23.355,23.106,23.355,"C0022B-2H-5, 8.5 cm",,23.186,23.440,23.186,23.440,"C0022B-2H-5 WR, 0.0--8.5 cm",CKY000000000001563710,IW,,289.0,oohashi338,,CKY,2012-12-31T09:02:33Z,1.33927,8.03,19.006,587.2068756,65.8477712,2.121109449,0.96681478,1.173371048,508.0730832,11.72918561,38.95703389,3.187998126,379.8243271,86.0384411,1.663243369,28.27538549,0.423441501,686.5529695,101.1718526,38.00551539,104.2645968,914.9735017,1390.746958,0,3.357804558,0.605334873,3.395809558,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-3H-2, 0.0 cm",,30.136,30.250,30.136,30.250,"C0022B-3H-2, 10.5 cm",,30.232,30.355,30.232,30.355,"C0022B-3H-2 WR, 0.0--10.5 cm",CKY000000000001564910,IW,,340.0,oohashi338,,CKY,2012-12-31T10:03:27Z,1.33931,7.94,17.195,590.5553855,68.0506579,2.712484603,1.002926934,0.971536611,522.0687818,11.84935385,37.33076648,3.40535684,383.8108013,80.28963497,1.464129243,27.81993404,0.430763023,752.5121633,101.5145707,32.63041601,56.98263422,642.3416235,1307.895755,3.251419123,3.304569368,0.315823021,1.67982184,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-4H-2, 0.0 cm",,39.404,39.455,39.404,39.455,"C0022B-4H-2, 14.5 cm",,39.541,39.600,39.541,39.600,"C0022B-4H-2 WR, 0.0--14.5 cm",CKY000000000001566110,IW,,493.0,oohashi338,,CKY,2012-12-31T12:23:37Z,1.33935,7.77,16.013,597.1509354,66.43878958,3.452843457,1.074770549,1.074037645,526.1934821,11.48868141,35.37135844,3.84814483,346.1881562,82.91911401,2.958223283,28.19886165,0.459342575,692.9984909,106.6429205,39.15248041,103.9832375,361.3347091,1215.257453,13.19504702,3.568257039,0.310183004,5.489708908,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-5H-2, 0.0 cm",,49.182,49.280,49.182,49.280,"C0022B-5H-2, 20.0 cm",,49.366,49.480,49.366,49.480,"C0022B-5H-2 WR, 0.0--20.0 cm",CKY000000000001568410,IW,,680.0,esteban338,,CKY,2012-12-31T14:21:55Z,1.33941,7.78,15.544,606.2832352,52.0260004,4.209002005,1.064890446,0.88674199,547.7777769,11.3627333,35.80396309,4.298790481,341.6146736,89.37060505,3.798651608,33.30837485,0.792333073,779.7156609,106.5580151,32.41295216,51.99072742,178.6360158,1135.627367,6.850891317,3.277366307,0.157583935,0.859643411,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-6H-2, 0.0 cm",,58.496,58.565,58.496,58.565,"C0022B-6H-2, 20.5 cm",,58.688,58.770,58.688,58.770,"C0022B-6H-2 WR, 0.0--20.5 cm",CKY000000000001569010,IW,,697.0,kitajima338,,CKY,2012-12-31T17:17:44Z,1.33948,7.74,15.297,613.792015,54.36320945,4.837596575,1.126660441,0.936434248,543.3818013,11.00909946,34.04152971,4.979252574,332.7740577,87.10968924,10.63057395,33.02557456,3.414075999,738.6615879,113.6266188,22.81160968,340.7368142,1103.243441,1121.311553,6.961616983,3.723752942,1.165101274,0.577948059,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-7H-7, 12.0 cm",,73.346,73.970,73.346,73.970,"C0022B-7H-7, 31.5 cm",,73.523,74.165,73.523,74.165,"C0022B-7H-7 WR, 12.0--31.5 cm",CKY000000000001571010,IW,,663.0,kitajima338,,CKY,2012-12-31T19:44:58Z,1.33954,7.74,14.185,622.1125548,34.32231341,5.731498771,1.157619952,0,549.1320981,11.55942282,32.35447559,5.550326678,286.4725164,95.44224879,24.92135994,32.51368423,3.656984447,651.1105554,114.8509088,22.0327081,339.4459756,1055.670725,1220.57955,28.68690146,4.649196471,2.25684584,1.891705072,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-8H-1, 0.0 cm",,76.500,76.500,76.500,76.500,"C0022B-8H-1, 20.0 cm",,76.679,76.700,76.679,76.700,"C0022B-8H-1 WR, 0.0--20.0 cm",CKY000000000001576010,IW,,680.0,kitajima338,,CKY,2013-01-01T01:46:56Z,1.33976,7.56,13.737,623.7360747,41.42140998,5.720531063,1.133957575,1.255523077,542.6146297,10.74209269,32.49210835,5.83381823,319.2465783,89.88292603,63.50695858,32.89331435,3.896997501,761.804571,116.7770819,19.18985653,1804.932445,916.2497548,1135.985329,22.81935918,4.483069378,1.090059324,0.670612959,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-9T-2, 0.0 cm",,84.795,84.820,84.795,84.820,"C0022B-9T-2, 21.0 cm",,84.989,85.030,84.989,85.030,"C0022B-9T-2 WR, 0.0--21.0 cm",CKY000000000001581110,IW,,714.0,kitajima338,,CKY,2013-01-01T02:31:13Z,1.33952,7.76,12.663,615.3140649,24.93895506,6.040044186,1.09425037,3.036387912,547.9452211,11.33541834,33.03796299,6.295237594,282.906484,33.1859623,9.721768397,35.5370653,2.581029935,634.9409919,112.7577974,31.47221279,248.2199585,693.1700137,1219.5022,202.5186867,5.197774901,0.541002121,1.635441083,,hoshinoh,2013-01-23T08:02:13Z
"C0022B-10T-2, 0.0 cm",,90.268,90.340,90.268,90.340,"C0022B-10T-2, 21.0 cm",,90.460,90.550,90.460,90.550,"C0022B-10T-2 WR, 0.0--21.0 cm",CKY000000000001583310,IW,,714.0,fabbri338,,CKY,2013-01-01T05:14:53Z,1.33959,7.48,13.601,623.9390147,41.47501146,6.126993296,1.143326914,1.602861567,561.9152299,10.6736154,33.56754495,6.520862819,317.0810016,96.25364504,65.73289351,34.61337912,3.324891198,808.1252873,122.4052705,17.12142957,1011.470746,1066.403879,1070.269507,32.20306458,3.78966599,2.265930809,0.726341817,,hoshinoh,2013-01-23T08:02:13Z
