"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry::comment on measurement::text","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0002M-1R-1, 87.0 cm",,475.870,475.870,475.870,475.870,"C0002M-1R-1, 107.0 cm",,476.070,476.070,476.070,476.070,"C0002M-1R-1 WR, 87.0--107.0 cm",CKY000000000006074400,IW,,840.0,yabukit,,CKY,2013-12-09T02:36:55Z,398.8996332,"up to 20000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-1R-1, 87.0 cm",,475.870,475.870,475.870,475.870,"C0002M-1R-1, 107.0 cm",,476.070,476.070,476.070,476.070,"C0002M-1R-1 WR, 87.0--107.0 cm",CKY000000000006074400,IW,,840.0,yabukit,,CKY,2013-12-09T02:36:55Z,401.7358927,"up to 25000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-1R-1, 87.0 cm",,475.870,475.870,475.870,475.870,"C0002M-1R-1, 107.0 cm",,476.070,476.070,476.070,476.070,"C0002M-1R-1 WR, 87.0--107.0 cm",CKY000000000006074400,IW,,840.0,yabukit,,CKY,2013-12-09T02:36:55Z,389.4792,"up to 60000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-2R-2, 111.0 cm",,487.020,487.020,487.020,487.020,"C0002M-2R-2, 131.0 cm",,487.220,487.220,487.220,487.220,"C0002M-2R-2 WR, 111.0--131.0 cm",CKY000000000006074800,IW,,840.0,yabukit,,CKY,2013-12-09T19:28:12Z,408.7981384,"up to 20000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-2R-2, 111.0 cm",,487.020,487.020,487.020,487.020,"C0002M-2R-2, 131.0 cm",,487.220,487.220,487.220,487.220,"C0002M-2R-2 WR, 111.0--131.0 cm",CKY000000000006074800,IW,,840.0,yabukit,,CKY,2013-12-09T19:28:12Z,411.8307656,"up to 25000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-2R-2, 111.0 cm",,487.020,487.020,487.020,487.020,"C0002M-2R-2, 131.0 cm",,487.220,487.220,487.220,487.220,"C0002M-2R-2 WR, 111.0--131.0 cm",CKY000000000006074800,IW,,840.0,yabukit,,CKY,2013-12-09T19:28:12Z,400.1046073,"up to 60000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-3R-1, 90.0 cm",,494.400,494.400,494.400,494.400,"C0002M-3R-1, 110.0 cm",,494.600,494.600,494.600,494.600,"C0002M-3R-1 WR, 90.0--110.0 cm",CKY000000000006075000,IW,,840.0,yabukit,,CKY,2013-12-09T19:29:17Z,396.8169536,"up to 20000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-3R-1, 90.0 cm",,494.400,494.400,494.400,494.400,"C0002M-3R-1, 110.0 cm",,494.600,494.600,494.600,494.600,"C0002M-3R-1 WR, 90.0--110.0 cm",CKY000000000006075000,IW,,840.0,yabukit,,CKY,2013-12-09T19:29:17Z,395.5956652,"up to 25000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-3R-1, 90.0 cm",,494.400,494.400,494.400,494.400,"C0002M-3R-1, 110.0 cm",,494.600,494.600,494.600,494.600,"C0002M-3R-1 WR, 90.0--110.0 cm",CKY000000000006075000,IW,,840.0,yabukit,,CKY,2013-12-09T19:29:17Z,390.7105117,"up to 50000 lbs",kawait,2014-01-09T07:11:02Z
"C0002M-3R-1, 90.0 cm",,494.400,494.400,494.400,494.400,"C0002M-3R-1, 110.0 cm",,494.600,494.600,494.600,494.600,"C0002M-3R-1 WR, 90.0--110.0 cm",CKY000000000006075000,IW,,840.0,yabukit,,CKY,2013-12-09T19:29:17Z,370.5592532,"up to 60000 lbs",kawait,2014-01-09T07:11:02Z
