"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0002D-1H-2, 0.0 cm",,1.410,1.410,1.410,1.410,"C0002D-1H-2, 21.5 cm",,1.625,1.625,1.625,1.625,"C0002D-1H-2 WR, 0.0--21.5 cm",CKY000000000002789300,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:03:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,kawait,2010-07-07T03:01:16Z
"C0002D-1H-2, 10.8 cm",,1.518,1.518,1.518,1.518,"C0002D-1H-2, 10.8 cm",,1.518,1.518,1.518,1.518,,,,,,,,,,1.33938,548.9413,72.91352,519.8539,187.8008,484.5111,47.9138,639.2778,12.90044,26.18206254,11.43403,9.49711,17.21459,8.140791,1.757841,273.9015,256.3567,862.4025362,593.9935,90.17601,210.9392,3.784521,0.5057139,,11.66867,miyabes,2010-08-11T06:59:13Z,,,
"C0002D-1H-5, 0.0 cm",,4.240,4.240,4.240,4.240,"C0002D-1H-5, 21.5 cm",,4.455,4.455,4.455,4.455,"C0002D-1H-5 WR, 0.0--21.5 cm",CKY000000000002789400,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:03:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,kawait,2010-07-07T03:01:16Z
"C0002D-1H-5, 10.8 cm",,4.348,4.348,4.348,4.348,"C0002D-1H-5, 10.8 cm",,4.348,4.348,4.348,4.348,,,,,,,,,,1.3393,554.5715,69.5704,523.421,779.072,499.6343,45.89093,725.791,25.19014,15.61812277,11.87079,6.484102,21.24143,0.7961057,0.9378223,,102.5414,898.5839135,555.1899,87.56053,65.20016,3.601334,0.6968056,,2.489769,miyabes,2010-08-11T06:59:13Z,,,
"C0002D-2H-3, 0.0 cm",,8.533,8.705,8.533,8.705,"C0002D-2H-3, 21.5 cm",,8.735,8.920,8.735,8.920,"C0002D-2H-3 WR, 0.0--21.5 cm",CKY000000000002789500,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:03:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,kawait,2010-07-07T04:06:26Z
"C0002D-2H-3, 10.8 cm",,8.635,8.813,8.635,8.813,"C0002D-2H-3, 10.8 cm",,8.635,8.813,8.635,8.813,,,,,,,,,,1.3391,556.9035,53.05134,528.0615,1525.941,464.0446,40.77282,700.189,42.94192,1.248830107,11.14627,3.148009,24.19744,0.3887281,0.6915012,58.06992,441.7587,928.3330459,566.394,83.52882,33.73717,4.475256,31.27594,,1.123807,miyabes,2010-08-11T06:59:13Z,,,
"C0002D-2H-7, 0.0 cm",,12.520,12.950,12.520,12.950,"C0002D-2H-7, 21.5 cm",,12.722,13.165,12.722,13.165,"C0002D-2H-7 WR, 0.0--21.5 cm",CKY000000000002789600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:03:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,kawait,2010-07-07T04:06:26Z
"C0002D-2H-7, 10.8 cm",,12.622,13.058,12.622,13.058,"C0002D-2H-7, 10.8 cm",,12.622,13.058,12.622,13.058,,,,,,,,,,1.33906,557.0596,48.89724,486.8323,2355.795,469.8392,38.77467,725.7175,44.30745,0.77958107,11.56046,2.644802,31.26382,0.3462268,0.5367779,74.78928,644.1334,973.3587599,577.0026,82.3458,34.55864,5.00078,134.6175,,2.148872,miyabes,2010-08-11T06:59:13Z,,,
"C0002D-3H-4, 0.0 cm",,19.174,19.440,19.174,19.440,"C0002D-3H-4, 20.5 cm",,19.366,19.645,19.366,19.645,"C0002D-3H-4 WR, 0.0--20.5 cm",CKY000000000002789700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:03:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,kawait,2010-07-07T04:06:26Z
"C0002D-3H-4, 10.8 cm",,19.275,19.548,19.275,19.548,"C0002D-3H-4, 10.8 cm",,19.275,19.548,19.275,19.548,,,,,,,,,,1.33901,552.698,56.20055,451.4767,3745.801,467.9448,35.53521,696.9047,62.05923,0.86479296,11.14985,2.401101,30.89633,0.4599833,0.9642739,,380.0096,966.1224844,526.4844,85.92882,42.5248,4.654658,117.0231,,1.739944,miyabes,2010-08-11T06:59:13Z,,,
