Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0009A;1037.700,NULL,1037.7,NULL,NULL,1037.7,NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,C0009A-75SMW W,CKY000000000001947000,PP,NULL,35,hiranos,NULL,CKY,2009-07-05T08:34:26Z,296,glass beaker,18.857,8.562,32.4483,16.3252,13.5913,296,glass beaker,18.857,8.562,28.0304,11.9266,9.1734,4.5781,4.4708,3.2924,7.7632,3.3646,0.1602,0.0722,9.0132,0.3368,0.5079,1.7507,1.161,2.7376,0.5759,1.3579,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,C0009A-76SMW W,CKY000000000001947300,PP,NULL,35,hiranos,NULL,CKY,2009-07-05T11:43:36Z,273,glass beaker,18.204,8.22,30.2547,15.1382,12.0507,273,glass beaker,18.204,8.22,26.5335,11.4332,8.3295,3.8562,3.7658,3.1524,6.9182,3.2132,0.135,0.0608,8.1945,0.32,0.4706,1.7419,1.1845,2.5994,0.5443,1.1946,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,NULL,NULL,C0009A;1052.700,NULL,1052.7,NULL,NULL,1052.7,C0009A-77SMW W,CKY000000000001947400,PP,NULL,35,hiranos,NULL,CKY,2009-07-05T11:43:36Z,262,glass beaker,18.363,8.27,34.0947,17.5424,15.7317,262,glass beaker,18.363,8.27,28.842,12.3126,10.479,5.4432,5.3156,3.9568,9.2724,4.0426,0.1905,0.0858,10.2885,0.346,0.5291,1.6966,1.1096,2.6002,0.5733,1.3434,fuway,2010-08-17T01:38:26Z
NULL,NULL,C0009A;1057.700,NULL,1057.7,NULL,NULL,1057.7,NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,C0009A-79SMW W,CKY000000000001947200,PP,NULL,35,hiranos,NULL,CKY,2009-07-05T11:37:13Z,264,glass beaker,18.122,8.212,30.7229,15.6067,12.6009,264,glass beaker,18.122,8.212,26.5066,11.4088,8.3846,4.3692,4.2668,3.1279,7.3947,3.1968,0.1529,0.0689,8.2317,0.3467,0.5308,1.704,1.1132,2.6317,0.577,1.3641,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,C0009A-80SMW W,CKY000000000001946300,PP,NULL,35,maedal,NULL,CKY,2009-07-05T03:42:06Z,276,glass beaker,18.125,8.184,32.76,16.4199,14.635,276,glass beaker,18.125,8.184,28.4719,12.1504,10.3469,4.4436,4.3395,3.8964,8.2359,3.9664,0.1555,0.07,10.1914,0.3036,0.436,1.777,1.2374,2.6156,0.5269,1.1137,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,NULL,NULL,C0009A;1072.700,NULL,1072.7,NULL,NULL,1072.7,C0009A-81SMW W,CKY000000000001946000,PP,NULL,35,kawamuras,NULL,CKY,2009-07-05T03:42:06Z,458,glass beaker,18.877,8.537,37.3571,19.1811,18.4801,458,glass beaker,18.877,8.537,31.5448,13.3942,12.6678,6.0231,5.8819,4.7622,10.6441,4.8572,0.2108,0.095,12.457,0.3259,0.4835,1.7362,1.1703,2.6158,0.5526,1.2351,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1072.700,NULL,1072.7,NULL,NULL,1072.7,NULL,NULL,C0009A;1077.700,NULL,1077.7,NULL,NULL,1077.7,C0009A-82SMW W,CKY000000000001946200,PP,NULL,35,kawamuras,NULL,CKY,2009-07-05T03:42:06Z,461,glass beaker,19.13,8.664,33.5834,16.9985,14.4534,461,glass beaker,19.13,8.664,28.9829,12.418,9.8529,4.7674,4.6557,3.6788,8.3345,3.754,0.1669,0.0752,9.686,0.3298,0.4922,1.7342,1.1622,2.6329,0.5586,1.2655,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1077.700,NULL,1077.7,NULL,NULL,1077.7,NULL,NULL,C0009A;1082.700,NULL,1082.7,NULL,NULL,1082.7,C0009A-83SMW W,CKY000000000001946100,PP,NULL,35,kawamuras,NULL,CKY,2009-07-05T03:42:06Z,221,glass beaker,18.188,8.286,34.7135,17.8543,16.5255,221,glass beaker,18.188,8.286,29.5036,12.667,11.3156,5.3989,5.2724,4.2959,9.5683,4.381,0.189,0.0851,11.1266,0.3267,0.4852,1.7271,1.1629,2.5901,0.551,1.2273,mailinh319,2009-07-07T12:47:45Z
NULL,NULL,C0009A;1082.700,NULL,1082.7,NULL,NULL,1082.7,NULL,NULL,C0009A;1087.700,NULL,1087.7,NULL,NULL,1087.7,C0009A-84SMW W,CKY000000000001945900,PP,NULL,35,maedal,NULL,CKY,2009-07-05T03:42:06Z,483,glass beaker,18.966,8.54,41.9612,21.887,22.9952,483,glass beaker,18.966,8.54,34.7744,14.7315,15.8084,7.4475,7.2729,6.0741,13.347,6.1915,0.2607,0.1174,15.5477,0.3239,0.479,1.7229,1.1649,2.5597,0.5449,1.1974,mailinh319,2009-07-06T11:17:22Z
NULL,NULL,C0009A;1087.700,NULL,1087.7,NULL,NULL,1087.7,NULL,NULL,C0009A;1092.700,NULL,1092.7,NULL,NULL,1092.7,C0009A-85SMW W,CKY000000000001945800,PP,NULL,35,maedal,NULL,CKY,2009-07-05T01:39:32Z,480,glass beaker,19.067,8.609,40.0712,20.9914,21.0042,480,glass beaker,19.067,8.609,33.2366,14.1866,14.1696,7.0825,6.9165,5.4659,12.3824,5.5776,0.2479,0.1117,13.9217,0.3372,0.5087,1.6963,1.1243,2.547,0.5586,1.2654,mailinh319,2009-07-06T11:17:22Z
