Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-1R-1, 40.0 cm",NULL,NULL,340.4,340.4,340.4,340.4,"C0011B-1R-1, 41.0 cm",NULL,NULL,340.41,340.41,340.41,340.41,"C0011B-1R-1 W, 40.0--41.0 cm",CKY000000000000000410,PP,NULL,7,brandon322,NULL,CKY,2009-09-08T11:14:55Z,NULL,113,glass beaker,6.007,2.669,10.2092,5.0675,4.2022,113,glass beaker,6.007,2.669,8.9286,3.7925,2.9216,1.327,1.2959,1.1026,2.3985,1.1235,0.0464,0.0209,2.8752,0.3158,0.4615,1.752,1.1987,2.6077,0.5403,1.1753,fuway,2010-08-17T03:18:55Z
"C0011B-1R-1, 84.0 cm",NULL,NULL,340.84,340.84,340.84,340.84,"C0011B-1R-1, 85.0 cm",NULL,NULL,340.85,340.85,340.85,340.85,"C0011B-1R-1 W, 84.0--85.0 cm",CKY000000000000000710,PP,NULL,7,brandon322,NULL,CKY,2009-09-08T11:17:40Z,NULL,201,glass beaker,6.057,2.758,9.3588,4.5457,3.3018,201,glass beaker,6.057,2.758,8.4045,3.5956,2.3475,0.9889,0.9657,0.822,1.7877,0.8376,0.0346,0.0156,2.3129,0.2995,0.4276,1.847,1.2938,2.8137,0.5402,1.1748,fuway,2010-08-17T03:19:04Z
"C0011B-1R-2, 25.0 cm",NULL,NULL,341.125,341.125,341.125,341.125,"C0011B-1R-2, 26.0 cm",NULL,NULL,341.135,341.135,341.135,341.135,"C0011B-1R-2 W, 25.0--26.0 cm",CKY000000000000000810,PP,NULL,7,brandon322,NULL,CKY,2009-09-08T11:18:21Z,NULL,402,glass beaker,6.148,2.766,10.5177,5.0595,4.3697,402,glass beaker,6.148,2.766,9.3865,3.9333,3.2385,1.1722,1.1447,1.1488,2.2935,1.1673,0.041,0.0185,3.1975,0.2683,0.3666,1.9053,1.3942,2.7833,0.4991,0.9964,andre322,2009-09-09T05:51:40Z
"C0011B-1R-2, 100.0 cm",NULL,NULL,341.875,341.875,341.875,341.875,"C0011B-1R-2, 101.0 cm",NULL,NULL,341.885,341.885,341.885,341.885,"C0011B-1R-2 W, 100.0--101.0 cm",CKY000000000000000910,PP,NULL,7,brandon322,NULL,CKY,2009-09-08T11:18:45Z,NULL,421,glass beaker,6.215,2.819,9.5861,4.6688,3.3711,421,glass beaker,6.215,2.819,8.6618,3.7485,2.4468,0.9578,0.9354,0.9144,1.8498,0.9295,0.0335,0.0151,2.4133,0.2841,0.3969,1.8224,1.3046,2.6392,0.5057,1.023,fuway,2010-08-17T03:19:07Z
"C0011B-2R-1, 51.0 cm",NULL,NULL,350.01,350.01,350.01,350.01,"C0011B-2R-1, 53.5 cm",NULL,NULL,350.035,350.035,350.035,350.035,"C0011B-2R-1 W, 51.0--53.5 cm",CKY000000000000008710,PP,NULL,12.5,matt322,NULL,CKY,2009-09-09T18:39:52Z,NULL,427,glass beaker,6.362,2.847,10.7673,4.8962,4.4053,427,glass beaker,6.362,2.847,9.3369,3.472,2.9749,1.4823,1.4476,0.6016,2.0492,0.625,0.0519,0.0234,2.923,0.3365,0.5071,2.1498,1.4264,4.8587,0.7064,2.4063,matt322,2009-09-11T06:23:18Z
"C0011B-2R-1, 113.0 cm",NULL,NULL,350.63,350.63,350.63,350.63,"C0011B-2R-1, 115.0 cm",NULL,NULL,350.65,350.65,350.65,350.65,"C0011B-2R-1 W, 113.0--115.0 cm",CKY000000000000008810,PP,NULL,10,matt322,NULL,CKY,2009-09-09T18:39:52Z,NULL,189,glass beaker,6.045,2.767,8.7643,4.2102,2.7193,189,glass beaker,6.045,2.767,8.0813,3.5302,2.0363,0.7078,0.6912,0.752,1.4432,0.7632,0.0248,0.0112,2.0115,0.2603,0.3519,1.8842,1.3938,2.6749,0.4789,0.9191,matt322,2009-09-11T06:23:18Z
"C0011B-3R-1, 31.5 cm",NULL,NULL,359.302,359.315,359.302,359.315,"C0011B-3R-1, 32.5 cm",NULL,NULL,359.311,359.325,359.311,359.325,"C0011B-3R-1 W, 31.5--32.5 cm",CKY000000000000012510,PP,NULL,5,yohei322,NULL,CKY,2009-09-09T22:58:13Z,NULL,31,glass beaker,4.613,2.084,7.8374,3.9867,3.2244,31,glass beaker,4.613,2.084,6.7661,2.92,2.1531,1.1102,1.0842,0.8185,1.9027,0.836,0.0389,0.0175,2.1142,0.3443,0.5251,1.6946,1.1112,2.583,0.5698,1.3246,fuway,2010-08-17T03:18:53Z
"C0011B-3R-2, 25.0 cm",NULL,NULL,359.824,359.86,359.824,359.86,"C0011B-3R-2, 27.0 cm",NULL,NULL,359.843,359.88,359.843,359.88,"C0011B-3R-2 WR, 25.0--27.0 cm",CKY000000000000006310,PP,NULL,5,hiranos,NULL,CKY,2009-09-09T17:11:18Z,NULL,200,glass beaker,6.027,2.714,7.8562,3.8117,1.8292,200,glass beaker,6.027,2.714,7.2893,3.2473,1.2623,0.5875,0.5737,0.524,1.0977,0.5333,0.0206,0.0093,1.2417,0.3212,0.4731,1.6664,1.1312,2.3697,0.5226,1.0948,fuway,2010-08-17T03:19:04Z
"C0011B-3R-3, 16.5 cm",NULL,NULL,360.279,360.335,360.279,360.335,"C0011B-3R-3, 18.0 cm",NULL,NULL,360.293,360.35,360.293,360.35,"C0011B-3R-3 W, 16.5--18.0 cm",CKY000000000000013110,PP,NULL,7.5,rachel322,NULL,CKY,2009-09-09T23:24:10Z,NULL,21,glass beaker,4.556,2.044,8.8766,3.4247,4.3206,21,glass beaker,4.556,2.044,8.6459,3.195,4.0899,0.2391,0.2335,1.1472,1.3807,1.151,0.0084,0.0038,4.0815,0.0553,0.0586,3.1293,2.9561,3.5578,0.1691,0.2035,fuway,2010-08-17T03:18:52Z
"C0011B-3R-3, 98.0 cm",NULL,NULL,361.059,361.15,361.059,361.15,"C0011B-3R-3, 99.5 cm",NULL,NULL,361.073,361.165,361.073,361.165,"C0011B-3R-3 W, 98.0--99.5 cm",CKY000000000000013210,PP,NULL,7.5,rachel322,NULL,CKY,2009-09-09T23:24:10Z,NULL,169,glass beaker,6.052,2.764,9.3794,5.5357,3.3274,169,glass beaker,6.052,2.764,7.5283,3.6927,1.4763,1.9182,1.8732,0.8985,2.7717,0.9287,0.0671,0.0302,1.4092,0.5765,1.3612,1.2005,0.5084,1.5684,0.6758,2.0848,fuway,2010-08-17T03:19:02Z
