Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0004C-1H-1, 24.0 cm",NULL,0.24,0.24,0.24,0.24,"C0004C-1H-1, 25.0 cm",NULL,0.25,0.25,0.25,0.25,"C0004C-1H-1 W, 24.0--25.0 cm",CKY000000000000745400,PP,NULL,8,david_goldsby316,NULL,CKY,2007-12-20T12:13:56Z,116,glass beaker,6.065,2.703,12.296,7.078735,6.231,116,glass beaker,6.065,2.703,9.021,3.818,2.956,3.393782,3.314241,1.061494,4.375735,1.115,0.1187825,0.05350562,2.837217,0.544661,1.196166,1.423989,0.6483979,2.672852,0.7574135,3.12224,david_goldsby316,2007-12-25T11:40:24Z
"C0004C-1H-2, 24.0 cm",NULL,1.655,1.655,1.655,1.655,"C0004C-1H-2, 25.0 cm",NULL,1.665,1.665,1.665,1.665,"C0004C-1H-2 W, 24.0--25.0 cm",CKY000000000000747300,PP,NULL,8,david_goldsby316,NULL,CKY,2007-12-20T13:56:51Z,3,glass cell,4.512,2.03,13.694,7.739649,9.182,3,glass cell,4.512,2.03,10.055,4.1165,5.543,3.770985,3.682602,2.027047,5.709649,2.0865,0.1319846,0.0594525,5.411015,0.4106932,0.6969089,1.608155,0.9476966,2.669407,0.6449787,1.816732,david_goldsby316,2007-12-25T11:40:25Z
"C0004C-1H-2, 100.0 cm",NULL,2.415,2.415,2.415,2.415,"C0004C-1H-2, 101.0 cm",NULL,2.425,2.425,2.425,2.425,"C0004C-1H-2 W, 100.0--101.0 cm",CKY000000000000747400,PP,NULL,8,david_goldsby316,NULL,CKY,2007-12-20T13:56:51Z,8,glass cell,4.56,2.079,12.121,6.730255,7.561,8,glass cell,4.56,2.079,9.195,3.817,4.635,3.032124,2.961059,1.690196,4.651255,1.738,0.1061244,0.0478038,4.528876,0.4010216,0.6695093,1.625583,0.9736889,2.679497,0.636615,1.751902,david_goldsby316,2007-12-25T11:44:23Z
"C0004C-1H-2, 119.0 cm",NULL,2.605,2.605,2.605,2.605,"C0004C-1H-2, 120.5 cm",NULL,2.62,2.62,2.62,2.62,"C0004C-1H-2 WR, 119.0--120.5 cm",CKY000000000000746900,PP,NULL,8,chesterf316,NULL,CKY,2007-12-20T12:55:18Z,199,glass beaker,6.006,2.699,13.746,7.608157,7.74,199,glass beaker,6.006,2.699,10.568,4.444,4.562,3.293264,3.216078,1.693079,4.909157,1.745,0.1152643,0.05192087,4.446736,0.4254864,0.7406027,1.576645,0.9058042,2.626419,0.6551182,1.899544,david_goldsby316,2007-12-25T11:40:25Z
"C0004C-1H-4, 24.0 cm",NULL,3.075,3.075,3.075,3.075,"C0004C-1H-4, 25.0 cm",NULL,3.085,3.085,3.085,3.085,"C0004C-1H-4 W, 24.0--25.0 cm",CKY000000000000749100,PP,NULL,8,david_goldsby316,NULL,CKY,2007-12-20T14:44:55Z,121,glass beaker,6.069,2.709,14.421,7.980473,8.352,121,glass beaker,6.069,2.709,10.948,4.5226,4.879,3.598964,3.514613,1.75686,5.271473,1.8136,0.1259638,0.05674046,4.753036,0.4309104,0.7571926,1.584377,0.9016525,2.705416,0.6667232,2.000509,david_goldsby316,2007-12-25T11:45:27Z
"C0004C-1H-5, 24.0 cm",NULL,4.48,4.48,4.48,4.48,"C0004C-1H-5, 25.0 cm",NULL,4.49,4.49,4.49,4.49,"C0004C-1H-5 W, 24.0--25.0 cm",CKY000000000000749200,PP,NULL,8,david_goldsby316,NULL,CKY,2007-12-20T14:50:42Z,119,glass beaker,6.098,2.792,10.758,5.571373,4.66,119,glass beaker,6.098,2.792,9.007,3.828,2.909,1.814508,1.77198,1.007393,2.779373,1.036,0.06350782,0.02860713,2.845492,0.3893794,0.637678,1.676637,1.023789,2.82461,0.6375467,1.758976,tsutsumi316,2007-12-23T15:43:49Z
"C0004C-1H-5, 92.5 cm",NULL,5.165,5.165,5.165,5.165,"C0004C-1H-5, 94.0 cm",NULL,5.18,5.18,5.18,5.18,"C0004C-1H-5 WR, 92.5--94.0 cm",CKY000000000000747700,PP,NULL,2,chesterf316,NULL,CKY,2007-12-20T13:59:04Z,142,glass beaker,6.096,2.792,14.439,6.8487,8.343,142,glass beaker,6.096,2.792,11.394,3.817,5.298,3.1554,3.0814,0.9753,4.0567,1.025,0.1104,0.0497,5.1876,0.3782,0.6083,2.0566,1.2788,5.319,0.7596,3.1594,fujikit,2010-10-05T03:03:06Z
"C0004C-1H-5, 117.0 cm",NULL,5.41,5.41,5.41,5.41,"C0004C-1H-5, 118.5 cm",NULL,5.425,5.425,5.425,5.425,"C0004C-1H-5 WR, 117.0--118.5 cm",CKY000000000000743700,PP,NULL,8,chesterf316,NULL,CKY,2007-12-20T10:29:44Z,206,glass beaker,6.02,2.646,14.488,7.70212,8.468,206,glass beaker,6.02,2.646,11.531,4.758,5.511,3.064249,2.99243,2.06369,5.05612,2.112,0.1072488,0.04831026,5.403751,0.3618622,0.5670596,1.674802,1.068755,2.61849,0.5918432,1.450039,david_goldsby316,2007-12-25T11:34:43Z
"C0004C-1H-7, 23.0 cm",NULL,5.88,5.88,5.88,5.88,"C0004C-1H-7, 25.0 cm",NULL,5.9,5.9,5.9,5.9,"C0004C-1H-7 W, 23.0--25.0 cm",CKY000000000000751100,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-20T16:31:14Z,184,glass beaker,6.06,2.729,13.208,7.022706,7.148,184,glass beaker,6.06,2.729,10.615,4.441,4.555,2.687047,2.624069,1.669637,4.293706,1.712,0.09404671,0.04236338,4.460953,0.3759159,0.6023481,1.664763,1.038952,2.671811,0.6111432,1.571641,tsutsumi316,2007-12-23T15:43:49Z
"C0004C-2H-1, 23.0 cm",NULL,6.594,6.61,6.594,6.61,"C0004C-2H-1, 25.0 cm",NULL,6.613,6.63,6.613,6.63,"C0004C-2H-1 W, 23.0--25.0 cm",CKY000000000000752300,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-20T18:23:44Z,178,glass beaker,6.07,2.773,11.448,5.87809,5.378,178,glass beaker,6.07,2.773,9.632,4.07,3.562,1.881865,1.837759,1.267331,3.10509,1.297,0.06586534,0.02966907,3.496134,0.3499192,0.5382703,1.731995,1.125937,2.758659,0.5918537,1.450102,tsutsumi316,2007-12-23T15:43:50Z
