Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0020A;636.500,NULL,636.5,NULL,NULL,636.5,NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,C0020A-24SMW WR,CKY000000000005019900,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T08:04:24Z,NULL,18.8421,8.4477,37.9166,19.0745,30.1705,13.0907,11.3284,8.027,7.8389,4.5153,12.3542,4.643,0.2809,0.1277,11.0475,0.4208,0.7266,1.544,0.8942,2.4467,0.6345,1.7361,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;636.500,NULL,636.5,NULL,NULL,636.5,NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,C0020A-24SMW WR,CKY000000000005020000,PP,NULL,5,tanikawa337,<1,CKY,2012-08-15T08:04:24Z,NULL,18.8575,8.563,31.9708,13.1133,24.1533,10.6872,5.2958,8.101,7.9111,1.9953,9.9064,2.1242,0.2835,0.1289,5.0123,0.6178,1.6162,1.3237,0.506,2.5121,0.7986,3.9649,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,C0020A-25SMW WR,CKY000000000005021500,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T09:44:28Z,NULL,18.8948,8.4907,35.659,16.7642,28.6096,12.3781,9.7148,7.3051,7.1339,3.7712,10.9051,3.8874,0.2557,0.1162,9.4591,0.4358,0.7723,1.5373,0.8674,2.5082,0.6542,1.8917,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,C0020A-25SMW WR,CKY000000000005021600,PP,NULL,10,tanikawa337,<1,CKY,2012-08-15T09:44:28Z,NULL,18.2091,8.2102,23.9617,5.7526,20.5877,9.1731,2.3786,3.4964,3.4145,0.9073,4.3218,0.9629,0.1224,0.0556,2.2562,0.6078,1.5497,1.3311,0.5221,2.4867,0.7901,3.7634,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,NULL,NULL,C0020A;666.500,NULL,666.5,NULL,NULL,666.5,C0020A-26SMW WR,CKY000000000005021700,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T09:44:28Z,NULL,18.1114,8.1249,40.5188,22.4074,31.3531,13.5505,13.2417,9.4981,9.2755,5.2745,14.55,5.4256,0.3324,0.1511,12.9093,0.4239,0.7358,1.54,0.8872,2.4475,0.6375,1.7586,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,NULL,NULL,C0020A;666.500,NULL,666.5,NULL,NULL,666.5,C0020A-26SMW WR,CKY000000000005021800,PP,NULL,10,tanikawa337,<1,CKY,2012-08-15T09:44:28Z,NULL,19.0994,8.593,22.6754,3.576,20.5012,9.1496,1.4018,2.2531,2.2003,0.5207,2.721,0.5566,0.0789,0.0359,1.3229,0.6301,1.7032,1.3142,0.4862,2.5406,0.8086,4.2257,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;666.500,NULL,666.5,NULL,NULL,666.5,NULL,NULL,C0020A;676.500,NULL,676.5,NULL,NULL,676.5,C0020A-27SMW WR,CKY000000000005021900,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T09:44:28Z,NULL,18.3757,8.302,36.9824,18.6067,28.8889,12.5481,10.5132,8.387,8.1904,4.1127,12.3031,4.2461,0.2935,0.1334,10.2197,0.4508,0.8207,1.5124,0.8307,2.4849,0.6657,1.9915,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;666.500,NULL,666.5,NULL,NULL,666.5,NULL,NULL,C0020A;676.500,NULL,676.5,NULL,NULL,676.5,C0020A-27SMW WR,CKY000000000005022000,PP,NULL,10,tanikawa337,<1,CKY,2012-08-15T09:44:28Z,NULL,17.9439,8.1097,23.2451,5.3012,20.1117,8.9736,2.1678,3.247,3.1709,0.8123,3.9832,0.8639,0.1136,0.0516,2.0542,0.6125,1.5807,1.3309,0.5157,2.5289,0.7961,3.9036,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;676.500,NULL,676.5,NULL,NULL,676.5,NULL,NULL,C0020A;686.500,NULL,686.5,NULL,NULL,686.5,C0020A-28SMW WR,CKY000000000005025400,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T11:16:24Z,NULL,18.0634,8.107,34.9602,16.8968,27.6954,12.027,9.632,7.5283,7.3519,3.8002,11.1521,3.92,0.2635,0.1198,9.3685,0.4455,0.8036,1.5151,0.8401,2.4653,0.6592,1.9346,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;676.500,NULL,676.5,NULL,NULL,676.5,NULL,NULL,C0020A;686.500,NULL,686.5,NULL,NULL,686.5,C0020A-28SMW WR,CKY000000000005025500,PP,NULL,5,tanikawa337,<1,CKY,2012-08-15T11:16:24Z,NULL,18.9737,8.5105,22.9163,3.9426,20.5476,9.1606,1.5739,2.4546,2.3971,0.6111,3.0082,0.6501,0.0859,0.039,1.488,0.6226,1.6496,1.3106,0.4946,2.435,0.7969,3.9226,nishimuram,2012-09-17T18:06:31Z
