Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0021B-1H-1, 120.0 cm",NULL,1.194,1.2,1.194,1.2,"C0021B-1H-1, 122.0 cm",NULL,1.214,1.22,1.214,1.22,"C0021B-1H-1 W, 120.0--122.0 cm",KCC000000000002961101,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T05:06:48Z,NULL,18.8148,8.4543,36.3701,17.5553,27.3139,11.7543,8.4991,9.3847,9.1647,3.1507,12.3154,3.3,0.3285,0.1493,8.1706,0.5346,1.1486,1.4255,0.6634,2.5933,0.7442,2.9088,fuway,2013-05-09T02:04:25Z
"C0021B-1H-2, 35.0 cm",NULL,1.751,1.76,1.751,1.76,"C0021B-1H-2, 37.0 cm",NULL,1.771,1.78,1.771,1.78,"C0021B-1H-2 W, 35.0--37.0 cm",KCC000000000002961201,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T05:06:48Z,NULL,18.1237,8.1504,28.786,10.6623,23.271,10.1235,5.1473,5.715,5.5811,1.8822,7.4633,1.9731,0.2,0.0909,4.9473,0.536,1.1552,1.4286,0.6629,2.6285,0.7478,2.9652,fuway,2013-05-09T02:04:25Z
"C0021B-1H-2, 121.0 cm",NULL,2.607,2.62,2.607,2.62,"C0021B-1H-2, 123.0 cm",NULL,2.627,2.64,2.627,2.64,"C0021B-1H-2 W, 121.0--123.0 cm",KCC000000000002961301,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T05:06:49Z,NULL,18.798,8.4777,33.448,14.65,26.5929,11.457,7.7949,7.1037,6.9372,2.8663,9.8035,2.9793,0.2486,0.113,7.5463,0.4849,0.9413,1.4944,0.7698,2.6328,0.7076,2.4203,fuway,2013-05-09T02:04:25Z
"C0021B-1H-3, 31.0 cm",NULL,3.109,3.125,3.109,3.125,"C0021B-1H-3, 33.0 cm",NULL,3.129,3.145,3.129,3.145,"C0021B-1H-3 W, 31.0--33.0 cm",KCC000000000002961401,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T05:06:49Z,NULL,18.8152,8.4717,34.8684,16.0532,27.6824,11.8794,8.8672,7.4466,7.2721,3.2892,10.5613,3.4077,0.2606,0.1185,8.6066,0.4639,0.8652,1.52,0.8149,2.6166,0.6886,2.2109,fuway,2013-05-09T02:04:25Z
"C0021B-1H-5, 0.0 cm",NULL,3.741,3.76,3.741,3.76,"C0021B-1H-5, 3.0 cm",NULL,3.771,3.79,3.771,3.79,"C0021B-1H-5 WR, 0.0--3.0 cm",CKY000000000001806610,PP,NULL,8,toki338,NULL,CKY,2013-01-07T16:36:01Z,NULL,18.129,8.1127,29.4673,11.3383,24.3203,10.493,6.1913,5.3337,5.2087,2.2954,7.5041,2.3803,0.1867,0.0849,6.0046,0.4704,0.8883,1.5109,0.8002,2.6159,0.6941,2.2692,fuway,2013-05-09T02:04:25Z
"C0021B-1H-5, 118.5 cm",NULL,4.92,4.945,4.92,4.945,"C0021B-1H-5, 120.5 cm",NULL,4.94,4.965,4.94,4.965,"C0021B-1H-5 WR, 118.5--120.5 cm",CKY000000000001807410,PP,NULL,8,toki338,NULL,CKY,2013-01-07T16:37:26Z,NULL,18.8612,8.4951,33.538,14.6768,26.8071,11.5232,7.9459,6.975,6.8115,2.9171,9.7286,3.0281,0.2441,0.111,7.7018,0.4752,0.9056,1.5086,0.7917,2.6402,0.7002,2.335,fuway,2013-05-09T02:04:25Z
"C0021B-2H-2, 24.0 cm",NULL,80.356,80.395,80.356,80.395,"C0021B-2H-2, 27.0 cm",NULL,80.383,80.425,80.383,80.425,"C0021B-2H-2 WR, 24.0--27.0 cm",CKY000000000001803010,PP,NULL,6,toki338,NULL,CKY,2013-01-07T14:45:10Z,NULL,18.262,8.2128,28.2442,9.9822,24.2866,10.4916,6.0246,4.1011,4.005,2.2136,6.2186,2.2788,0.1435,0.0652,5.8811,0.4108,0.6973,1.6052,0.9457,2.6568,0.644,1.8093,fuway,2013-05-09T02:04:25Z
"C0021B-2H-2, 115.0 cm",NULL,81.177,81.305,81.177,81.305,"C0021B-2H-2, 117.0 cm",NULL,81.195,81.325,81.195,81.325,"C0021B-2H-2 W, 115.0--117.0 cm",KCC000000000002961701,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:04Z,NULL,18.7831,8.4258,37.8367,19.0536,30.0492,12.7292,11.2661,8.0699,7.8808,4.175,12.0558,4.3034,0.2824,0.1284,10.9837,0.4235,0.7347,1.5805,0.9111,2.6308,0.6537,1.8876,fuway,2013-05-09T02:04:25Z
"C0021B-2H-4, 17.0 cm",NULL,81.813,82.01,81.813,82.01,"C0021B-2H-4, 19.0 cm",NULL,81.831,82.03,81.831,82.03,"C0021B-2H-4 W, 17.0--19.0 cm",KCC000000000002961801,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:06Z,NULL,18.106,8.1537,29.7318,11.6258,25.0309,10.8056,6.9249,4.8714,4.7572,2.5744,7.3316,2.6519,0.1705,0.0775,6.7544,0.419,0.7212,1.5857,0.9213,2.6237,0.6489,1.8479,fuway,2013-05-09T02:04:25Z
"C0021B-2H-4, 115.0 cm",NULL,82.696,82.99,82.696,82.99,"C0021B-2H-4, 117.0 cm",NULL,82.714,83.01,82.714,83.01,"C0021B-2H-4 W, 115.0--117.0 cm",KCC000000000002961901,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:06Z,NULL,18.718,8.4449,37.4743,18.7563,29.9806,12.8007,11.2626,7.7655,7.5835,4.2323,11.8158,4.3558,0.2718,0.1235,10.9908,0.414,0.7065,1.5874,0.9302,2.5969,0.6418,1.7918,fuway,2013-05-09T02:04:25Z
"C0021B-2H-5, 49.0 cm",NULL,83.346,83.71,83.346,83.71,"C0021B-2H-5, 51.0 cm",NULL,83.364,83.73,83.364,83.73,"C0021B-2H-5 W, 49.0--51.0 cm",KCC000000000002962001,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:07Z,NULL,19.0536,8.5303,38.6313,19.5777,30.3357,12.9574,11.2821,8.5965,8.395,4.2903,12.6853,4.4271,0.3009,0.1368,10.9812,0.4391,0.7828,1.5433,0.8657,2.5595,0.6618,1.9567,fuway,2013-05-09T02:04:25Z
"C0021B-2H-6, 24.0 cm",NULL,83.909,84.335,83.909,84.335,"C0021B-2H-6, 26.0 cm",NULL,83.927,84.355,83.927,84.355,"C0021B-2H-6 W, 24.0--26.0 cm",KCC000000000002962101,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:07Z,NULL,18.9714,8.5759,37.6307,18.6593,29.6258,12.6869,10.6544,8.2952,8.1008,3.979,12.0798,4.111,0.2903,0.132,10.3641,0.4446,0.8004,1.5447,0.858,2.6047,0.6706,2.0359,fuway,2013-05-09T02:04:25Z
"C0021B-2H-7, 41.0 cm",NULL,84.504,84.995,84.504,84.995,"C0021B-2H-7, 43.0 cm",NULL,84.522,85.015,84.522,85.015,"C0021B-2H-7 W, 41.0--43.0 cm",KCC000000000002962201,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:08Z,NULL,18.1337,8.1875,31.7608,13.6271,25.885,11.132,7.7513,6.0889,5.9462,2.8476,8.7938,2.9445,0.2131,0.0969,7.5382,0.4468,0.8077,1.5496,0.8572,2.6472,0.6762,2.0881,fuway,2013-05-09T02:04:25Z
"C0021B-2H-7, 111.0 cm",NULL,85.136,85.695,85.136,85.695,"C0021B-2H-7, 113.0 cm",NULL,85.154,85.715,85.154,85.715,"C0021B-2H-7 W, 111.0--113.0 cm",KCC000000000002962301,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T06:42:08Z,NULL,18.9083,8.5196,33.9693,15.061,27.697,11.8775,8.7887,6.4998,6.3475,3.2545,9.602,3.3579,0.2275,0.1034,8.5612,0.4316,0.7592,1.5685,0.8916,2.6306,0.6611,1.9504,fuway,2013-05-09T02:04:25Z
"C0021B-2H-8, 17.0 cm",NULL,85.55,86.155,85.55,86.155,"C0021B-2H-8, 19.0 cm",NULL,85.568,86.175,85.568,86.175,"C0021B-2H-8 W, 17.0--19.0 cm",KCC000000000002962401,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T07:19:29Z,NULL,18.8014,8.4671,31.2171,12.4157,26.0847,11.2293,7.2833,5.3185,5.1938,2.6776,7.8714,2.7622,0.1861,0.0846,7.0972,0.4284,0.7494,1.5773,0.9016,2.6506,0.6598,1.9397,fuway,2013-05-09T02:04:25Z
"C0021B-2H-8, 115.0 cm",NULL,86.434,87.135,86.434,87.135,"C0021B-2H-8, 117.0 cm",NULL,86.452,87.155,86.452,87.155,"C0021B-2H-8 W, 115.0--117.0 cm",KCC000000000002962501,PP,NULL,10,sasamkcc,NULL,KCC,2013-04-25T07:19:30Z,NULL,18.7317,8.4312,35.2325,16.5008,28.8434,12.3018,10.1117,6.6208,6.4656,3.7653,10.2309,3.8706,0.2317,0.1053,9.88,0.4012,0.6701,1.6128,0.9657,2.624,0.632,1.7172,fuway,2013-05-09T02:04:25Z
