Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0002P;1960.500,NULL,1960.5,NULL,NULL,1960.5,NULL,NULL,C0002P;1965.500,NULL,1965.5,NULL,NULL,1965.5,C0002P-9SMW W,CKY000000000006146800,PP,NULL,30,arakawan348,"1-4mm, bulk",CKY,2013-12-17T01:08:06Z,NULL,19.3436,8.6999,46.3023,26.9587,39.2335,16.1627,19.8899,7.3252,7.1535,7.3463,14.4998,7.4628,0.2564,0.1165,19.6335,0.2717,0.3731,1.8592,1.3541,2.6726,0.4934,0.9738,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1960.500,NULL,1960.5,NULL,NULL,1960.5,NULL,NULL,C0002P;1965.500,NULL,1965.5,NULL,NULL,1965.5,C0002P-9SMW W,CKY000000000006147000,PP,NULL,30,takahashik,">4mm, bulk",CKY,2013-12-17T01:14:03Z,NULL,18.8474,8.4534,54.9007,36.0533,49.2404,19.8504,30.393,5.8656,5.7281,11.3037,17.0318,11.397,0.2053,0.0933,30.1877,0.1627,0.1943,2.1168,1.7724,2.6706,0.3363,0.5067,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1960.500,NULL,1960.5,NULL,NULL,1960.5,NULL,NULL,C0002P;1965.500,NULL,1965.5,NULL,NULL,1965.5,C0002P-9SMW W,CKY000000000006162800,PP,NULL,30,kitamura348,">4mm, hand picked shared with 348PHCT",CKY,2013-12-19T09:53:38Z,NULL,18.1338,8.1425,54.6854,36.5516,51.1461,20.4,33.0123,3.6677,3.5817,12.1991,15.7808,12.2575,0.1284,0.0584,32.8839,0.1003,0.1115,2.3162,2.0838,2.6956,0.227,0.2936,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1970.500,NULL,1970.5,NULL,NULL,1970.5,NULL,NULL,C0002P;1975.500,NULL,1975.5,NULL,NULL,1975.5,C0002P-14SMW W,CKY000000000006147800,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-17T05:27:35Z,NULL,18.1351,8.1963,43.9511,25.816,37.4513,15.49,19.3162,6.7355,6.5776,7.1866,13.7642,7.2937,0.2357,0.1071,19.0805,0.2609,0.353,1.8756,1.3862,2.655,0.4779,0.9153,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1970.500,NULL,1970.5,NULL,NULL,1970.5,NULL,NULL,C0002P;1975.500,NULL,1975.5,NULL,NULL,1975.5,C0002P-14SMW W,CKY000000000006147900,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-17T05:27:35Z,NULL,18.0343,8.1255,46.2953,28.261,39.8622,16.2485,21.8279,6.6664,6.5102,8.017,14.5272,8.123,0.2333,0.106,21.5946,0.2359,0.3087,1.9454,1.4865,2.6936,0.4481,0.812,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1980.500,NULL,1980.5,NULL,NULL,1980.5,NULL,NULL,C0002P;1985.500,NULL,1985.5,NULL,NULL,1985.5,C0002P-16SMW W,CKY000000000006149500,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-17T09:45:29Z,NULL,18.7398,8.4241,44.4771,25.7373,38.304,15.7475,19.5642,6.397,6.2471,7.2216,13.4687,7.3234,0.2239,0.1018,19.3403,0.2485,0.3308,1.9109,1.4359,2.6781,0.4638,0.8651,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1980.500,NULL,1980.5,NULL,NULL,1980.5,NULL,NULL,C0002P;1985.500,NULL,1985.5,NULL,NULL,1985.5,C0002P-16SMW W,CKY000000000006149700,PP,NULL,30,yamaguchim,">4mm, bulk",CKY,2013-12-17T09:52:06Z,NULL,18.7918,8.5026,46.2571,27.4653,40.6091,16.4781,21.8173,5.8528,5.7156,7.8824,13.598,7.9755,0.2048,0.0931,21.6125,0.2131,0.2708,2.0198,1.5894,2.7419,0.4203,0.7251,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1980.500,NULL,1980.5,NULL,NULL,1980.5,NULL,NULL,C0002P;1985.500,NULL,1985.5,NULL,NULL,1985.5,C0002P-16SMW W,CKY000000000006163500,PP,NULL,30,kitamura348,">4mm, hand picked shared with 348PHCT",CKY,2013-12-19T10:32:31Z,NULL,19.3361,8.7219,32.3967,13.0606,31.0485,13.079,11.7124,1.3971,1.3644,4.3349,5.6993,4.3571,0.0489,0.0222,11.6635,0.107,0.1198,2.2916,2.0465,2.6906,0.2394,0.3147,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1990.500,NULL,1990.5,NULL,NULL,1990.5,NULL,NULL,C0002P;1995.500,NULL,1995.5,NULL,NULL,1995.5,C0002P-18SMW W,CKY000000000006151300,PP,NULL,30,takahashik,"1-4mm, bulk",CKY,2013-12-17T23:32:38Z,NULL,19.3537,8.7183,47.9576,28.6039,41.7438,17.0578,22.3901,6.4392,6.2883,8.237,14.5253,8.3395,0.2254,0.1025,22.1647,0.2251,0.2905,1.9692,1.5259,2.6909,0.4329,0.7634,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;1990.500,NULL,1990.5,NULL,NULL,1990.5,NULL,NULL,C0002P;1995.500,NULL,1995.5,NULL,NULL,1995.5,C0002P-18SMW W,CKY000000000006151500,PP,NULL,30,kitajima348,">4mm, bulk, Shared w/ PWVD",CKY,2013-12-19T18:09:46Z,NULL,18.8796,8.491,42.2395,23.3599,38.0252,15.7552,19.1456,4.3672,4.2648,7.1947,11.4595,7.2642,0.1529,0.0695,18.9927,0.187,0.2299,2.0385,1.6574,2.6398,0.3722,0.5928,takahashik,2014-01-13T11:07:22Z
