Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002B-1R-1, 23.0 cm",NULL,475.23,475.23,475.23,475.23,"C0002B-1R-1, 24.0 cm",NULL,475.24,475.24,475.24,475.24,"C0002B-1R-1 W, 23.0--24.0 cm",CKY000000000000614600,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:01:48Z,NULL,180,glass beaker,6.067,2.748,11.145,5.573867,5.078,180,glass beaker,6.067,2.748,9.737,4.172,3.67,1.459067,1.42487,1.400997,2.825867,1.424,0.0510674,0.02300333,3.618933,0.2873311,0.4031762,1.796971,1.280645,2.583113,0.5042241,1.017041,hashimotoy,2007-12-15T06:38:58Z
"C0002B-1R-2, 0.0 cm",NULL,476.415,476.415,476.415,476.415,"C0002B-1R-2, 1.0 cm",NULL,476.425,476.425,476.425,476.425,"C0002B-1R-2 WR, 0.0--1.0 cm",CKY000000000000591000,PP,NULL,8,WZHU315,NULL,CKY,2007-12-09T22:05:50Z,NULL,107,glass beaker,6.084,2.677,12.404,6.044462,6.32,107,glass beaker,6.084,2.677,10.903,4.55,4.819,1.55544,1.518985,1.848477,3.367462,1.873,0.05444046,0.02452273,4.764559,0.246114,0.3264605,1.876784,1.414881,2.577559,0.451077,0.8217492,hashimotoy,2007-12-15T06:51:31Z
"C0002B-1R-3, 23.0 cm",NULL,476.97,476.97,476.97,476.97,"C0002B-1R-3, 24.0 cm",NULL,476.98,476.98,476.98,476.98,"C0002B-1R-3 W, 23.0--24.0 cm",CKY000000000000614700,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:01:48Z,NULL,19,glass cell,4.588,2.053,9.811,4.886277,5.223,19,glass cell,4.588,2.053,8.497,3.578,3.909,1.361658,1.329744,1.503532,2.833277,1.525,0.04765807,0.0214676,3.861342,0.2607042,0.3526385,1.843449,1.362854,2.56818,0.4693309,0.8844134,hashimotoy,2007-12-15T10:13:32Z
"C0002B-1R-3, 99.0 cm",NULL,477.73,477.73,477.73,477.73,"C0002B-1R-3, 100.0 cm",NULL,477.74,477.74,477.74,477.74,"C0002B-1R-3 W, 99.0--100.0 cm",CKY000000000000614800,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:01:49Z,NULL,121,glass beaker,6.069,2.709,10.572,5.21673,4.503,121,glass beaker,6.069,2.709,9.362,4.012,3.293,1.253886,1.224498,1.283232,2.50773,1.303,0.04388604,0.01976849,3.249114,0.2784557,0.3859163,1.795648,1.29564,2.531978,0.4882895,0.95423,hashimotoy,2007-12-15T06:51:31Z
"C0002B-2R-1, 24.0 cm",NULL,484.74,484.74,484.74,484.74,"C0002B-2R-1, 25.0 cm",NULL,484.75,484.75,484.75,484.75,"C0002B-2R-1 W, 24.0--25.0 cm",CKY000000000000614900,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:03:30Z,NULL,21,glass cell,4.561,2.041,10.063,5.030858,5.502,21,glass cell,4.561,2.041,8.653,3.627,4.092,1.46114,1.426894,1.562964,2.989858,1.586,0.05113994,0.02303601,4.04086,0.2655652,0.3615913,1.840221,1.351522,2.585383,0.4772448,0.9129413,hashimotoy,2007-12-15T10:13:33Z
"C0002B-2R-1, 99.0 cm",NULL,485.49,485.49,485.49,485.49,"C0002B-2R-1, 100.0 cm",NULL,485.5,485.5,485.5,485.5,"C0002B-2R-1 W, 99.0--100.0 cm",CKY000000000000615000,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:03:30Z,NULL,187,glass beaker,6.12,2.752,11.737,5.789384,5.617,187,glass beaker,6.12,2.752,10.218,4.277,4.098,1.574093,1.5372,1.500183,3.037384,1.525,0.05509331,0.0248168,4.042907,0.2802374,0.3893469,1.849289,1.331049,2.694942,0.5060936,1.024675,hashimotoy,2007-12-15T06:51:31Z
"C0002B-3R-1, 24.0 cm",NULL,494.24,494.24,494.24,494.24,"C0002B-3R-1, 25.0 cm",NULL,494.25,494.25,494.25,494.25,"C0002B-3R-1 W, 24.0--25.0 cm",CKY000000000000615100,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:04:11Z,NULL,139,glass beaker,6.097,2.688,12.611,6.330746,6.514,139,glass beaker,6.097,2.688,10.716,4.444,4.619,1.963731,1.917706,1.72504,3.642746,1.756,0.06873062,0.03095974,4.550269,0.3014631,0.4315636,1.788211,1.249132,2.637776,0.5264451,1.111687,hashimotoy,2007-12-15T06:51:31Z
"C0002B-3R-1, 99.0 cm",NULL,494.99,494.99,494.99,494.99,"C0002B-3R-1, 100.0 cm",NULL,495,495,495,495,"C0002B-3R-1 W, 99.0--100.0 cm",CKY000000000000615200,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:04:11Z,NULL,174,glass beaker,6.02,2.725,12.361,5.936,6.341,174,glass beaker,6.02,2.725,10.754,4.336,4.734,1.665285,1.626255,1.584745,3.211,1.611,0.05828502,0.02625451,4.675715,0.2626218,0.3561562,1.974774,1.456155,2.950452,0.5064636,1.026193,hashimotoy,2007-12-15T10:13:33Z
"C0002B-4R-1, 73.0 cm",NULL,504.23,504.23,504.23,504.23,"C0002B-4R-1, 74.0 cm",NULL,504.24,504.24,504.24,504.24,"C0002B-4R-1 W, 73.0--74.0 cm",CKY000000000000615300,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:05:16Z,CALCULATED VOLUME,173,glass beaker,5.972,2.711,11.796,5.77771,5.824,173,glass beaker,5.972,2.711,10.352,4.34,4.38,1.496373,1.461302,1.605409,3.06671,1.629,0.0523731,0.02359149,4.327627,0.2569322,0.3457722,1.899103,1.411163,2.695655,0.4765047,0.9102367,henry315,2007-12-17T05:03:55Z
"C0002B-4R-1, 84.0 cm",NULL,504.34,504.34,504.34,504.34,"C0002B-4R-1, 85.0 cm",NULL,504.35,504.35,504.35,504.35,"C0002B-4R-1 WR, 84.0--85.0 cm",CKY000000000000595100,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T09:53:59Z,NULL,142,glass beaker,6.096,2.792,12.664,6.320203,6.568,142,glass beaker,6.096,2.792,10.874,4.538,4.778,1.854922,1.811448,1.716756,3.528203,1.746,0.06492233,0.02924429,4.713077,0.2824181,0.3935692,1.861571,1.335829,2.74534,0.5134193,1.055157,hashimotoy,2007-12-15T06:59:14Z
