Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006D-1H-1, 23.0 cm",NULL,0.21,0.23,0.21,0.23,"C0006D-1H-1, 25.0 cm",NULL,0.228,0.25,0.228,0.25,"C0006D-1H-1 W, 23.0--25.0 cm",CKY000000000001022900,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:31Z,164,glass beaker,6.118,2.757,12.581,6.617638,6.463,164,glass beaker,6.118,2.757,10.202,4.249,4.084,2.465285,2.407505,1.453133,3.860638,1.492,0.08628504,0.03886714,3.997715,0.3814459,0.6166735,1.674076,1.035506,2.751101,0.6236029,1.656769,tsutsumi316,2007-12-30T22:23:14Z
"C0006D-1H-2, 0.0 cm",NULL,1.104,1.21,1.104,1.21,"C0006D-1H-2, 1.5 cm",NULL,1.117,1.225,1.117,1.225,"C0006D-1H-2 WR, 0.0--1.5 cm",CKY000000000000946900,PP,NULL,8,arito316,CKY,2007-12-28T15:44:00Z,196,glass beaker,6.1,2.757,12.502,6.497304,6.402,196,glass beaker,6.1,2.757,10.276,4.281,4.176,2.306736,2.252672,1.487633,3.740304,1.524,0.08073581,0.03636748,4.095264,0.3603149,0.5632691,1.711626,1.094901,2.752874,0.6022696,1.514266,tsutsumi316,2007-12-30T01:56:52Z
"C0006D-1H-2, 20.0 cm",NULL,1.286,1.41,1.286,1.41,"C0006D-1H-2, 21.5 cm",NULL,1.3,1.425,1.3,1.425,"C0006D-1H-2 WR, 20.0--21.5 cm",CKY000000000000947300,PP,NULL,8,arito316,CKY,2007-12-28T15:45:47Z,184,glass beaker,6.06,2.729,11.758,6.159792,5.698,184,glass beaker,6.06,2.729,9.644,4.055,3.584,2.190674,2.13933,1.291462,3.430792,1.326,0.07667363,0.03453767,3.507326,0.3844636,0.6245993,1.660841,1.022308,2.715779,0.6235673,1.656517,tsutsumi316,2007-12-30T22:23:08Z
"C0006D-1H-3, 23.0 cm",NULL,1.51,1.655,1.51,1.655,"C0006D-1H-3, 25.0 cm",NULL,1.528,1.675,1.528,1.675,"C0006D-1H-3 W, 23.0--25.0 cm",CKY000000000001023000,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:32Z,185,glass beaker,5.861,2.618,13.149,6.706163,7.288,185,glass beaker,5.861,2.618,10.661,4.229,4.8,2.578238,2.517811,1.570352,4.088163,1.611,0.09023841,0.04064793,4.709762,0.3537649,0.5474244,1.782708,1.152048,2.999176,0.6158783,1.603342,tsutsumi316,2008-01-26T18:49:48Z
"C0006D-1H-3, 99.0 cm",NULL,2.203,2.415,2.203,2.415,"C0006D-1H-3, 101.0 cm",NULL,2.221,2.435,2.221,2.435,"C0006D-1H-3 W, 99.0--101.0 cm",CKY000000000001023100,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:32Z,128,glass beaker,6.025,2.648,14.368,7.679846,8.343,128,glass beaker,6.025,2.648,11.348,4.673,5.323,3.129534,3.056185,1.97566,5.031846,2.025,0.1095338,0.04933953,5.213466,0.3751089,0.6002789,1.65804,1.036094,2.638847,0.6073686,1.546918,tsutsumi316,2007-12-30T22:23:15Z
"C0006D-1H-4, 23.0 cm",NULL,2.796,3.065,2.796,3.065,"C0006D-1H-4, 25.0 cm",NULL,2.814,3.085,2.814,3.085,"C0006D-1H-4 W, 23.0--25.0 cm",CKY000000000001023200,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:32Z,26,glass cell,4.589,2.068,14.058,7.430981,9.469,26,glass cell,4.589,2.068,11.069,4.455,6.48,3.097409,3.024814,2.338167,5.362981,2.387,0.1084094,0.04883307,6.37159,0.3271105,0.4861281,1.765623,1.188069,2.725037,0.5640173,1.293669,tsutsumi316,2007-12-30T22:23:15Z
"C0006D-1H-5, 0.0 cm",NULL,3.685,4.04,3.685,4.04,"C0006D-1H-5, 1.5 cm",NULL,3.699,4.055,3.699,4.055,"C0006D-1H-5 WR, 0.0--1.5 cm",CKY000000000000947800,PP,NULL,8,arito316,CKY,2007-12-28T15:57:20Z,205,glass beaker,6.087,2.728,13.62,6.97903,7.533,205,glass beaker,6.087,2.728,11.331,4.7,5.244,2.372021,2.316426,1.934603,4.25103,1.972,0.08302079,0.03739675,5.160979,0.3148839,0.4596067,1.772041,1.214054,2.66772,0.5449095,1.197365,tsutsumi316,2007-12-30T22:23:07Z
"C0006D-1H-6, 19.0 cm",NULL,4.055,4.445,4.055,4.445,"C0006D-1H-6, 21.0 cm",NULL,4.073,4.465,4.073,4.465,"C0006D-1H-6 W, 19.0--21.0 cm",CKY000000000001023300,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:33Z,28,glass cell,4.599,2.072,13.581,7.099531,8.982,28,glass cell,4.599,2.072,10.948,4.478,6.349,2.728497,2.664548,2.362983,5.027531,2.406,0.09549748,0.04301688,6.253503,0.3037739,0.4363151,1.786563,1.243852,2.646444,0.5299914,1.12762,tsutsumi316,2008-01-01T00:26:52Z
"C0006D-1H-6, 99.0 cm",NULL,4.784,5.245,4.784,5.245,"C0006D-1H-6, 101.0 cm",NULL,4.802,5.265,4.802,5.265,"C0006D-1H-6 W, 99.0--101.0 cm",CKY000000000001023400,PP,NULL,5,tsutsumi316,CKY,2007-12-30T20:08:33Z,162,glass beaker,5.999,2.708,15.786,8.143843,9.787,162,glass beaker,5.999,2.708,12.995,5.365,6.996,2.892228,2.824441,2.611402,5.435843,2.657,0.1012281,0.04559822,6.894772,0.2955173,0.4194813,1.800457,1.268391,2.640257,0.5195958,1.081581,tsutsumi316,2008-01-01T00:26:52Z
"C0006D-1H-7, 20.0 cm",NULL,5.368,5.885,5.368,5.885,"C0006D-1H-7, 21.5 cm",NULL,5.382,5.9,5.382,5.9,"C0006D-1H-7 W, 20.0--21.5 cm",CKY000000000000967500,PP,NULL,5,david_goldsby316,CKY,2007-12-29T05:56:32Z,21,glass cell,4.561,2.041,10.046,4.843185,5.485,21,glass cell,4.561,2.041,8.734,3.5369,4.173,1.359586,1.32772,1.474465,2.802185,1.4959,0.04758553,0.02143492,4.125415,0.2478734,0.3295634,1.957401,1.472213,2.797906,0.473816,0.9004758,david_goldsby316,2008-01-14T05:03:50Z
"C0006D-1H-7, 100.0 cm",NULL,6.098,6.685,6.098,6.685,"C0006D-1H-7, 101.5 cm",NULL,6.111,6.7,6.111,6.7,"C0006D-1H-7 W, 100.0--101.5 cm",CKY000000000000967600,PP,NULL,5,david_goldsby316,CKY,2007-12-29T05:56:33Z,152,glass beaker,6.064,2.776,13.925,6.967127,7.861,152,glass beaker,6.064,2.776,11.888,4.939,5.824,2.110881,2.061407,2.12972,4.191127,2.163,0.07388089,0.03327968,5.750119,0.2685258,0.3671021,1.875629,1.371974,2.699941,0.4918502,0.9679238,david_goldsby316,2008-01-14T05:09:11Z
"C0006D-1H-8, 20.0 cm",NULL,6.686,7.33,6.686,7.33,"C0006D-1H-8, 21.5 cm",NULL,6.7,7.345,6.7,7.345,"C0006D-1H-8 W, 20.0--21.5 cm",CKY000000000000967700,PP,NULL,5,david_goldsby316,CKY,2007-12-29T05:56:33Z,188,glass beaker,6.014,2.74,14.845,7.353374,8.831,188,glass beaker,6.014,2.74,12.635,5.153,6.621,2.290156,2.23648,2.376894,4.613374,2.413,0.0801555,0.03610608,6.540845,0.2593314,0.3501315,1.914217,1.417801,2.751845,0.4847818,0.9409254,david_goldsby316,2008-01-14T05:09:11Z
"C0006D-1H-8, 100.0 cm",NULL,7.416,8.13,7.416,8.13,"C0006D-1H-8, 101.5 cm",NULL,7.429,8.145,7.429,8.145,"C0006D-1H-8 W, 100.0--101.5 cm",CKY000000000000967800,PP,NULL,5,david_goldsby316,CKY,2007-12-29T05:56:33Z,8,glass cell,4.56,2.079,13.425,6.819738,8.865,8,glass cell,4.56,2.079,11.069,4.474,6.509,2.441451,2.384229,2.356509,4.740738,2.395,0.08545084,0.03849137,6.423549,0.2754034,0.3800782,1.869962,1.354968,2.725876,0.5029237,1.011763,david_goldsby316,2008-01-14T05:09:11Z
"C0006D-1H-10, 20.0 cm",NULL,8.729,9.57,8.729,9.57,"C0006D-1H-10, 21.5 cm",NULL,8.743,9.585,8.743,9.585,"C0006D-1H-10 W, 20.0--21.5 cm",CKY000000000000967900,PP,NULL,5,david_goldsby316,CKY,2007-12-29T05:56:33Z,130,glass beaker,6.116,2.721,16.3,7.927134,10.184,130,glass beaker,6.116,2.721,14.035,5.672,7.919,2.34715,2.292139,2.913995,5.206134,2.951,0.08215032,0.03700465,7.83685,0.2304743,0.2995018,1.956154,1.505311,2.689383,0.4402766,0.7865966,david_goldsby316,2008-01-14T05:09:12Z
