leg,site,hole,core,section,sample_depth,grain_density,porosity,method
315,C0001,E,NULL,NULL,0.2875,2.76388,0.6463355,NULL
315,C0001,E,NULL,NULL,0.9895,2.803368,0.6316845,NULL
315,C0001,E,NULL,NULL,1.4365,2.610999,0.6063021,NULL
315,C0001,E,NULL,NULL,1.678,2.690411,0.6652674,NULL
315,C0001,E,NULL,NULL,2.369,2.688675,0.6367695,NULL
315,C0001,E,NULL,NULL,2.8045,2.677434,0.583265,NULL
315,C0001,E,NULL,NULL,3.065,2.491768,0.6088494,NULL
315,C0001,E,NULL,NULL,3.4665,2.5793,0.6211533,NULL
315,C0001,E,NULL,NULL,3.6755,2.492085,0.6178703,NULL
315,C0001,E,NULL,NULL,4.328,2.77733,0.6743848,NULL
315,C0001,E,NULL,NULL,5.026,2.648458,0.6808045,NULL
315,C0001,E,NULL,NULL,5.719,4.033144,0.7208204,NULL
315,C0001,E,NULL,NULL,6.417,2.8307,0.6290839,NULL
315,C0001,E,NULL,NULL,7.0915,2.771063,0.62396,NULL
315,C0001,E,NULL,NULL,7.2215,2.683804,0.6215383,NULL
315,C0001,E,NULL,NULL,7.8265,1.873767,0.5719313,NULL
315,C0001,E,NULL,NULL,8.743,2.58563,0.6422779,NULL
315,C0001,E,NULL,NULL,9.441,2.61587,0.6541579,NULL
315,C0001,E,NULL,NULL,9.748,2.688698,0.656354,NULL
315,C0001,E,NULL,NULL,10.1525,2.754919,0.6793122,NULL
315,C0001,E,NULL,NULL,10.8505,2.717988,0.6737208,NULL
315,C0001,E,NULL,NULL,11.2365,2.819947,0.6324755,NULL
315,C0001,E,NULL,NULL,11.5575,2.7837,0.6553956,NULL
315,C0001,E,NULL,NULL,12.2555,2.629084,0.6208117,NULL
315,C0001,E,NULL,NULL,12.9625,2.712545,0.6478707,NULL
315,C0001,E,NULL,NULL,13.845,2.669618,0.6435932,NULL
315,C0001,E,NULL,NULL,23.2745,2.736376,0.6935418,NULL
315,C0001,E,NULL,NULL,24.2735,2.614932,0.6378653,NULL
315,C0001,E,NULL,NULL,24.7445,2.520702,0.6291413,NULL
315,C0001,E,NULL,NULL,25.0085,2.656229,0.6295988,NULL
315,C0001,E,NULL,NULL,25.414,2.681616,0.6479318,NULL
315,C0001,E,NULL,NULL,25.687,2.766961,0.6841446,NULL
315,C0001,E,NULL,NULL,26.196,2.760699,0.6650922,NULL
315,C0001,E,NULL,NULL,26.8935,2.69045,0.6534421,NULL
315,C0001,E,NULL,NULL,27.1665,2.5869,0.6480848,NULL
315,C0001,E,NULL,NULL,27.586,2.705276,0.6650589,NULL
315,C0001,E,NULL,NULL,28.3215,2.645318,0.6517336,NULL
