leg	site	hole	age mnemonic	auxiliary age mnemonic	top of section depth(m)	bottom of section depth(m)	special condition	age	auxiliary age	averaged age	age top of section(million years)	age bottom of section(million years)	average age(million years)	data source
1	1		Quaternary		0.0	770.5		no age given		no age given	    0	  1.8	  0.9	Initial Reports of the DSDP
1	2		Upper Pleistocene		19.5	22.7		no age given		no age given	 0.01	  0.7	0.355	Initial Reports of the DSDP
1	2		Lower Pleistocene		57.6	58.8		no age given		no age given	  1.2	  1.8	  1.5	Initial Reports of the DSDP
1	2		Upper Pliocene		66.7	70.2		no age given		no age given	  1.8	  3.4	  2.6	Initial Reports of the DSDP
1	2		Lower Pliocene		101.5	104.1		no age given		no age given	  3.4	    5	  4.2	Initial Reports of the DSDP
1	2		Upper Miocene		136.0	136.1		no age given		no age given	    5	 10.5	 7.75	Initial Reports of the DSDP
1	2		Cretaceous	Jurassic	136.1	137.9		no age given	no age given	no age given	   65	  192	128.5	Initial Reports of the DSDP
1	3		Upper Pleistocene		0.0	180.0		no age given		no age given	 0.01	  0.7	0.355	Initial Reports of the DSDP
1	3		Lower Pleistocene		180.0	320.0		no age given		no age given	  1.2	  1.8	  1.5	Initial Reports of the DSDP
1	3		Upper Pliocene	Middle Pliocene	320.0	360.0		no age given	no age given	no age given	  1.8	    4	  2.9	Initial Reports of the DSDP
1	3		Middle Pliocene	Lower Pliocene	360.0	430.0		no age given	no age given	no age given	    3	    5	    4	Initial Reports of the DSDP
1	3		Lower Pliocene		430.0	560.0		no age given		no age given	  3.4	    5	  4.2	Initial Reports of the DSDP
1	3		Upper Miocene		560.0	627.6		no age given		no age given	    5	 10.5	 7.75	Initial Reports of the DSDP
1	4		Pleistocene	Pliocene	0.0	9.0		no age given	no age given	no age given	0.011	    5	2.506	Initial Reports of the DSDP
1	4		Turonian		104.2	106.1		no age given		no age given	   86	   92	   89	Initial Reports of the DSDP
1	4		Albian	Aptian	133.8	135.1		no age given	no age given	no age given	  100	  110	  105	Initial Reports of the DSDP
1	4		Hauterivian		190.8	192.0		no age given		no age given	  121	  126	123.5	Initial Reports of the DSDP
1	4		Tithonian		249.6	249.8		no age given		no age given	  135	  141	  138	Initial Reports of the DSDP
1	4	A	Maestrichtian	Campanian	72.8	77.0		no age given	no age given	no age given	   65	   78	 71.5	Initial Reports of the DSDP
1	4	A	Cenomanian	Albian	114.3	115.6		no age given	no age given	no age given	   92	  108	  100	Initial Reports of the DSDP
1	5		Pliocene	Oligocene	0.0	3.7		no age given	no age given	no age given	  1.8	 37.5	19.65	Initial Reports of the DSDP
1	5		Santonian	Turonian	31.1	71.7		no age given	no age given	no age given	   78	   92	   85	Initial Reports of the DSDP
1	5	A	Cenomanian		85.3	98.3		no age given		no age given	   92	  100	   96	Initial Reports of the DSDP
1	5	A	Albian		145.1	145.2		no age given		no age given	  100	  108	  104	Initial Reports of the DSDP
1	5	A	Barremian		184.7	185.1		no age given		no age given	  115	  121	  118	Initial Reports of the DSDP
1	5	A	Valanginian	Tithonian	230.7	235.6		no age given	no age given	no age given	  126	  141	133.5	Initial Reports of the DSDP
1	5	A	Tithonian		274.3	274.5		no age given		no age given	  135	  141	  138	Initial Reports of the DSDP
1	6		Quaternary		40.8	46.0		no age given		no age given	    0	  1.8	  0.9	Initial Reports of the DSDP
1	6		Middle Eocene		152.1	251.5		no age given		no age given	   43	   49	   46	Initial Reports of the DSDP
1	6	A	Quaternary		15.2	24.1		no age given		no age given	    0	  1.8	  0.9	Initial Reports of the DSDP
1	7		Pleistocene		0.0	2.0		no age given		no age given	0.011	  1.8	.9055	Initial Reports of the DSDP
1	7		Pliocene		2.0	9.1		no age given		no age given	  1.8	    5	  3.4	Initial Reports of the DSDP
1	7		Middle Eocene		235.6	236.0		no age given		no age given	   43	   49	   46	Initial Reports of the DSDP
2	8		Middle Miocene		168.0	177.0		no age given		no age given	 10.5	   16	13.25	Initial Reports of the DSDP
2	8		Eocene		249.0	258.0		no age given		no age given	 37.5	 53.5	 45.5	Initial Reports of the DSDP
2	8	A	Eocene		278.0	305.0		no age given		no age given	 37.5	 53.5	 45.5	Initial Reports of the DSDP
2	9		Pleistocene		0.0	79.0		no age given		no age given	0.011	  1.8	.9055	Initial Reports of the DSDP
2	9		Lower Pliocene		195.0	213.0		no age given		no age given	  3.4	    5	  4.2	Initial Reports of the DSDP
2	9		Miocene	Eocene	302.0	491.6		no age given	no age given	no age given	    5	 53.5	29.25	Initial Reports of the DSDP
2	9	A	Middle Eocene		674.0	683.0		no age given		no age given	   43	   49	   46	Initial Reports of the DSDP
2	9	A	Upper Cretaceous		756.0	834.0		no age given		no age given	   65	  100	 82.5	Initial Reports of the DSDP
2	10		Pliocene		30.0	39.0		no age given		no age given	  1.8	    5	  3.4	Initial Reports of the DSDP
2	10		Miocene		39.0	45.0		no age given		no age given	    5	 22.5	13.75	Initial Reports of the DSDP
2	10		Oligocene		45.0	77.0		no age given		no age given	 22.5	 37.5	   30	Initial Reports of the DSDP
2	10		Upper Eocene		77.0	95.5		no age given		no age given	 37.5	   43	40.25	Initial Reports of the DSDP
2	10		Middle Eocene		95.5	171.5		no age given		no age given	   43	   49	   46	Initial Reports of the DSDP
2	10		Lower Eocene		171.5	185.0		no age given		no age given	   49	 53.5	51.25	Initial Reports of the DSDP
2	10		Maestrichtian		290.0	400.0		no age given		no age given	   65	   70	 67.5	Initial Reports of the DSDP
