leg	site	hole	core	section	top of sampled interval (cm)	bottom of sampled interval(cm)	depth to core (m)	depth to sample (m)	card type	card number	pH electrode type	pH	alkalinity measurement type	alkalinity	salinity	data field #1	data field #2	data field #3	data field #4	data field #5	data field #6	reference
1	1		2	3	117.0	122.0	299.30	303.50	DATA CARD	1					31.0	10.72	45.45	18.70				120
1	1		2	3	117.0	122.0	299.30	303.50	DATA CARD	2						0.18	6.02		7.03	13.40		120
1	1		2	3	117.0	122.0	299.30	303.50	DATA CARD	3											458.33	120
1	1		2	3	117.0	122.0	299.30	303.50	DATA CARD	4							0.47					120
1	1		7	4	143.0	150.0	695.60	702.37	DATA CARD	1					37.5	9.70	51.76	20.60				120
1	1		7	4	143.0	150.0	695.60	702.37	DATA CARD	2						0.14	7.85		26.41	3.00		120
1	1		7	4	143.0	150.0	695.60	702.37	DATA CARD	3											520.62	120
1	1		7	4	143.0	150.0	695.60	702.37	DATA CARD	4							0.85					120
1	1		9	5	145.0	150.0	761.40	768.98	DATA CARD	1					37.0	9.70	51.76	20.40				120
1	1		9	5	145.0	150.0	761.40	768.98	DATA CARD	2						0.19	6.28			22.30		120
1	1		9	5	145.0	150.0	761.40	768.98	DATA CARD	3											502.82	120
1	1		9	5	145.0	150.0	761.40	768.98	DATA CARD	4							0.57					120
1	2		1	2	0.0	65.0	19.50	21.32	DATA CARD	1						9.73	57.59	21.80				121
1	2		1	2	0.0	65.0	19.50	21.32	DATA CARD	2						0.09	15.60	40.04	25.30		2.91	121
1	2		1	2	0.0	65.0	19.50	21.32	DATA CARD	3											521.97	121
1	2		1	2	0.0	65.0	19.50	21.32	DATA CARD	4						0.96						121
1	2		4	1	30.0	90.0	101.50	102.10	DATA CARD	1						11.73	61.29	39.39				121
1	2		4	1	30.0	90.0	101.50	102.10	DATA CARD	2						0.17	17.14	3.64			7.19	121
1	2		4	1	30.0	90.0	101.50	102.10	DATA CARD	3											848.19	121
1	2		4	1	30.0	90.0	101.50	102.10	DATA CARD	4						1.04						121
1	2		5	2			136.30	137.80	DATA CARD	1						43.39	8.00	4.80				120
1	2		5	2			136.30	137.80	DATA CARD	2						0.05	2.62		26.84	1.50		120
1	2		5	2			136.30	137.80	DATA CARD	3											111.24	120
1	2		5	2			136.30	137.80	DATA CARD	4							0.76					120
1	3		1	2	0.0	72.0	25.00	26.86	DATA CARD	1						12.48	45.25	20.14				121
1	3		1	2	0.0	72.0	25.00	26.86	DATA CARD	2						0.12	7.67	4.55			6.12	121
1	3		1	2	0.0	72.0	25.00	26.86	DATA CARD	3											461.07	121
1	3		1	2	0.0	72.0	25.00	26.86	DATA CARD	4						0.91						121
1	3		1	2	45.0	50.0	25.00	26.98	DATA CARD	1					33.0	12.25	44.19	20.00				120
1	3		1	2	45.0	50.0	25.00	26.98	DATA CARD	2						0.15	6.80		6.18	1.50		120
1	3		1	2	45.0	50.0	25.00	26.98	DATA CARD	3											489.47	120
1	3		1	2	45.0	50.0	25.00	26.98	DATA CARD	4							1.14					120
1	3		4	1	29.0	33.0	209.40	209.71	DATA CARD	1					34.0	12.76	37.87	21.20				120
1	3		4	1	29.0	33.0	209.40	209.71	DATA CARD	2						0.12	12.04		9.90	8.20		120
1	3		4	1	29.0	33.0	209.40	209.71	DATA CARD	3											533.97	120
1	3		4	1	29.0	33.0	209.40	209.71	DATA CARD	4							0.76					120
1	3		4	1	33.0	100.0	209.40	210.07	DATA CARD	1						4.99	45.25	22.19				121
1	3		4	1	33.0	100.0	209.40	210.07	DATA CARD	2						0.12	11.76	6.37			2.29	121
1	3		4	1	33.0	100.0	209.40	210.07	DATA CARD	3											526.32	121
1	3		4	1	33.0	100.0	209.40	210.07	DATA CARD	4						1.02						121
1	3		5	2	4.0	7.0	320.00	321.56	DATA CARD	1					38.0	12.25	45.45	24.20				120
1	3		5	2	4.0	7.0	320.00	321.56	DATA CARD	2						0.13	15.17		6.50	11.20		120
1	3		5	2	4.0	7.0	320.00	321.56	DATA CARD	3											605.17	120
1	3		5	2	4.0	7.0	320.00	321.56	DATA CARD	4							0.19					120
1	3		5	2	102.0	150.0	320.00	322.76	DATA CARD	1						8.98	36.20	23.75				121
1	3		5	2	102.0	150.0	320.00	322.76	DATA CARD	2						0.86	13.81	1.82	6.04		7.19	121
1	3		5	2	102.0	150.0	320.00	322.76	DATA CARD	3											561.11	121
1	3		5	2	102.0	150.0	320.00	322.76	DATA CARD	4						1.00						121
1	3		7	1	13.0	21.0	381.00	381.17	DATA CARD	1					44.0	14.04	45.45	25.80				120
1	3		7	1	13.0	21.0	381.00	381.17	DATA CARD	2						0.16	15.70			17.10		120
1	3		7	1	13.0	21.0	381.00	381.17	DATA CARD	3											631.87	120
1	3		7	1	13.0	21.0	381.00	381.17	DATA CARD	4							0.47					120
1	3		8	3	10.0	18.0	429.50	432.64	DATA CARD	1					44.5	13.53	44.61	27.50				120
1	3		8	3	10.0	18.0	429.50	432.64	DATA CARD	2						1.18	14.13		7.45	11.90		120
1	3		8	3	10.0	18.0	429.50	432.64	DATA CARD	3											689.71	120
1	3		8	3	10.0	18.0	429.50	432.64	DATA CARD	4							0.47					120
1	3		9	2	8.0	16.0	534.00	535.80	DATA CARD	1					49.5	25.52	53.86	29.50				120
1	3		9	2	8.0	16.0	534.00	535.80	DATA CARD	2						1.46	13.87		6.07	16.40		120
1	3		9	2	8.0	16.0	534.00	535.80	DATA CARD	3											698.61	120
1	3		9	2	8.0	16.0	534.00	535.80	DATA CARD	4							0.28					120
1	3		10	2	44.0	50.0	609.60	611.57	DATA CARD	1					55.0	40.84	57.23	33.30				120
1	3		10	2	44.0	50.0	609.60	611.57	DATA CARD	2						1.62	15.96		4.05	52.10		120
1	3		10	2	44.0	50.0	609.60	611.57	DATA CARD	3											756.46	120
1	3		10	2	44.0	50.0	609.60	611.57	DATA CARD	4							0.19					120
1	4		1	4	0.0	4.0	0.00	4.52	DATA CARD	1					34.0	9.44	54.71	19.20				120
1	4		1	4	0.0	4.0	0.00	4.52	DATA CARD	2						0.11	10.73		29.71	0.60		120
1	4		1	4	0.0	4.0	0.00	4.52	DATA CARD	3											476.12	120
1	4		1	4	0.0	4.0	0.00	4.52	DATA CARD	4							0.28					120
1	4		1	4	30.0	90.0	0.00	5.10	DATA CARD	1						10.48	51.42	19.94				121
1	4		1	4	30.0	90.0	0.00	5.10	DATA CARD	2						0.09	13.04	0.36	25.71		2.29	121
1	4		1	4	30.0	90.0	0.00	5.10	DATA CARD	3											474.12	121
1	4		1	4	30.0	90.0	0.00	5.10	DATA CARD	4						0.88						121
1	4	A	2	1	117.0	121.0	114.30	115.49	DATA CARD	1					38.0	14.80	56.39	19.70				120
1	4	A	2	1	117.0	121.0	114.30	115.49	DATA CARD	2						0.41	17.79		27.69	1.50		120
1	4	A	2	1	117.0	121.0	114.30	115.49	DATA CARD	3											489.47	120
1	4	A	2	1	117.0	121.0	114.30	115.49	DATA CARD	4							0.19					120
1	5		1	2	40.0	45.0	0.00	1.93	DATA CARD	1					35.0	14.04	53.02	19.50				120
1	5		1	2	40.0	45.0	0.00	1.93	DATA CARD	2						0.11	12.30		28.43	0.70		120
1	5		1	2	40.0	45.0	0.00	1.93	DATA CARD	3											476.12	120
1	5		1	2	40.0	45.0	0.00	1.93	DATA CARD	4							0.43					120
1	5		2	1	90.0	95.0	31.10	32.03	DATA CARD	1					36.0	14.55	55.55	20.20				120
1	5		2	1	90.0	95.0	31.10	32.03	DATA CARD	2						0.16	14.65		27.69	0.70		120
1	5		2	1	90.0	95.0	31.10	32.03	DATA CARD	3											516.17	120
1	5		2	1	90.0	95.0	31.10	32.03	DATA CARD	4							0.57					120
1	6		1	1	90.0	150.0	40.80	42.00	DATA CARD	1						13.47	51.42	20.14				121
1	6		1	1	90.0	150.0	40.80	42.00	DATA CARD	2						0.10	11.76	158.35	24.15		5.97	121
1	6		1	1	90.0	150.0	40.80	42.00	DATA CARD	3											482.82	121
1	6		1	1	90.0	150.0	40.80	42.00	DATA CARD	4						0.89						121
1	6		1	1	145.0	150.0	40.80	42.28	DATA CARD	1					37.5	14.55	55.55	20.80				120
1	6		1	1	145.0	150.0	40.80	42.28	DATA CARD	2							11.77		23.00			120
1	6		1	1	145.0	150.0	40.80	42.28	DATA CARD	3											529.52	120
1	6		2	2	0.0	70.0	152.10	153.95	DATA CARD	1						20.21	49.36					121
1	6		2	2	0.0	70.0	152.10	153.95	DATA CARD	2						0.13	9.97	121.95			10.25	121
1	6		2	2	0.0	70.0	152.10	153.95	DATA CARD	3											456.72	121
1	6		2	2	0.0	70.0	152.10	153.95	DATA CARD	4						0.84						121
1	6		2	2	145.0	150.0	152.10	155.07	DATA CARD	1					34.5	22.97	47.13	19.60				120
1	6		2	2	145.0	150.0	152.10	155.07	DATA CARD	2						0.25	9.42		29.39	0.70		120
1	6		2	2	145.0	150.0	152.10	155.07	DATA CARD	3											471.67	120
1	6		2	2	145.0	150.0	152.10	155.07	DATA CARD	4							0.28					120
1	6		4	2	5.0	10.0	229.20	230.78	DATA CARD	1					37.5	23.23	47.55	19.80				120
1	6		4	2	5.0	10.0	229.20	230.78	DATA CARD	2						0.36	12.04		35.14	1.50		120
1	6		4	2	5.0	10.0	229.20	230.78	DATA CARD	3											485.02	120
1	6		4	2	5.0	10.0	229.20	230.78	DATA CARD	4							0.12					120
1	6		5	2	140.0	150.0	246.60	249.55	DATA CARD	1					35.0	25.52	44.61	20.00				120
