leg	site	hole	well logging	latitude	longitude	ocean	ocean hemisphere	sea	physographic feature	hard rock feature	ta	td	re-entry	site survey	site termination	crust	equipment test	heat flow	in situ pore water	hydraulic piston core	variable length hpc	pressure core barrel	punch core	extended core barrel	water depth(m)	total penetration(m)	drilled penetration(m)	cored penetration(m)	number of cores recovered	meters recovered	percent recovery	meters of hard rock cored	number of hard rock cores	meters of hard rock recovered	depth to basememnt(m)	oldest sediment sub-bottom depth	oldest sediment depth below sealevel	oldest sediment core number	oldest sediment age	oldest sediment lithology	oldest sediment lithology composition	oldest sediment source	oldest sediment heterogeneity	oldest sediment hardness	oldest comp1	oldest comp2	hard rock descriptions and comments
1	1		YES	25.8583	-92.1833	ATLANTIC	NORTH	GULF OF MEXICO	PLAIN		08/11/1968	08/16/1968	NO	YES	OBJECTIVE REACHED		NO	NO	NO	NO	NO	NO	NO	NO	2827	770.5	693	77	9	50	64					770.5	3598	9	NO AGE GIVEN	SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
1	2		NO	23.0455	-92.0587	ATLANTIC	NORTH	GULF OF MEXICO	KNOLL		08/17/1968	08/20/1968	NO	YES	OBJECTIVE REACHED		NO	NO	NO	NO	NO	NO	NO	NO	3572	144	108	36	6	13	36					137.9	3710	5	NO AGE GIVEN	COARSELYCRYSTALLINEGYPSUM					unk - 0000	unk - 0000	
1	3		YES	23.0300	-92.0433	ATLANTIC	NORTH	GULF OF MEXICO	PLAIN		08/20/1968	08/23/1968	NO	YES	OBJECTIVE REACHED		NO	NO	NO	NO	NO	NO	NO	NO	3747	628	530	98	11	47	47					627.6	4375	11	NO AGE GIVEN	SILTYMUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
1	4		NO	24.4780	-73.7920	ATLANTIC	NORTH		BASIN		08/29/1968	08/31/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	5319	259	201	58	5	15	25					249.8	5569	5	NO AGE GIVEN	NANNOCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	unk - 0000	
1	4	A	NO	24.4780	-73.7920	ATLANTIC	NORTH		BASIN		09/01/1968	09/02/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	5319	207	189	18	3	5.8	32					115.6	5435	2	NO AGE GIVEN	PEBBLYMUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
1	5		NO	24.7265	-73.6410	ATLANTIC	NORTH		BASIN		09/04/1968	09/05/1968	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5354	80	53	27	3	6.4	23					71.7	5426	3	NO AGE GIVEN	CARBONATERICHCLAYMINERALRICHMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	CLAY MINERAL	
1	5	A	NO	24.7265	-73.6410	ATLANTIC	NORTH		BASIN		09/06/1968	09/10/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	5354	278	239	39	7	1.8	4					274.5	5629	7	NO AGE GIVEN	NANNOCHALKANDCHERT	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	unk - 0000	
1	6		NO	30.8398	-67.6477	ATLANTIC	NORTH		RISE		09/12/1968	09/14/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	5124	257	210	47	6	28	59					251.5	5376	6	NO AGE GIVEN	CHERTYMARL	CALCAREOUS	TRANSITIONAL	HETEROGENIC	SOFT	ESTIMATED CARBONATE	CHERT FRAGMENT	
1	6	A	NO	30.8398	-67.6477	ATLANTIC	NORTH		RISE		09/14/1968	09/15/1968	NO	YES	OPERATIONAL LIMIT REACHED		NO	NO	NO	NO	NO	NO	NO	NO	5124	24.1	24				0					24.1	5148	1	NO AGE GIVEN	CLAYMINERALRICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	CLAY MINERAL	
1	7		NO	30.1340	-68.2967	ATLANTIC	NORTH		RISE		09/16/1968	09/17/1968	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5182	236	226	9.8	2	9.8	100					236.0	5418	2	NO AGE GIVEN	CLAYANDMARLANDSILTSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
1	7	A	NO	30.1340	-68.2967	ATLANTIC	NORTH		RISE		09/18/1968	09/19/1968	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5182	296	276	20	3	4.6	23									CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
