Leg	Site	H	Age Model Type           	Depth (mbsf)	    Age (Ma)	Control Point Comment

101	 628	A	Post Moratorium          	     154.380	   26.299999	FO Paragloborotalia pseudokugleri
101	 628	A	Post Moratorium          	     214.280	   30.000000	LO Chiloguembelina (common)
101	 628	A	Post Moratorium          	     228.650	   31.600000	FO Globigerina angulisuturalis
101	 628	A	Post Moratorium          	     228.660	   32.000000	LO Subbotina angiporoides
101	 628	A	Post Moratorium          	     228.670	   32.799999	LO "Turborotalia" ampliapertura
101	 628	A	Post Moratorium          	     233.030	   34.000000	LO Pseudohastigerina spp.
101	 628	A	Post Moratorium          	     257.780	   36.599998	LO Turborotalia cerroazulensis gr.
101	 628	A	Post Moratorium          	     257.790	   36.599998	LO Hantkenina spp.
104	 642	B	Initial Reports          	      37.110	    0.730000	Brunhes/Matuyama
104	 642	B	Initial Reports          	      41.960	    0.910000	Top Jaramillo
104	 642	B	Initial Reports          	      45.560	    0.980000	Base Jaramillo
104	 642	B	Initial Reports          	      52.750	    1.660000	Top Olduvai
104	 642	B	Initial Reports          	      55.150	    1.880000	Base Olduvai
104	 642	B	Initial Reports          	      64.650	    2.470000	Matuyama/Gauss
104	 642	B	Initial Reports          	      69.990	    3.400000	Gauss/Gilbert
104	 642	B	Initial Reports          	      79.760	    5.350000	Gilbert/Epoch 5
104	 642	B	Initial Reports          	      83.350	    5.890000	Epoch 5/Epoch 6
104	 642	B	Initial Reports          	      95.330	    6.700000	Epoch 6/Epoch 7
104	 642	B	Initial Reports          	     113.020	    7.410000	Epoch 7/Epoch 8
104	 642	C	Initial Reports          	      33.570	    0.730000	Brunhes/Mattuyama
104	 642	C	Initial Reports          	      39.570	    0.910000	Top Jaramillo
104	 642	C	Initial Reports          	      42.970	    0.980000	Base Jaramillo
104	 642	C	Initial Reports          	      51.050	    1.660000	Top Olduvai
104	 642	C	Initial Reports          	      53.920	    1.880000	Base Olduvai
104	 642	C	Initial Reports          	      60.110	    2.470000	Matuyama/Gauss
104	 642	C	Initial Reports          	      79.760	    5.350000	Gilbert /Epoch 5
104	 642	C	Initial Reports          	      84.760	    5.890000	Epoch 5/Epoch 6
104	 642	C	Initial Reports          	      94.260	    6.700000	Epoch 6/Epoch 7
104	 642	C	Initial Reports          	     114.760	    7.410000	Epoch 7/Epoch 8
104	 643	A	Initial Reports          	      26.560	    0.730000	Brunhes /Matuyama
104	 643	A	Initial Reports          	      29.940	    0.910000	Top Jaramillo
104	 643	A	Initial Reports          	      31.460	    0.980000	Base Jaramillo
104	 643	A	Initial Reports          	      49.710	    1.660000	Top Olduvai
104	 643	A	Initial Reports          	      54.340	    1.880000	Base Olduvai
104	 643	A	Initial Reports          	      63.200	    2.470000	Matuyama/Gauss
104	 643	A	Initial Reports          	      77.860	    3.400000	Gauss /Gilbert
104	 643	A	Initial Reports          	      87.110	    5.350000	Gilbert /Epoch 5
104	 644	A	Initial Reports          	      22.000	    0.135000	FO Emiliania huxleyi
104	 644	A	Initial Reports          	      51.000	    0.350000	LO Pseudoemiliania lacunosa
104	 644	A	Initial Reports          	      81.770	    0.730000	Brunhes /Matuyama
104	 644	A	Initial Reports          	     103.810	    0.910000	Top Jaramillo
