Leg	Site	Hole	Ageprofile Fossil Group	Ageprofile Depth Top	Ageprofile Depth Base	Ageprofile Age Young	Ageprofile Age Old	Ageprofile Datum ID	Ageprofile Datum Description                                                    	Ageprofile Datum Type	Genus Subgenus                                                                  	Species Subspecies                                                              	Depth Map Type	MCD Flag	Compression Flag

167	1010	   C	                      1	               15.38	                24.76	                1.44	                1.44	               7491	Gephyrocapsa large                                                              	FO                   	Gephyrocapsa                                                                    	large                                                                           	              	        	         
167	1010	   C	                      1	               62.76	                53.50	                3.82	                3.82	               7496	Reticulofenestra pseudoumbilicus                                                	LO                   	Reticulofenestra                                                                	pseudoumbilicus                                                                 	              	        	         
167	1010	   C	                      2	               62.79	                72.33	                6.60	                6.60	               7421	Lamprocyrtis heteroporos                                                        	FO                   	Lamprocyrtis                                                                    	heteroporos                                                                     	              	        	         
167	1010	   C	                      1	               75.06	                74.32	                5.55	                5.55	               7621	Discoaster quinqueramus/berggrenii                                              	LO                   	Discoaster                                                                      	quinqueramus/berggrenii                                                         	              	        	         
167	1010	   C	                      2	               91.32	               100.71	                7.55	                7.55	                331	Stichocorys peregrina                                                           	FO                   	Stichocorys                                                                     	peregrina                                                                       	              	        	         
167	1010	   C	                      2	              100.70	                91.32	                7.70	                7.70	                336	Diartus hughesi                                                                 	LO                   	Diartus                                                                         	hughesi                                                                         	              	        	         
167	1010	   C	                      1	              110.29	               100.74	                9.40	                9.40	                 56	Discoaster hamatus                                                              	LO                   	Discoaster                                                                      	hamatus                                                                         	              	        	         
167	1010	   C	                      2	              119.53	               110.32	               10.00	               10.00	               7426	Cyrtocapsella japonica                                                          	LO                   	Cyrtocapsella                                                                   	japonica                                                                        	              	        	         
167	1010	   C	                      5	              119.53	               110.32	                8.40	                8.40	               7386	Denticulopsis hustedtii                                                         	LCO                  	Denticulopsis                                                                   	hustedtii                                                                       	              	        	         
167	1010	   C	                      5	              119.53	               110.32	               11.40	               11.40	               7401	Denticulopsis praedimorpha                                                      	LCO                  	Denticulopsis                                                                   	praedimorpha                                                                    	              	        	         
167	1010	   C	                      1	              148.29	               139.07	               13.19	               13.19	               7501	Cyclicargolithus floridanus                                                     	LCO                  	Cyclicargolithus                                                                	floridanus                                                                      	              	        	         
167	1010	   C	                      2	              148.34	               157.88	               12.39	               12.39	               7431	Cyrtocapsella japonica                                                          	FO                   	Cyrtocapsella                                                                   	japonica                                                                        	              	        	         
167	1010	   C	                      5	              157.92	               166.89	               12.80	               12.80	               2391	Denticulopsis praedimorpha                                                      	FO                   	Denticulopsis                                                                   	praedimorpha                                                                    	              	        	         
167	1010	   C	                      5	              174.90	               180.91	               13.10	               13.10	               2006	Denticulopsis hustedtii                                                         	FCO                  	Denticulopsis                                                                   	hustedtii                                                                       	              	        	         
167	1010	   C	                      1	              184.76	               184.62	               13.60	               13.60	               1645	Sphenolithus heteromorphus                                                      	LO                   	Sphenolithus                                                                    	heteromorphus                                                                   	              	        	         
167	1010	   E	                      1	               56.90	                47.49	                3.82	                3.82	               7496	Reticulofenestra pseudoumbilicus                                                	LO                   	Reticulofenestra                                                                	pseudoumbilicus                                                                 	              	        	         
167	1010	   E	                      1	               75.89	                56.95	                5.55	                5.55	               7621	Discoaster quinqueramus/berggrenii                                              	LO                   	Discoaster                                                                      	quinqueramus/berggrenii                                                         	              	        	         
167	1010	   E	                      5	              104.00	                94.50	                8.40	                8.40	               7386	Denticulopsis hustedtii                                                         	LCO                  	Denticulopsis                                                                   	hustedtii                                                                       	              	        	         
167	1010	   E	                      2	              104.54	                94.62	                7.70	                7.70	                336	Diartus hughesi                                                                 	LO                   	Diartus                                                                         	hughesi                                                                         	              	        	         
167	1010	   E	                      5	              104.54	                94.62	                9.00	                9.00	               7391	Denticulopsis dimorpha                                                          	LO                   	Denticulopsis                                                                   	dimorpha                                                                        	              	        	         
167	1010	   E	                      1	              113.60	               104.57	                9.40	                9.40	               7511	Catinaster calyculus                                                            	LO                   	Catinaster                                                                      	calyculus                                                                       	              	        	         
167	1010	   E	                      5	              113.65	               123.07	                9.80	                9.80	               7396	Denticulopsis dimorpha                                                          	FO                   	Denticulopsis                                                                   	dimorpha                                                                        	              	        	         
167	1010	   E	                      2	              123.06	               113.65	               10.00	               10.00	               7426	Cyrtocapsella japonica                                                          	LO                   	Cyrtocapsella                                                                   	japonica                                                                        	              	        	         
167	1010	   E	                      1	              132.91	               123.08	               11.35	               11.35	               7516	Discoaster kugleri                                                              	LO                   	Discoaster                                                                      	kugleri                                                                         	              	        	         
167	1010	   E	                      5	              132.91	               123.08	               11.40	               11.40	               7401	Denticulopsis praedimorpha                                                      	LCO                  	Denticulopsis                                                                   	praedimorpha                                                                    	              	        	         
167	1010	   E	                      2	              151.94	               161.21	               11.86	               11.86	                351	Diartus petterssoni                                                             	FO                   	Diartus                                                                         	petterssoni                                                                     	              	        	         
167	1010	   E	                      5	              151.94	               161.21	               12.80	               12.80	               2391	Denticulopsis praedimorpha                                                      	FO                   	Denticulopsis                                                                   	praedimorpha                                                                    	              	        	         
167	1010	   E	                      2	              151.94	               161.21	               12.39	               12.39	               7431	Cyrtocapsella japonica                                                          	FO                   	Cyrtocapsella                                                                   	japonica                                                                        	              	        	         
167	1010	   E	                      1	              161.20	               151.95	               12.14	               12.14	               7521	Calcidiscus premacintyrei                                                       	LCO                  	Calcidiscus                                                                     	premacintyrei                                                                   	              	        	         
167	1010	   E	                      5	              170.62	               180.21	               13.10	               13.10	               2006	Denticulopsis hustedtii                                                         	FCO                  	Denticulopsis                                                                   	hustedtii                                                                       	              	        	         
167	1011	   B	                      2	               27.79	                18.70	                1.25	                1.25	               7646	Lamprocyrtis neoheteroporus/nigriniae evolutionary transition                   	FO                   	Lamprocyrtis                                                                    	neoheteroporus/nigriniae evolutionary transition                                	              	        	         
167	1011	   B	                      4	               37.18	                27.84	                1.20	                1.20	               7566	Neogloboquadrina humerosa                                                       	LO                   	Neogloboquadrina                                                                	humerosa                                                                        	              	        	         
167	1011	   B	                      1	               37.18	                27.84	                0.46	                0.46	               3230	Pseudoemiliania lacunosa                                                        	LO                   	Pseudoemiliania                                                                 	lacunosa                                                                        	              	        	         
167	1011	   B	                      1	               65.73	                56.43	                1.96	                1.96	               7506	Discoaster brouweri                                                             	LO                   	Discoaster                                                                      	brouweri                                                                        	              	        	         
167	1011	   B	                      4	               75.18	                65.80	                1.90	                1.90	               7571	Neogloboquadrina asanoi                                                         	LO                   	Neogloboquadrina                                                                	asanoi                                                                          	              	        	         
167	1011	   B	                      1	               94.33	                84.94	                2.52	                2.52	               3285	Discoaster pentaradiatus                                                        	LO                   	Discoaster                                                                      	pentaradiatus                                                                   	              	        	         
167	1011	   B	                      4	              122.68	               132.33	                3.30	                3.30	               7576	Globorotalia inflata                                                            	FO                   	Globorotalia                                                                    	inflata                                                                         	              	        	         
167	1011	   B	                      1	              138.13	               132.36	                3.82	                3.82	               7496	Reticulofenestra pseudoumbilicus                                                	LO                   	Reticulofenestra                                                                	pseudoumbilicus                                                                 	              	        	         
167	1011	   B	                      1	              138.16	               145.96	                4.99	                4.99	               7526	Ceratolithus acutus                                                             	FO                   	Ceratolithus                                                                    	acutus                                                                          	              	        	         
167	1011	   B	                      1	              166.11	               156.36	                5.55	                5.55	               7621	Discoaster quinqueramus/berggrenii                                              	LO                   	Discoaster                                                                      	quinqueramus/berggrenii                                                         	              	        	         
167	1011	   B	                      5	              175.31	               166.15	                9.00	                9.00	               7391	Denticulopsis dimorpha                                                          	LO                   	Denticulopsis                                                                   	dimorpha                                                                        	              	        	         
167	1011	   B	                      5	              175.31	               166.11	                8.30	                8.30	               7361	Denticulopsis spp.                                                              	LO                   	Denticulopsis                                                                   	spp.                                                                            	              	        	         
167	1011	   B	                      2	              213.86	               204.32	                7.55	                7.55	               7611	Stichocorys delmontensis/peregrina evolutionary transition                      	FO                   	Stichocorys                                                                     	delmontensis/peregrina evolutionary transition                                  	              	        	         
167	1011	   B	                      5	              252.65	               243.03	                8.40	                8.40	               7386	Denticulopsis hustedtii                                                         	LCO                  	Denticulopsis                                                                   	hustedtii                                                                       	              	        	         
167	1011	   B	                      2	              262.05	               252.70	                7.70	                7.70	                336	Diartus hughesi                                                                 	LO                   	Diartus                                                                         	hughesi                                                                         	              	        	         
167	1011	   B	                      5	              262.05	               252.65	                9.00	                9.00	               7391	Denticulopsis dimorpha                                                          	LO                   	Denticulopsis                                                                   	dimorpha                                                                        	              	        	         
167	1011	   B	                      2	              262.50	               262.08	                8.80	                8.80	               7436	Lychnocanoma nipponica magnacornuta                                             	LO                   	Lychnocanoma                                                                    	nipponica magnacornuta                                                          	              	        	         
167	1012	   A	                      1	               43.29	                33.69	                0.46	                0.46	               3230	Pseudoemiliania lacunosa                                                        	LO                   	Pseudoemiliania                                                                 	lacunosa                                                                        	              	        	         
167	1012	   A	                      1	               62.34	                71.86	                1.00	                1.00	               7641	Gephyrocapsa oceanica s.l.                                                      	Frent                	Gephyrocapsa                                                                    	oceanica s.l.                                                                   	              	        	         
167	1012	   A	                      4	               81.25	                71.79	                1.20	                1.20	               7566	Neogloboquadrina humerosa                                                       	LO                   	Neogloboquadrina                                                                	humerosa                                                                        	              	        	         
167	1012	   A	                      1	               90.60	                81.29	                1.24	                1.24	               7531	Gephyrocapsa large                                                              	LO                   	Gephyrocapsa                                                                    	large                                                                           	              	        	         
167	1012	   A	                      1	              100.38	               100.71	                1.44	                1.44	               7491	Gephyrocapsa large                                                              	FO                   	Gephyrocapsa                                                                    	large                                                                           	              	        	         
167	1012	   A	                      1	              119.25	               110.03	                1.96	                1.96	               7506	Discoaster brouweri                                                             	LO                   	Discoaster                                                                      	brouweri                                                                        	              	        	         
167	1012	   A	                      4	              127.60	               119.29	                1.90	                1.90	               7571	Neogloboquadrina asanoi                                                         	LO                   	Neogloboquadrina                                                                	asanoi                                                                          	              	        	         
167	1012	   A	                      1	              166.35	               156.32	                2.52	                2.52	               3285	Discoaster pentaradiatus                                                        	LO                   	Discoaster                                                                      	pentaradiatus                                                                   	              	        	         
167	1012	   A	                      1	              225.46	               215.82	                3.82	                3.82	               7496	Reticulofenestra pseudoumbilicus                                                	LO                   	Reticulofenestra                                                                	pseudoumbilicus                                                                 	              	        	         
167	1012	   A	                      4	              236.09	               243.43	                3.30	                3.30	               7576	Globorotalia inflata                                                            	FO                   	Globorotalia                                                                    	inflata                                                                         	              	        	         
167	1012	   A	                      1	              262.89	               273.95	                5.07	                5.07	               6155	Ceratolithus rugosus                                                            	FO                   	Ceratolithus                                                                    	rugosus                                                                         	              	        	         
167	1012	   A	                      4	              273.94	               262.89	                5.60	                5.60	               7581	Globorotalia conomiozea                                                         	LO                   	Globorotalia                                                                    	conomiozea                                                                      	              	        	         
167	1013	   A	                      1	               43.45	                33.22	                0.46	                0.46	               3230	Pseudoemiliania lacunosa                                                        	LO                   	Pseudoemiliania                                                                 	lacunosa                                                                        	              	        	         
167	1013	   A	                      1	               52.99	                62.53	                1.00	                1.00	               7641	Gephyrocapsa  oceanica s.l.                                                     	Frent                	Gephyrocapsa                                                                    	oceanica s.l.                                                                   	              	        	         
167	1013	   A	                      1	               82.08	                90.35	                1.44	                1.44	               7491	Gephyrocapsa large                                                              	FO                   	Gephyrocapsa                                                                    	large                                                                           	              	        	         
167	1013	   A	                      1	               82.08	                72.03	                1.24	                1.24	               7531	Gephyrocapsa large                                                              	LO                   	Gephyrocapsa                                                                    	large                                                                           	              	        	         
167	1013	   A	                      1	               90.42	                94.79	               10.96	               10.96	               7541	Gephyrocapsa oceanica s.l.                                                      	FO                   	Gephyrocapsa                                                                    	oceanica s.l.                                                                   	              	        	         
167	1013	   A	                      1	              102.88	                94.82	                1.96	                1.96	               7506	Discoaster brouweri                                                             	LO                   	Discoaster                                                                      	brouweri                                                                        	              	        	         
