Leg	Site	Hole	    Latitude	    Longtitude	    Arrival Date	    Departure Date	    Time on Hole(dd:hh:mm)	    Water Depth	    Core Type(s)	    Numbers of Cores	    Total Penetration (m) 	    Coring Penetration (m) 	    Drilled (m)	    Core Recovered (m)	    Core Recovered %	
 96	 615	*	    25° 13'N	      85° 60'W	   10/04/83 0537	     10/09/83 0655	                 5: 1:19	         3268.0	             HMX	                  52	                     523.2	                      419.3	               	                175.53	                41.9	
 96	 615	A	    25° 13'N	      85° 60'W	   10/09/83 0650	     10/10/83 1535	                 1: 8:45	         3268.0	              HX	                  17	                     208.5	                       74.5	               	                 52.04	                69.9	
100	 625	A	    28° 50'N	      87° 10'W	   01/12/85 1010	     01/18/85 0000	                 5:13:51	          889.0	              RW	                   6	                     234.9	                        2.8	          232.1	                 18.80	               671.4	
100	 625	B	    28° 50'N	      87° 10'W	   01/18/85 0000	     01/20/85 1515	                 2:15:15	          889.0	              HX	                  27	                     235.2	                      235.2	               	                222.22	                94.5	
100	 625	C	    28° 50'N	      87° 10'W	   01/20/85 2050	     01/21/85 2018	                 0:23:29	          889.0	               H	                   4	                      44.5	                       39.5	               	                 39.36	                99.6	
101	 626	A	    25° 36'N	      79° 33'W	   02/01/85 0415	     02/01/85 2230	                 0:18:16	          846.8	               R	                   2	                      12.8	                       12.8	               	                  5.01	                39.1	
101	 626	B	    25° 36'N	      79° 33'W	   02/02/85 0115	     02/03/85 0715	                 1: 6: 0	          860.0	              RW	                   5	                     185.5	                       19.2	          166.3	                 14.09	                73.4	
101	 626	C	    25° 36'N	      79° 33'W	   02/03/85 0715	     02/04/85 2300	                 1:15:45	          855.0	              HX	                  19	                     179.3	                      179.3	               	                 66.84	                37.3	
101	 626	D	    25° 36'N	      79° 33'W	   02/04/85 2300	     02/09/85 0800	                 4: 9: 0	          854.0	               R	                  28	                     446.8	                      267.4	               	                  9.72	                 3.6	
101	 627	A	    27° 38'N	      78° 18'W	   02/10/85 0230	     02/10/85 1415	                 0:11:45	         1026.0	               H	                   1	                       8.8	                        8.8	               	                  9.47	               107.6	
101	 627	B	    27° 38'N	      78° 18'W	   02/10/85 1415	     02/17/85 1930	                 7: 5:15	         1036.0	              HX	                  60	                     535.8	                      535.8	               	                350.96	                65.5	
101	 628	A	    27° 32'N	      78° 19'W	   02/17/85 2355	     02/19/85 1600	                 1:16: 6	          974.0	              HX	                  32	                     298.4	                      298.4	               	                217.49	                72.9	
101	 629	A	    27° 24'N	      78° 22'W	   02/19/85 2030	     02/20/85 0600	                 0: 9:30	          563.0	              HX	                   3	                      27.1	                       27.1	               	                  6.24	                23.0	
101	 630	A	    27° 27'N	      78° 20'W	   02/20/85 1020	     02/21/85 1020	                 1: 0: 0	          815.0	              HX	                  26	                     250.3	                      250.3	               	                220.65	                88.2	
101	 630	B	    27° 27'N	      78° 20'W	   02/21/85 1020	     02/21/85 1900	                 0: 8:40	          815.0	               H	                   9	                      80.4	                       79.9	               	                 79.68	                99.7	
101	 630	C	    27° 27'N	      78° 20'W	   02/21/85 1900	     02/21/85 2300	                 0: 4: 1	          815.0	               H	                   1	                       9.3	                        9.3	               	                  9.31	               100.1	
101	 631	A	    23° 35'N	      75° 45'W	   02/23/85 1115	     02/25/85 0230	                 1:15:16	         1102.0	              HX	                  25	                     244.3	                      244.3	               	                161.16	                66.0	
101	 632	A	    23° 50'N	      75° 26'W	   02/25/85 1050	     02/26/85 1250	                 1: 2: 0	         2007.0	              HX	                  16	                     141.0	                      141.0	               	                 83.45	                59.2	
101	 632	B	    23° 50'N	      75° 26'W	   02/26/85 1250	     03/01/85 0120	                 2:12:30	         2007.0	               R	                  17	                     283.3	                      162.7	               	                 34.96	                21.5	
101	 633	A	    23° 41'N	      75° 37'W	   03/01/85 0836	     03/02/85 1948	                 1:11:13	         1690.0	              HX	                  24	                     227.3	                      228.3	               	                111.34	                48.8	
101	 634	A	    25° 23'N	      77° 19'W	   03/03/85 1500	     03/08/85 1845	                 5: 3:45	         2864.0	               R	                  32	                     479.4	                      322.5	               	                 27.85	                 8.6	
101	 635	A	    25° 25'N	      77° 20'W	   03/09/85 0251	     03/09/85 1540	                 0:12:50	         3445.0	               R	                   3	                      20.1	                       20.1	               	                  6.39	                31.8	
101	 635	B	    25° 25'N	      77° 20'W	   03/09/85 1730	     03/11/85 1900	                 2: 1:30	         3483.0	               R	                  14	                     117.7	                      117.7	               	                 31.30	                26.6	
101	 636	A	    25° 25'N	      77° 18'W	   03/11/85 2100	     03/13/85 1230	                 1:15:30	         3581.0	              RW	                   2	                      21.0	                        3.0	           18.0	                  0.14	                 4.7	
103	 637	A	    42° 5'N	      12° 52'W	   04/28/85 1800	     05/04/85 2100	                 6: 3: 0	         5311.0	               R	                  30	                     285.6	                      285.6	               	                116.33	                40.7	
103	 638	A	    42° 9'N	      12° 12'W	   05/05/85 0615	     05/06/85 0015	                 0:18: 0	         4673.0	               C	                   1	                      44.6	                       44.6	               	                      	                    	
103	 638	B	    42° 9'N	      12° 12'W	   05/06/85 0015	     05/12/85 2315	                 6:23: 0	         4673.0	               R	                  45	                     431.1	                      431.1	               	                212.87	                49.4	
103	 638	C	    42° 9'N	      12° 12'W	   06/01/85 1800	     06/03/85 2030	                 2: 2:31	         4673.0	               R	                  14	                     547.2	                      135.2	               	                 37.70	                27.9	
103	 639	A	    42° 9'N	      12° 15'W	   05/23/85 0945	     05/25/85 2345	                 2:14: 0	         4735.0	               R	                  10	                      89.8	                       89.8	               	                 35.72	                39.8	
103	 639	B	    42° 9'N	      12° 15'W	   05/25/85 2345	     05/27/85 0545	                 1: 6: 0	         4758.0	               R	                   4	                      80.0	                       26.2	               	                 12.67	                48.4	
103	 639	C	    42° 9'N	      12° 15'W	   05/27/85 0545	     05/27/85 1945	                 0:14: 0	         4792.0	               R	                   2	                     100.4	                       22.4	               	                  4.84	                21.6	
103	 639	D	    42° 9'N	      12° 15'W	   05/27/85 1945	     06/01/85 0700	                 4:11:15	         4753.0	              RW	                  13	                     293.1	                      113.5	            2.0	                 25.27	                22.3	
103	 639	E	    42° 9'N	      12° 15'W	   06/06/85 0645	     06/07/85 1345	                 1: 7: 1	         4770.0	               R	                   4	                     237.9	                       38.5	               	                  1.95	                 5.1	
103	 639	F	    42° 9'N	      12° 15'W	   06/07/85 1345	     06/08/85 0215	                 0:12:30	         4771.0	               R	                   2	                     250.8	                       13.0	               	                  0.89	                 6.8	
103	 640	A	    42° 1'N	      12° 28'W	   06/04/85 0100	     06/06/85 0200	                 2: 1: 1	         5201.0	               R	                   9	                     232.2	                       86.8	               	                 15.72	                18.1	
103	 641	A	    42° 9'N	      12° 11'W	   06/08/85 0330	     06/10/85 1430	                 2:11: 0	         4646.0	               X	                   7	                      63.6	                       63.6	               	                 40.37	                63.5	
103	 641	B	    42° 9'N	      12° 11'W	   06/10/85 1430	     06/11/85 1045	                 0:20:15	         4649.0	                	                   1	                      35.0	                           	           35.0	                      	                    	
103	 641	C	    42° 9'N	      12° 11'W	   06/11/85 1045	     06/15/85 1330	                 4: 2:45	         4650.0	               R	                  16	                     305.2	                      154.2	               	                112.48	                72.9	
104	 642	A	    67° 13'N	       2° 56'E	   06/28/85 0315	     06/28/85 1440	                 0:11:25	         1281.6	               H	                   1	                      10.8	                        9.5	               	                  9.90	               104.2	
104	 642	B	    67° 13'N	       2° 56'E	   06/28/85 1440	     06/29/85 2015	                 1: 5:36	         1281.6	               H	                  25	                     221.1	                      221.1	               	                214.61	                97.1	
104	 642	C	    67° 13'N	       2° 56'E	   06/29/85 2015	     07/01/85 1500	                 1:18:45	         1281.4	               H	                  24	                     199.6	                      199.6	               	                194.93	                97.7	
104	 642	D	    67° 13'N	       2° 56'E	   07/01/85 1500	     07/04/85 0010	                 2: 9:10	         1281.4	             NWX	                  20	                     329.9	                      140.0	          189.9	                119.94	                85.7	
104	 642	E	    67° 13'N	       2° 56'E	   07/04/85 0010	     08/01/85 2300	                28:22:51	         1278.3	             BRW	                 110	                    1229.4	                      906.9	          266.5	                386.03	                42.6	
104	 643	A	    67° 43'N	       1° 2'E	   08/03/85 0607	     08/08/85 0200	                 4:19:53	         2768.7	             HMX	                  62	                     565.2	                      565.2	               	                458.29	                81.1	
104	 644	A	    66° 41'N	       4° 35'E	   08/08/85 1130	     08/09/85 2215	                 1:10:46	         1225.2	               H	                  34	                     252.8	                      252.8	               	                238.67	                94.4	
104	 644	B	    66° 41'N	       4° 35'E	   08/09/85 2215	     08/10/85 1830	                 0:20:15	         1224.8	               H	                  15	                     127.7	                      127.7	               	                103.47	                81.0	
105	 645	A	    70° 27'N	      64° 39'W	   09/04/85 0100	     09/05/85 1325	                 1:12:25	         2007.1	               H	                   1	                       4.9	                        4.9	               	                  4.94	               100.8	
105	 645	B	    70° 27'N	      64° 39'W	   09/05/85 1325	     09/10/85 0125	                 4:12: 0	         2008.2	               X	                  32	                     298.9	                      298.3	               	                171.68	                57.6	
105	 645	C	    70° 27'N	      64° 39'W	   09/10/85 0125	     09/10/85 1100	                 0: 9:36	         2007.7	               H	                   3	                      23.3	                       23.3	               	                 10.89	                46.7	
105	 645	D	    70° 27'N	      64° 39'W	   09/10/85 1200	     09/13/85 1700	                 3: 5: 0	         2007.5	               R	                  20	                     465.8	                      190.4	               	                106.84	                56.1	
105	 645	E	    70° 27'N	      64° 39'W	   09/13/85 1700	     09/27/85 2030	                14: 3:30	         2008.3	               R	                  78	                    1147.1	                      720.9	               	                535.57	                74.3	
105	 645	F	    70° 27'N	      64° 39'W	   09/27/85 2101	     09/28/85 0630	                 0: 9:30	         2008.3	               H	                   3	                      23.0	                       23.0	               	                 12.34	                53.7	
105	 645	G	    70° 27'N	      64° 39'W	   09/28/85 0645	     09/28/85 0900	                 0: 2:15	         2007.5	               H	                   2	                      17.0	                       16.0	               	                  8.49	                53.1	
105	 646	A	    58° 13'N	      48° 22'W	   10/03/85 0545	     10/04/85 0530	                 0:23:45	         3440.3	               H	                  11	                     103.5	                      103.5	               	                 92.14	                89.0	
105	 646	B	    58° 13'N	      48° 22'W	   10/04/85 0845	     10/14/85 0901	                10: 0:16	         3440.3	              HX	                  80	                     766.7	                      766.2	               	                404.25	                52.8	
