	hole_key	site_key	leg	site	hole	lat	lon	water_depth	total_penetration
0	0	0	1	1	nan	25.8583	-92.1833	2827.0	770.5
1	1	1	1	2	nan	23.0455	-92.0587	3572.0	144.0
2	2	2	1	3	nan	23.03	-92.0433	3747.0	628.0
3	3	3	1	4	nan	24.478	-73.792	5319.0	259.0
4	4	3	1	4	A	24.478	-73.792	5319.0	207.0
5	5	4	1	5	nan	24.7265	-73.641	5354.0	80.0
6	6	4	1	5	A	24.7265	-73.641	5354.0	278.0
7	7	5	1	6	nan	30.8398	-67.6477	5124.0	257.0
8	8	5	1	6	A	30.8398	-67.6477	5124.0	24.1
9	9	6	1	7	nan	30.134	-68.2967	5182.0	236.0
10	10	6	1	7	A	30.134	-68.2967	5182.0	296.0
11	11	7	2	8	nan	35.3833	-67.5533	5184.0	258.0
12	12	7	2	8	A	35.3833	-67.5533	5184.0	306.0
13	13	8	2	9	nan	32.7733	-59.195	4973.0	492.0
14	14	8	2	9	A	32.7733	-59.195	4973.0	834.0
15	15	9	2	10	nan	32.8622	-52.2153	4712.0	459.0
16	16	10	2	11	nan	29.943	-44.7467	3571.0	23.0
17	17	10	2	11	A	29.9433	-44.7467	3571.0	284.0
18	18	11	2	12	nan	19.6955	-26.0005	4557.0	
19	19	11	2	12	A	19.6955	-26.0005	4557.0	
20	20	11	2	12	B	19.6955	-26.0005	4557.0	218.0
21	21	11	2	12	C	19.695	-26.0	4557.0	115.0
22	22	11	2	12	D	19.695	-26.0	4557.0	37.0
23	23	12	3	13	nan	6.04	-18.2285	4585.0	145.0
24	24	12	3	13	A	6.04	-18.2285	4585.0	463.0
25	25	13	3	14	nan	-28.3315	-20.941	4343.0	107.0
26	26	14	3	15	nan	-30.8897	-17.9832	3927.0	142.0
27	27	15	3	16	nan	-30.3358	-15.7132	3527.0	176.0
28	28	16	3	17	nan	-28.0457	-6.6025	4265.0	93.0
29	29	16	3	17	A	-28.0457	-6.6025	4265.0	102.5
30	30	16	3	17	B	-28.0457	-6.6025	4360.0	127.0
31	31	17	3	18	nan	-27.9787	-8.0117	4018.0	178.1
32	32	18	3	19	nan	-28.5347	-23.6772	4677.0	145.0
33	33	19	3	20	nan	-28.5262	-26.843	4500.0	6.4
34	34	19	3	20	A	-28.5245	-26.8455	4518.0	65.0
35	35	19	3	20	B	-28.5245	-26.8455	4518.0	15.5
36	36	19	3	20	C	-28.5245	-26.8455	4506.0	72.2
37	37	20	3	21	nan	-28.585	-30.5975	2113.0	131.0
38	38	20	3	21	A	-28.585	-30.5975	2113.0	79.2
39	39	21	3	22	nan	-30.0052	-35.25	2134.0	242.2
40	40	22	4	23	nan	-6.1458	-31.0433	5079.0	208.0
41	41	23	4	24	nan	-6.2717	-30.8922	5148.0	234.0
42	42	23	4	24	A	-6.2763	-30.891	5148.0	558.0
43	43	24	4	25	nan	-0.5167	-39.24	1916.0	66.0
44	44	24	4	25	A	-0.5167	-39.24	1916.0	77.0
45	45	25	4	26	nan	10.8925	-44.0428	5169.0	9.0
46	46	25	4	26	A	10.8925	-44.0428	5169.0	483.0
47	47	26	4	27	nan	15.8565	-56.8793	5251.0	475.0
48	48	26	4	27	A	15.8565	-56.8793	5251.0	81.0
49	49	27	4	28	nan	20.5865	-65.6222	5251.0	404.0
50	50	28	4	29	nan	14.7852	-69.3227	4247.0	230.0
51	51	28	4	29	A	14.7852	-69.3227	4247.0	86.0
52	52	28	4	29	B	14.7852	-69.3227	4247.0	231.0
53	53	28	4	29	C	14.7852	-69.3227	4247.0	248.0
54	54	29	4	30	nan	12.882	-63.3833	1218.0	430.0
55	55	30	4	31	nan	14.9433	-72.0272	3369.0	279.0
56	56	31	5	32	nan	37.1272	-127.5563	4758.0	215.0
57	57	32	5	33	nan	39.4747	-127.4968	4284.0	295.0
58	58	33	5	34	nan	39.4702	-127.2757	4322.0	384.0
59	59	34	5	35	nan	40.6737	-127.4747	3273.0	390.0
60	60	34	5	35	A	40.8392	-127.5202	3273.0	
61	61	35	5	36	nan	40.9847	-130.1097	3273.0	116.0
62	62	36	5	37	nan	40.979	-140.7185	4682.0	31.0
63	63	37	5	38	nan	38.702	-140.3545	5137.0	48.0
